GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,OvUn25
05/08/17MouscronCharleroi,Mouscron,Charleroi,05/08/17,2.12,1.68,2.28,3.15,1.0,5,4,1,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.5,1.0,1.0,0.0,0.0,911.0603469911005,1056.7619809482,0.39274848699338594,0.9922401104045514,0.7930967484012003,1
05/08/17Waasland-BeverenMechelen,Waasland-Beveren,Mechelen,05/08/17,1.92,1.85,2.69,2.54,1.0,10,9,3,1,3,1,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0,950.4714867208482,1045.3807970407904,0.46421391500468984,0.9966822959978656,1.0160295098879892,1
05/08/17WaregemSt Truiden,Waregem,St Truiden,05/08/17,1.83,1.94,4.05,1.85,1.0,2,6,5,3,0,2,5.0,3.0,0.0,2.0,5.0,3.0,0.0,2.0,3.5,5.0,3.0,1.0,1.0,1082.7546354698388,967.3741290622066,0.7440518763001537,1.176498730444931,1.1310356237150045,0
06/08/17AnderlechtOostende,Anderlecht,Oostende,06/08/17,1.56,2.34,7.38,1.39,1.0,10,14,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.5,0.0,0.0,0.0,0.0,1143.7156385170338,1012.9860533281195,0.7605126915586026,1.1681753966468256,1.0670884346220553,0
06/08/17Club BruggeEupen,Club Brugge,Eupen,06/08/17,1.41,2.75,10.99,1.23,1.0,4,15,4,0,0,5,4.0,0.0,0.0,5.0,4.0,0.0,0.0,5.0,5.0,4.0,0.0,1.0,1.0,1121.5865480760287,903.1315739118756,0.8403024682583372,1.1192986081374292,1.2418813225591667,1
06/08/17GentAntwerp,Gent,Antwerp,06/08/17,1.81,1.96,6.56,1.48,1.0,13,11,2,0,3,0,2.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1040.8677964446238,1004.4237276296553,0.6485658792511153,1.0233398083395167,0.95,0
11/08/17WaregemClub Brugge,Waregem,Club Brugge,11/08/17,1.68,2.14,2.19,3.07,2.0,1,2,2,3,0,1,3.5,3.5,0.0,0.5,3.5,3.5,0.0,0.5,2.5,3.5,3.5,0.5,1.0,1092.9925604178327,1127.9744493456953,0.5502251543246386,1.1530396119051594,1.1277520714585048,1
12/08/17EupenKortrijk,Eupen,Kortrijk,12/08/17,1.73,2.06,3.07,2.18,2.0,16,7,1,1,3,0,0.5,0.5,4.0,0.5,0.5,0.5,4.0,0.5,1.5,0.5,0.5,1.0,0.0,896.7436726422092,889.7576379996767,0.6090134611691613,1.2512605875140765,1.0926299468929481,1
12/08/17LokerenMouscron,Lokeren,Mouscron,12/08/17,1.95,1.81,4.28,1.81,2.0,15,9,0,2,1,5,0.0,1.5,2.5,2.5,0.0,1.5,2.5,2.5,3.0,0.0,1.5,0.5,0.5,915.0005487607618,895.350407511365,0.6262278035881117,0.7501950328718149,1.119151335224412,0
12/08/17MechelenGent,Mechelen,Gent,12/08/17,1.92,1.84,2.28,3.05,2.0,10,13,2,0,2,1,1.5,1.0,1.5,2.0,1.5,1.0,1.5,2.0,2.5,1.5,1.0,0.5,0.5,1043.949353640978,1014.9251612745792,0.6387698835582519,1.045494334217753,0.9932254495014881,0
12/08/17OostendeWaasland-Beveren,Oostende,Waasland-Beveren,12/08/17,1.61,2.24,4.56,1.7,2.0,14,11,0,2,1,2,0.0,2.5,1.0,2.5,0.0,2.5,1.0,2.5,2.0,0.0,2.5,0.0,1.0,1003.4065609904636,951.9029301206607,0.6680616327404996,1.0308547295722048,1.0255860517238191,1
13/08/17AntwerpGenk,Antwerp,Genk,13/08/17,1.93,1.83,2.15,3.26,2.0,8,12,1,1,0,2,0.5,2.0,0.0,2.5,0.5,2.0,0.0,2.5,0.0,0.5,2.0,0.0,1.0,1030.3663627997,1036.406998971395,0.5910190552749314,0.9220438502802429,1.025327488338387,1
13/08/17CharleroiAnderlecht,Charleroi,Anderlecht,13/08/17,1.99,1.78,1.88,3.99,2.0,3,7,5,1,2,0,3.0,0.5,1.0,0.0,3.0,0.5,1.0,0.0,3.5,3.0,0.5,0.5,0.0,1072.4719204279354,1153.2951308546897,0.4844291845957442,0.8945367916778295,1.128509215854992,0
