GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at
04/08/2018Cercle BruggeLokeren,Cercle Brugge,Lokeren,04/08/2018,1.67,2.14,3.5,1.97,1.0,8,16,0,0,0,4,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1000.6391986134129,900.7838592874925,0.7266647033249877,0.95,1.0062889584082875
04/08/2018EupenCharleroi,Eupen,Charleroi,04/08/2018,1.96,1.82,2.59,2.63,1.0,14,11,2,0,5,1,2.0,0.0,5.0,1.0,2.0,0.0,5.0,1.0,3.5,2.0,0.0,1.0,0.0,914.4525044280585,1023.7529316172124,0.4436821330661506,1.223693970086074,0.8435417051303329
04/08/2018GentWaregem,Gent,Waregem,04/08/2018,1.67,2.13,4.27,1.76,1.0,12,10,2,2,3,2,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.75,2.0,2.0,1.0,1.0,1097.7343178649185,981.8374030585574,0.7446175798177175,1.0109822221525824,1.219288982565494
05/08/2018AnderlechtOostende,Anderlecht,Oostende,05/08/2018,1.55,2.37,6.3,1.46,1.0,5,8,4,2,1,1,4.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,2.5,4.0,2.0,1.0,1.0,1131.589649308796,1020.0544427260213,0.7398137320433743,1.2712930561495912,1.079229091131895
05/08/2018GenkSt Truiden,Genk,St Truiden,05/08/2018,1.62,2.22,5.85,1.51,1.0,4,11,4,0,0,0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.25,4.0,0.0,1.0,0.0,1080.3436907529315,940.4686016164401,0.7699693466604404,1.011767963048337,0.822162315557431
05/08/2018MouscronClub Brugge,Mouscron,Club Brugge,05/08/2018,1.49,2.53,1.45,6.15,1.0,14,6,1,5,2,2,1.0,5.0,2.0,2.0,1.0,5.0,2.0,2.0,3.75,1.0,5.0,1.0,1.0,843.9432414246511,1191.3441198393944,0.1684226368985857,1.2307384505307224,1.3160986362904077
10/08/2018Club BruggeKortrijk,Club Brugge,Kortrijk,10/08/2018,1.41,2.8,9.9,1.26,2.0,2,13,1,0,0,0,3.0,0.5,1.0,2.0,3.0,0.5,1.0,2.0,3.75,3.0,0.5,0.5,0.5,1198.0810253153377,999.9339510468697,0.8239843520856202,1.2665441108813875,1.0170258320795198
11/08/2018MouscronAntwerp,Mouscron,Antwerp,11/08/2018,1.82,1.96,2.14,3.22,2.0,14,4,0,0,1,0,0.5,0.5,1.5,0.0,0.5,0.5,1.5,0.0,2.5,0.5,0.5,0.5,0.0,837.2063359487076,1013.9690345248198,0.3510161733682417,1.1843979573967223,0.8990773698085183
11/08/2018St TruidenLokeren,St Truiden,Lokeren,11/08/2018,1.73,2.07,4.5,1.71,2.0,9,15,1,2,1,3,0.5,1.0,0.5,3.5,0.5,1.0,0.5,3.5,1.0,0.5,1.0,0.0,1.0,951.2673754828577,889.8504474204921,0.6805926355456334,0.8205889562265661,1.06123766838261
11/08/2018StandardCercle Brugge,Standard,Cercle Brugge,11/08/2018,1.65,2.18,6.78,1.44,2.0,6,5,0,3,0,2,1.5,1.5,1.0,1.0,1.5,1.5,1.0,1.0,0.0,1.5,1.5,0.5,0.5,1079.8231268299253,1011.5726104804133,0.6890826170203362,1.1280790098381046,1.0018750345409497
11/08/2018WaregemEupen,Waregem,Eupen,11/08/2018,1.53,2.43,6.46,1.42,2.0,11,16,1,1,1,4,1.5,1.5,1.5,4.5,1.5,1.5,1.5,4.5,4.25,1.5,1.5,0.5,1.0,991.622106251266,896.7052191054125,0.7209820078524528,1.1978900165125121,1.2810570557539225
12/08/2018CharleroiAnderlecht,Charleroi,Anderlecht,12/08/2018,1.8,1.98,2.0,3.46,2.0,8,3,4,5,1,2,2.0,4.5,1.0,1.5,2.0,4.5,1.0,1.5,3.25,2.0,4.5,0.5,1.0,1041.5002169398585,1141.997100027061,0.4562238286812947,0.8830843982208207,1.3374506292813402
12/08/2018GentWaasland-Beveren,Gent,Waasland-Beveren,12/08/2018,1.63,2.22,8.26,1.34,2.0,12,11,1,0,1,0,1.5,1.0,2.0,1.0,1.5,1.0,2.0,1.0,3.0,1.5,1.0,0.5,0.5,1087.9496146722097,946.1702146125851,0.7719051667946927,0.9932391156689238,1.1016613215241422
12/08/2018OostendeGenk,Oostende,Genk,12/08/2018,1.61,2.24,1.85,3.82,2.0,10,7,2,1,5,1,2.0,2.5,3.0,0.5,2.0,2.5,3.0,0.5,3.5,2.0,2.5,1.0,0.5,1009.6469920077562,1069.5449168865139,0.5145339592025873,1.1353917337083583,1.0098317583169718
17/08/2018AnderlechtMouscron,Anderlecht,Mouscron,17/08/2018,1.39,2.91,12.33,1.21,3.0,1,15,2,0,1,1,3.6666666666666665,0.3333333333333333,1.3333333333333333,1.3333333333333333,3.6666666666666665,0.3333333333333333,1.3333333333333333,1.3333333333333333,5.25,3.6666666666666665,0.3333333333333333,1.0,0.3333333333333333,1160.2460531743127,823.165689013978,0.9124036328150975,1.3385217735530057,1.147423086119269
18/08/2018Cercle BruggeWaregem,Cercle Brugge,Waregem,18/08/2018,1.65,2.19,2.08,3.22,3.0,6,5,0,4,0,0,1.0,2.3333333333333335,0.6666666666666666,1.0,1.0,2.3333333333333335,0.6666666666666666,1.0,0.0,1.0,2.3333333333333335,0.3333333333333333,0.6666666666666666,1019.1359151612268,1002.7828259371679,0.6217748367024638,0.9517812828139022,1.2004439442253942
18/08/2018KortrijkOostende,Kortrijk,Oostende,18/08/2018,1.66,2.17,2.73,2.41,3.0,14,11,0,0,3,2,0.3333333333333333,1.3333333333333333,2.3333333333333335,2.6666666666666665,0.3333333333333333,1.3333333333333333,2.3333333333333335,2.6666666666666665,3.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,992.8933251302944,989.0656336396528,0.6046758229035184,1.013547545082739,1.1182327055843644
18/08/2018LokerenStandard,Lokeren,Standard,18/08/2018,1.92,1.87,1.88,4.0,3.0,13,7,1,0,1,0,1.0,1.0,2.6666666666666665,0.6666666666666666,1.0,1.0,2.6666666666666665,0.6666666666666666,2.25,1.0,1.0,0.6666666666666666,0.3333333333333333,897.0741528423174,1072.2598221491119,0.3530869880864459,1.056921261851126,1.0716750593461992
