GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,HtACGP3G,AtACGP3G,OvUn25
22/07/2022StandardGent,Standard,Gent,22/07/2022,1.97,1.82,1.88,4.07,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.5,0.5,937.6998503712928,1170.2238294862025,0.28179742024209525,0.885475935612308,0.9504734528442667,0.0,0.0,1
23/07/2022CharleroiEupen,Charleroi,Eupen,23/07/2022,1.63,2.23,4.59,1.67,0.0,6,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4166666666666665,0.0,0.0,0.5,0.5,1052.4851857154636,878.23727456538,0.8031349040741864,1.076017338593533,1.0309036009474442,0.0,0.0,1
23/07/2022KortrijkOud-Heverlee Leuven,Kortrijk,Oud-Heverlee Leuven,23/07/2022,1.64,2.22,2.79,2.39,0.0,10,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.5,0.5,888.9655511928659,976.0472475573641,0.4754372507419036,1.0781919580871357,1.1881038642252988,0.0,0.0,0
23/07/2022WaregemSeraing,Waregem,Seraing,23/07/2022,1.75,2.05,3.03,2.2,0.0,17,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.5,0.5,910.5116494736567,878.2028972337386,0.6431210966933272,1.1826317691310482,1.0241157340801905,0.0,0.0,0
23/07/2022St TruidenSt. Gilloise,St Truiden,St. Gilloise,23/07/2022,1.99,1.79,1.91,3.98,0.0,15,16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.5,1087.469340581695,1209.8481991587728,0.425186694738107,0.9004187760587348,1.1234157216323188,0.0,0.0,0
24/07/2022Club BruggeGenk,Club Brugge,Genk,24/07/2022,1.45,2.65,4.08,1.74,0.0,11,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.5,0.5,1238.6299780399197,1057.4810020812056,0.8093403636690643,1.1923237956333552,1.1928517334026614,0.0,0.0,1
24/07/2022MechelenAntwerp,Mechelen,Antwerp,24/07/2022,1.57,2.34,2.5,2.61,0.0,13,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.5,0.5,1056.9056710263158,1127.0486891218675,0.4997941804273465,1.2706370754042537,0.9642658871528135,0.0,0.0,0
24/07/2022AnderlechtOostende,Anderlecht,Oostende,24/07/2022,1.53,2.46,9.61,1.27,0.0,8,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4166666666666665,0.0,0.0,0.5,0.5,1180.3878989722834,970.8996178673076,0.8332535905649799,1.1078297894077622,0.9605503831319863,0.0,0.0,0
24/07/2022WesterloCercle Brugge,Westerlo,Cercle Brugge,24/07/2022,1.87,1.91,2.68,2.56,0.0,15,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,897.058589660324,1039.830225996906,0.39677827412173344,1.1850555588537133,1.044662931790163,0.0,0.0,0
29/07/2022St. GilloiseCharleroi,St. Gilloise,Charleroi,29/07/2022,1.72,2.09,4.88,1.68,1.0,10,3,1,3,1,1,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.5,1.0,3.0,0.0,1.0,1206.855666948297,1060.359789552496,0.7766501213090657,1.1116687093141575,1.0998182958562217,1.0,1.0,0
