GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,HtACGP3G,AtACGP3G,OvUn25
16/08/2019Bayern MunichHertha,Bayern Munich,Hertha,16/08/2019,1.34,3.24,15.04,1.18,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.5,1284.6906323235964,966.4228548486087,0.9033530663887266,1.3461979649885454,1.1274894022105635,0.0,0.0,1
17/08/2019DortmundAugsburg,Dortmund,Augsburg,17/08/2019,1.43,2.79,13.38,1.22,0.0,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,0.0,0.0,0.5,0.5,1189.7800496388393,906.5105230113804,0.8842782184519378,1.3026812573126845,1.3486848521161412,0.0,0.0,1
17/08/2019FreiburgMainz,Freiburg,Mainz,17/08/2019,1.93,1.88,3.36,2.2,0.0,8,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.5,0.5,937.8806419416113,1000.4503598439558,0.5106914055916564,1.1701253954460227,1.1600422508006851,0.0,0.0,1
17/08/2019LeverkusenPaderborn,Leverkusen,Paderborn,17/08/2019,1.38,3.03,10.27,1.28,0.0,10,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1113.7013340281253,1000.0,0.7422067398872341,1.325540617544858,1.0,0.0,0.0,1
17/08/2019Werder BremenFortuna Dusseldorf,Werder Bremen,Fortuna Dusseldorf,17/08/2019,1.67,2.21,4.57,1.74,0.0,17,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.5,0.5,1105.4188306725393,1020.2048996622998,0.7096084613566959,1.0891112585755305,1.2093963463304573,0.0,0.0,1
17/08/2019WolfsburgFC Koln,Wolfsburg,FC Koln,17/08/2019,1.67,2.21,3.91,1.91,0.0,18,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.5,0.5,1062.242237345947,864.933102804393,0.8232836763033191,1.1965912162817038,1.2866730036819718,0.0,0.0,1
17/08/2019M'gladbachSchalke 04,M'gladbach,Schalke 04,17/08/2019,1.78,2.04,3.6,2.06,0.0,11,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,0.0,0.0,0.5,0.5,1015.7935033834942,960.188675941547,0.6732759860102929,1.0048587166405454,0.9731071863357851,0.0,0.0,0
18/08/2019Ein FrankfurtHoffenheim,Ein Frankfurt,Hoffenheim,18/08/2019,1.54,2.46,2.92,2.32,0.0,10,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1666666666666665,0.0,0.0,0.5,0.5,1036.2774134507888,1052.2907536428543,0.5770737340307011,1.120341953197848,1.3555477012187926,0.0,0.0,0
18/08/2019Union BerlinRB Leipzig,Union Berlin,RB Leipzig,18/08/2019,1.71,2.13,1.72,4.63,0.0,13,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1000.0,1156.3723648703694,0.3781990691965543,1.0,1.0577346527744786,0.0,0.0,1
23/08/2019FC KolnDortmund,FC Koln,Dortmund,23/08/2019,1.45,2.73,1.48,6.18,1.0,12,1,1,5,2,1,1.0,5.0,2.0,1.0,1.0,5.0,2.0,1.0,3.0,1.0,5.0,1.0,1.0,857.8644498565258,1194.4089209007618,0.17735763659516426,1.272481790767674,1.3265227618761017,2.0,1.0,1
24/08/2019AugsburgUnion Berlin,Augsburg,Union Berlin,24/08/2019,1.95,1.86,3.31,2.24,1.0,17,18,1,0,5,4,1.0,0.0,5.0,4.0,1.0,0.0,5.0,4.0,0.0,1.0,0.0,1.0,1.0,901.8816517494579,984.8720372321378,0.48131403913405196,1.373368308545591,1.0256333356292686,5.0,4.0,0
24/08/2019Fortuna DusseldorfLeverkusen,Fortuna Dusseldorf,Leverkusen,24/08/2019,1.46,2.69,1.72,4.36,1.0,4,6,3,3,1,2,3.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,2.5,3.0,3.0,1.0,1.0,1048.5892381165677,1124.013064432636,0.49219512050293274,1.2223809161301171,1.3592635866676153,1.0,2.0,1
24/08/2019HoffenheimWerder Bremen,Hoffenheim,Werder Bremen,24/08/2019,1.49,2.62,3.83,1.88,1.0,12,14,0,1,1,3,0.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0,2.6666666666666665,0.0,1.0,0.0,1.0,1035.3737030040822,1077.0344922182715,0.5406931967958858,1.3056220086191705,1.100804398876043,1.0,3.0,1
24/08/2019MainzM'gladbach,Mainz,M'gladbach,24/08/2019,1.8,2.03,2.46,2.86,1.0,16,10,0,0,3,0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.8333333333333333,0.0,0.0,1.0,0.0,980.8780160676221,1008.8624639430825,0.5601722025135976,1.1533166939473425,0.954615780808518,3.0,0.0,1
24/08/2019PaderbornFreiburg,Paderborn,Freiburg,24/08/2019,1.61,2.31,2.84,2.38,1.0,13,3,2,3,3,0,2.0,3.0,3.0,0.0,2.0,3.0,3.0,0.0,0.0,2.0,3.0,1.0,1.0,989.6882695954894,957.452985717945,0.6430240242479488,1.0254409172200383,1.1633413797197159,3.0,0.0,1
24/08/2019Schalke 04Bayern Munich,Schalke 04,Bayern Munich,24/08/2019,1.59,2.35,1.38,8.12,1.0,11,8,0,2,0,2,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.6666666666666665,0.0,2.0,0.0,1.0,967.1197153819587,1268.5565096680473,0.20878622955542872,0.9244518270189958,1.3498421704700723,0.0,2.0,1
25/08/2019RB LeipzigEin Frankfurt,RB Leipzig,Ein Frankfurt,25/08/2019,1.5,2.59,6.06,1.49,1.0,6,7,4,1,0,0,4.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,2.5,4.0,1.0,1.0,0.0,1171.5003276382315,1053.1944640895608,0.74724560740219,1.0848479201357548,1.0790790393870504,0.0,0.0,1
