GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,OvUn25
21/08/2021BochumMainz,Bochum,Mainz,21/08/2021,1.77,2.07,2.6,2.66,1.0,14,5,0,1,1,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,990.3390552035661,1085.7140366136566,0.46354725770392724,0.9673976542797692,0.9515688922782033,0
21/08/2021Ein FrankfurtAugsburg,Ein Frankfurt,Augsburg,21/08/2021,1.56,2.44,5.1,1.61,1.0,16,17,2,0,5,4,2.0,0.0,5.0,4.0,2.0,0.0,5.0,4.0,3.2,2.0,0.0,1.0,1.0,1114.9442169921745,900.0753257584964,0.8375127779954541,1.4236847822542953,1.006007861982988,0
21/08/2021FreiburgDortmund,Freiburg,Dortmund,21/08/2021,1.48,2.65,1.55,5.5,1.0,10,2,0,5,0,2,0.0,5.0,0.0,2.0,0.0,5.0,0.0,2.0,2.9,0.0,5.0,0.0,1.0,1021.4050135409183,1219.2889961785456,0.32384455183598826,1.0009739435569187,1.3795341663204181,1
21/08/2021Greuther FurthBielefeld,Greuther Furth,Bielefeld,21/08/2021,1.99,1.84,2.77,2.57,1.0,18,9,1,0,5,0,1.0,0.0,5.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,984.067583812771,993.5102382376056,0.5862770961999911,1.055650489088888,0.7605593379181923,0
21/08/2021HerthaWolfsburg,Hertha,Wolfsburg,21/08/2021,1.83,2.0,2.33,3.06,1.0,15,6,1,1,3,0,1.0,1.0,3.0,0.0,1.0,1.0,3.0,0.0,2.7,1.0,1.0,1.0,0.0,957.8590543667412,1138.4539254633373,0.3460075403936029,0.9657564376088458,1.112101250804485,1
21/08/2021LeverkusenM'gladbach,Leverkusen,M'gladbach,21/08/2021,1.59,2.38,2.95,2.32,1.0,11,12,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.4,1.0,1.0,0.0,0.0,1064.5102315613908,1067.346463936642,0.5954701481439733,0.9600413970233979,1.2828400116786853,1
22/08/2021HoffenheimUnion Berlin,Hoffenheim,Union Berlin,22/08/2021,1.76,2.08,3.58,2.06,1.0,4,13,4,1,0,1,4.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,1066.2978544320276,1071.8694487464757,0.5916715317762371,1.1527216098262918,0.9634378650948003,1
22/08/2021Bayern MunichFC Koln,Bayern Munich,FC Koln,22/08/2021,1.29,3.61,19.76,1.13,1.0,12,7,1,3,1,1,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.5,1.0,3.0,0.0,1.0,1301.6290162491805,970.0253241806146,0.909850974880269,1.4646154759986165,1.1320859542104327,1
27/08/2021DortmundHoffenheim,Dortmund,Hoffenheim,27/08/2021,1.32,3.44,6.51,1.44,2.0,7,2,1,2,2,2,3.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,3.4,3.0,3.0,1.0,1.0,1192.242778251985,1062.630993160978,0.7593387785305334,1.3704990782495683,1.1781215017607942,1
28/08/2021AugsburgLeverkusen,Augsburg,Leverkusen,28/08/2021,1.79,2.06,1.74,4.75,2.0,15,3,0,4,0,0,0.0,2.5,2.0,0.5,0.0,2.5,2.0,0.5,2.3,0.0,2.5,0.5,0.5,913.5758368783146,1080.691425635632,0.3637690895029132,0.9557074688838385,0.9744009617265745,1
