GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at
13/08/2022HerthaEin Frankfurt,Hertha,Ein Frankfurt,13/08/2022,1.79,2.06,2.32,3.05,1.0,14,18,1,1,3,6,1.0,1.0,3.0,6.0,1.0,1.0,3.0,6.0,3.3333333333333335,1.0,1.0,1.0,1.0,930.9396802768496,1019.1693860854089,0.4737893929091647,1.1137908567190196,1.092594249347369
13/08/2022HoffenheimBochum,Hoffenheim,Bochum,13/08/2022,1.51,2.59,5.38,1.58,1.0,15,12,1,1,3,2,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,2.5,1.0,1.0,1.0,1.0,993.0793095949392,997.0468111340984,0.5939005055656125,1.2482449754560958,1.012774692347557
13/08/2022LeverkusenAugsburg,Leverkusen,Augsburg,13/08/2022,1.46,2.72,9.07,1.33,1.0,13,17,0,0,1,4,0.0,0.0,1.0,4.0,0.0,0.0,1.0,4.0,2.8333333333333335,0.0,0.0,0.0,1.0,1162.7559105802275,970.7723976357212,0.818779208259249,1.178799006957481,1.0564047469112117
13/08/2022RB LeipzigFC Koln,RB Leipzig,FC Koln,13/08/2022,1.57,2.41,7.05,1.44,1.0,8,3,1,3,1,1,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.2,1.0,3.0,0.0,1.0,1148.9155704576394,1079.2436171251418,0.6908329705853297,1.1214917209124855,1.1045220019662703
13/08/2022Werder BremenStuttgart,Werder Bremen,Stuttgart,13/08/2022,1.67,2.24,2.99,2.33,1.0,10,9,2,1,2,1,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,907.0814063150426,997.8564622340228,0.47013787332654905,1.0456338977183466,1.0065416106962612
13/08/2022Schalke 04M'gladbach,Schalke 04,M'gladbach,13/08/2022,1.55,2.46,2.21,3.12,1.0,16,5,1,3,3,1,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,2.9,1.0,3.0,1.0,1.0,810.6607368821029,1085.8996622855168,0.2347915420585237,1.1475296108751758,1.3089083274470674
14/08/2022MainzUnion Berlin,Mainz,Union Berlin,14/08/2022,2.02,1.81,3.42,2.26,1.0,7,6,2,3,1,1,2.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,3.1666666666666665,2.0,3.0,1.0,1.0,1068.9250225638934,1157.6360235662123,0.47309870740757193,1.0947335869607697,1.0340998943619133
14/08/2022Bayern MunichWolfsburg,Bayern Munich,Wolfsburg,14/08/2022,1.22,4.26,16.45,1.15,1.0,4,13,6,2,1,2,6.0,2.0,1.0,2.0,6.0,2.0,1.0,2.0,4.166666666666667,6.0,2.0,1.0,1.0,1285.0603826288154,1035.2696009401755,0.8630508256894359,1.494655394825714,1.127112978262841
19/08/2022M'gladbachHertha,M'gladbach,Hertha,19/08/2022,1.51,2.59,5.83,1.52,2.0,4,13,2,1,2,1,2.5,1.0,1.5,2.0,2.5,1.0,1.5,2.0,2.8333333333333335,2.5,1.0,1.0,0.5,1075.2913239678578,931.988104560483,0.7734459133160602,1.3131778877008833,1.0947114278607808
20/08/2022AugsburgMainz,Augsburg,Mainz,20/08/2022,1.86,1.96,2.11,3.52,2.0,9,6,2,0,1,0,1.0,1.0,2.5,0.5,1.0,1.0,2.5,0.5,2.9166666666666665,1.0,1.0,1.0,0.5,1003.5235659660912,1070.0010742675906,0.5050690993637281,1.054483771989414,1.0399969076127311
20/08/2022DortmundWerder Bremen,Dortmund,Werder Bremen,20/08/2022,1.4,2.97,7.39,1.39,2.0,3,12,3,2,1,2,2.0,2.0,0.5,2.0,2.0,2.0,0.5,2.0,3.6,2.0,2.0,0.5,1.0,1227.2232202858422,908.2758913819806,0.9036940538182637,1.3903910772225316,1.072832275141274
20/08/2022LeverkusenHoffenheim,Leverkusen,Hoffenheim,20/08/2022,1.44,2.82,4.51,1.69,2.0,18,8,1,3,2,2,0.5,2.0,1.5,2.5,0.5,2.0,1.5,2.5,3.4166666666666665,0.5,2.0,0.5,1.0,1130.0047422498576,1009.3232893723148,0.7498196545203764,1.1766554693249343,1.2845713708808522
20/08/2022StuttgartFreiburg,Stuttgart,Freiburg,20/08/2022,1.73,2.13,2.61,2.64,2.0,11,7,2,1,2,3,1.5,2.5,1.5,1.5,1.5,2.5,1.5,1.5,3.875,1.5,2.5,0.5,1.0,996.6619771670848,1095.6969414529847,0.45831232899448393,1.032723143907202,1.210621346715764
20/08/2022WolfsburgSchalke 04,Wolfsburg,Schalke 04,20/08/2022,1.67,2.24,4.1,1.85,2.0,14,13,0,2,2,2,1.0,1.5,2.0,2.5,1.0,1.5,2.0,2.5,2.9,1.0,1.5,0.5,1.0,1029.791633967753,821.269075199762,0.8324797600339654,1.0975193509758707,1.151272765925786
20/08/2022Union BerlinRB Leipzig,Union Berlin,RB Leipzig,20/08/2022,1.86,1.97,2.1,3.54,2.0,5,10,0,2,0,2,1.5,1.5,0.5,1.5,1.5,1.5,0.5,1.5,3.0,1.5,1.5,0.5,0.5,1156.559971862515,1141.2822516342262,0.6203179597013817,0.9823948996438175,1.13784665628661
21/08/2022Ein FrankfurtFC Koln,Ein Frankfurt,FC Koln,21/08/2022,1.67,2.23,3.49,2.04,2.0,16,9,1,2,1,2,1.0,2.5,3.5,1.5,1.0,2.5,3.5,1.5,2.4,1.0,2.5,0.5,1.0,1018.1209618017755,1086.876935948555,0.5017902894646901,1.0738779220175219,1.1206294645757662
21/08/2022BochumBayern Munich,Bochum,Bayern Munich,21/08/2022,1.25,4.02,1.19,13.38,2.0,17,4,2,2,3,0,1.5,4.0,2.5,0.5,1.5,4.0,2.5,0.5,6.5,1.5,4.0,1.0,0.5,980.8028313567229,1290.538349601238,0.2010044102902616,1.0422484372244074,1.4554115252846989
26/08/2022FreiburgBochum,Freiburg,Bochum,26/08/2022,1.61,2.34,6.13,1.51,3.0,5,18,1,0,0,7,2.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,3.0,2.0,1.0,0.6666666666666666,1.0,1114.0294346127641,972.7626549451124,0.7713851956348038,1.1694565539889985,1.0863287399416282
27/08/2022HerthaDortmund,Hertha,Dortmund,27/08/2022,1.48,2.66,1.69,4.44,3.0,16,6,0,2,1,3,0.6666666666666666,2.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,2.0,1.6666666666666667,1.3333333333333333,3.25,0.6666666666666666,2.0,0.3333333333333333,0.6666666666666666,922.9259410931254,1191.0754581331116,0.24220281865230558,1.0552060855077814,1.4140827384945736
27/08/2022HoffenheimAugsburg,Hoffenheim,Augsburg,27/08/2022,1.47,2.71,6.43,1.47,3.0,7,10,3,1,0,2,2.3333333333333335,1.0,1.6666666666666667,2.3333333333333335,2.3333333333333335,1.0,1.6666666666666667,2.3333333333333335,3.3333333333333335,2.3333333333333335,1.0,1.0,1.0,1039.3160755531298,983.320801991542,0.6737702075869466,1.2713347890008606,1.059452062627913
27/08/2022MainzLeverkusen,Mainz,Leverkusen,27/08/2022,1.61,2.34,2.45,2.72,3.0,5,17,2,0,1,3,1.3333333333333333,0.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,2.0,2.75,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1090.2038382421397,1100.0119560690425,0.5857667195967339,1.0448969421485037,1.16453088300975
27/08/2022RB LeipzigWolfsburg,RB Leipzig,Wolfsburg,27/08/2022,1.59,2.39,6.46,1.49,3.0,11,14,1,0,2,0,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,2.0833333333333335,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1126.0949700222816,1016.4924435663943,0.7376665038376508,1.1420295591252272,1.0426433834270772
27/08/2022Schalke 04Union Berlin,Schalke 04,Union Berlin,27/08/2022,1.9,1.89,2.34,3.08,3.0,13,4,0,2,0,1,1.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.75,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,834.5682656011206,1171.7472534744597,0.1768253471923076,1.0937091276294966,0.9860063374343663
27/08/2022Bayern MunichM'gladbach,Bayern Munich,M'gladbach,27/08/2022,1.2,4.65,12.66,1.19,3.0,1,3,7,1,0,0,5.0,2.0,0.3333333333333333,1.0,5.0,2.0,0.3333333333333333,1.0,3.5833333333333335,5.0,2.0,0.6666666666666666,0.6666666666666666,1298.5785260128484,1084.3534874352154,0.8370077726698107,1.5169659285549322,1.2657886482139182
28/08/2022FC KolnStuttgart,FC Koln,Stuttgart,28/08/2022,1.68,2.21,3.38,2.1,3.0,8,13,1,0,1,1,2.0,1.0,1.3333333333333333,1.3333333333333333,2.0,1.0,1.3333333333333333,1.3333333333333333,2.5,2.0,1.0,0.6666666666666666,0.3333333333333333,1086.9485475271426,978.3294840073055,0.7365694925970662,1.1018461730815003,0.9976074289246419
