GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,HtACGP3G,AtACGP3G,OvUn25
04/08/2023Sheffield WedsSouthampton,Sheffield Weds,Southampton,04/08/2023,1.99,1.82,2.28,3.14,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,890.0374761346103,1000.0,0.4427415907969138,1.0657243453129466,1.0,0.0,0.0,1
05/08/2023BlackburnWest Brom,Blackburn,West Brom,05/08/2023,2.17,1.68,2.62,2.78,0.0,3,23,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.5,0.5,1013.9722318527203,1009.951723513437,0.6049411161277958,0.9716953337137888,0.9859168309800841,0.0,0.0,1
05/08/2023Bristol CityPreston,Bristol City,Preston,05/08/2023,2.13,1.71,3.63,2.08,0.0,4,16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7142857142857144,0.0,0.0,0.5,0.5,987.5079877043277,975.5442531130542,0.6158147154439031,0.9272280993884823,1.0560766160080381,0.0,0.0,0
05/08/2023MiddlesbroughMillwall,Middlesbrough,Millwall,05/08/2023,2.02,1.79,3.97,1.95,0.0,12,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.5,1062.7719718294775,990.1340004255245,0.694467703209822,1.3208763680390034,0.9979078871101759,0.0,0.0,0
05/08/2023NorwichHull,Norwich,Hull,05/08/2023,1.98,1.82,4.65,1.77,0.0,14,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.5,0.5,947.9869496329529,1009.1391887035837,0.5127301997362468,0.951247371144599,0.8435870255989634,0.0,0.0,1
05/08/2023PlymouthHuddersfield,Plymouth,Huddersfield,05/08/2023,2.02,1.79,3.36,2.18,0.0,15,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1000.0,1032.8855122842842,0.5532097960028877,1.0,0.9729260043289691,0.0,0.0,1
05/08/2023StokeRotherham,Stoke,Rotherham,05/08/2023,1.97,1.83,5.45,1.64,0.0,19,18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.5,0.5,907.0315596137737,931.1349536837583,0.5656689794418667,0.9353403146015059,0.9246278276220716,0.0,0.0,1
05/08/2023SwanseaBirmingham,Swansea,Birmingham,05/08/2023,1.9,1.89,4.18,1.87,0.0,21,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.5,0.5,1052.6735305241655,908.9863934711265,0.7738329330157098,1.2295158524710463,0.9174913028050617,0.0,0.0,0
05/08/2023WatfordQPR,Watford,QPR,05/08/2023,1.96,1.84,4.09,1.89,0.0,22,17,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.5,0.5,979.1696954624314,886.8376461913617,0.7179789205160302,0.9887286853134695,1.0421270666977318,0.0,0.0,1
06/08/2023LeicesterCoventry,Leicester,Coventry,06/08/2023,1.79,2.02,5.87,1.55,0.0,16,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1000.0,1064.5346289199283,0.5078646525384924,1.0,0.9597213093835446,0.0,0.0,1
