GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,OvUn25
04/08/17Union BerlinHolstein Kiel,Union Berlin,Holstein Kiel,04/08/17,1.99,1.8,4.52,1.77,1.0,6,9,1,2,0,2,1.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,1084.1235013238766,994.3169939728896,0.7150258464317989,1.0556063022544075,1.039358436467592,1
05/08/17BraunschweigHeidenheim,Braunschweig,Heidenheim,05/08/17,2.12,1.69,3.63,2.04,0.5,8,13,2,0,2,0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,3.5,2.0,0.0,1.0,0.5,1117.7846928774197,984.374587647856,0.763311755814899,1.012200640059248,0.9723219561129626,0
05/08/17DuisburgBochum,Duisburg,Bochum,05/08/17,2.0,1.77,2.92,2.4,1.0,15,14,0,0,1,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,984.0074765156772,982.880594600633,0.6009534127051843,0.9663779667946883,0.9652096890190325,0
06/08/17Erzgebirge AueFortuna Dusseldorf,Erzgebirge Aue,Fortuna Dusseldorf,06/08/17,2.26,1.59,2.75,2.61,0.5,14,9,0,2,0,2,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.5,0.0,2.0,0.5,1.0,990.0006061247884,974.1103618788495,0.6211480561864948,1.0003303913300112,0.9870810409610308,0
06/08/17Greuther FurthBielefeld,Greuther Furth,Bielefeld,06/08/17,2.16,1.65,3.18,2.27,1.0,15,6,0,2,1,1,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,2.5,0.0,2.0,0.0,1.0,969.9473558645188,1016.5554646997618,0.5336128641633088,0.7911378785763542,1.2377171230471822,1
06/08/17RegensburgNurnberg,Regensburg,Nurnberg,06/08/17,1.91,1.86,2.28,3.04,1.0,16,5,1,3,2,0,1.0,3.0,2.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,984.0069580431024,955.5875029410454,0.6379662460069755,0.9983987189152181,1.0890281739393428,0
07/08/17St PauliDresden,St Pauli,Dresden,07/08/17,2.03,1.74,3.92,1.91,1.0,9,8,1,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.5,1.0,1.0,0.0,0.0,1087.126602807616,1016.5643297134565,0.6919265301465919,0.9201160566889002,1.1800951594407891,1
09/08/17HeidenheimErzgebirge Aue,Heidenheim,Erzgebirge Aue,09/08/17,2.32,1.57,4.12,1.93,1.0,16,14,0,0,2,2,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,974.9070578804519,965.1546838773286,0.6127986488898883,0.9632237151599427,0.9908373934806896,1
18/08/17BraunschweigErzgebirge Aue,Braunschweig,Erzgebirge Aue,18/08/17,2.05,1.75,4.65,1.76,2.0,4,18,2,1,0,2,2.0,0.5,1.0,2.0,2.0,0.5,1.0,2.0,2.0,2.0,0.5,0.5,0.5,1127.2522226448239,949.6666298329241,0.8061550120416318,1.002729245056634,1.003586348934478,0
18/08/17DarmstadtSt Pauli,Darmstadt,St Pauli,18/08/17,2.14,1.69,2.82,2.52,2.0,6,9,1,2,1,2,1.0,1.5,0.5,1.0,1.0,1.5,0.5,1.0,0.0,1.0,1.5,0.0,0.5,1016.154807272275,1079.4495416017523,0.509648455117496,0.9745408933272255,0.9419013971025213,1
19/08/17DresdenSandhausen,Dresden,Sandhausen,19/08/17,2.06,1.72,3.75,1.99,2.0,7,8,2,1,2,0,1.5,1.5,1.0,1.0,1.5,1.5,1.0,1.0,2.0,1.5,1.5,0.5,0.5,1024.24139091932,990.4932057700571,0.6450206152784477,1.20803595515019,0.9046356668668637,1
19/08/17Fortuna DusseldorfKaiserslautern,Fortuna Dusseldorf,Kaiserslautern,19/08/17,2.21,1.63,3.91,1.94,2.0,6,15,2,1,0,1,2.0,0.5,1.0,2.0,2.0,0.5,1.0,2.0,1.0,2.0,0.5,0.5,0.5,998.9562841263094,960.6760060584259,0.6509712963474069,0.9777137776246739,0.822388430490339,0
19/08/17HeidenheimDuisburg,Heidenheim,Duisburg,19/08/17,2.16,1.66,3.65,2.03,2.0,10,12,2,1,1,1,1.0,0.5,1.5,1.0,1.0,0.5,1.5,1.0,0.0,1.0,0.5,0.5,0.0,990.3951119248565,979.9693400074699,0.6137180218562387,0.9756173695752935,0.9595008405953196,1
20/08/17Holstein KielGreuther Furth,Holstein Kiel,Greuther Furth,20/08/17,2.16,1.66,3.57,2.05,2.0,13,16,3,1,4,2,2.5,0.5,3.0,1.5,2.5,0.5,3.0,1.5,0.0,2.5,0.5,1.0,0.5,982.9180278301616,948.6028412979865,0.6457675981423938,1.1200157175262042,0.8000573278141266,1
20/08/17IngolstadtRegensburg,Ingolstadt,Regensburg,20/08/17,1.96,1.81,4.98,1.67,2.0,17,18,0,0,1,1,0.0,0.5,1.0,1.5,0.0,0.5,1.0,1.5,0.0,0.0,0.5,0.0,0.5,963.3132957738628,958.4883082028233,0.6060473162143933,0.9414230559528458,0.9668437807524383,1
20/08/17NurnbergUnion Berlin,Nurnberg,Union Berlin,20/08/17,1.84,1.93,2.91,2.35,2.0,4,6,1,4,0,3,2.0,2.5,0.0,1.5,2.0,2.5,0.0,1.5,1.5,2.0,2.5,0.5,0.5,981.1061527813245,1095.5224674666047,0.43642574326846945,1.0546088422283422,1.1375244656336787,1
21/08/17BielefeldBochum,Bielefeld,Bochum,21/08/17,1.93,1.84,3.11,2.24,2.0,6,14,2,1,1,1,2.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,1.5,2.0,0.5,1.0,0.0,1037.8999792662942,986.9187311088403,0.6673944609320601,1.2516713974520521,0.9583408767444169,0
25/08/17DuisburgDarmstadt,Duisburg,Darmstadt,25/08/17,2.14,1.69,2.88,2.45,3.0,9,3,2,3,1,0,1.0,1.6666666666666667,1.0,0.3333333333333333,1.0,1.6666666666666667,1.0,0.3333333333333333,0.0,1.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,1004.5180608817194,1035.7688690675752,0.5555345004626939,0.9730253186346963,0.9895147840077827,1
25/08/17Greuther FurthIngolstadt,Greuther Furth,Ingolstadt,25/08/17,2.12,1.7,2.47,2.86,3.0,17,18,1,2,3,4,0.6666666666666666,0.6666666666666666,2.0,2.0,0.6666666666666666,0.6666666666666666,2.0,2.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,934.4335452236822,939.0714031252871,0.5929694739405142,0.8314820304728058,1.0184670936222828,0
