GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at
30/07/2021PaderbornNurnberg,Paderborn,Nurnberg,30/07/2021,1.9,1.89,2.69,2.56,1.0,11,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,1031.5622751654164,1013.1658398793735,0.6245370331248663,1.1787811512507844,1.0001589103949462
31/07/2021HannoverHansa Rostock,Hannover,Hansa Rostock,31/07/2021,1.75,2.06,4.11,1.82,1.0,10,13,1,1,1,3,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,955.1136506478002,979.035411519195,0.5659258440575903,1.2006881062404064,1.026735975525323
31/07/2021IngolstadtHeidenheim,Ingolstadt,Heidenheim,31/07/2021,1.86,1.94,2.32,3.14,1.0,17,11,0,0,3,0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.5,0.0,0.0,1.0,0.0,958.5117967561931,1018.177785935984,0.5148674529562425,1.1128815316910894,1.028498137017778
31/07/2021RegensburgSandhausen,Regensburg,Sandhausen,31/07/2021,1.89,1.9,3.17,2.26,1.0,6,14,2,0,0,2,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.5,2.0,0.0,0.0,0.0,968.9168324999671,909.5422029689629,0.6780315438919908,0.9943718043143043,1.0656407421692413
31/07/2021Fortuna DusseldorfWerder Bremen,Fortuna Dusseldorf,Werder Bremen,31/07/2021,1.84,1.96,3.02,2.32,1.0,4,12,2,1,0,1,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1082.3293444432227,993.2718755413626,0.7141464409032504,1.167184620788436,0.9827391999587951
01/08/2021Erzgebirge AueSt Pauli,Erzgebirge Aue,St Pauli,01/08/2021,1.77,2.04,2.0,3.56,1.0,12,6,0,3,0,0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.1,0.0,3.0,0.0,1.0,968.3065044909475,1025.5969393015894,0.5182823803112971,1.045299130704927,1.1511753382842125
01/08/2021HamburgDresden,Hamburg,Dresden,01/08/2021,1.63,2.24,5.05,1.66,1.0,7,5,3,3,1,0,3.0,3.0,1.0,0.0,3.0,3.0,1.0,0.0,1.5,3.0,3.0,1.0,1.0,1060.064480979767,944.1030011039999,0.7446882503098554,1.3188999222339426,0.9769844291275991
01/08/2021Holstein KielSchalke 04,Holstein Kiel,Schalke 04,01/08/2021,1.81,1.98,2.84,2.46,1.0,15,14,0,1,3,3,0.0,1.0,3.0,3.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1050.4677503731245,978.1769018702356,0.6940435558275828,1.1016885693950635,1.0113447451533932
13/08/2021Schalke 04Erzgebirge Aue,Schalke 04,Erzgebirge Aue,13/08/2021,1.73,2.11,6.08,1.56,2.0,10,11,3,0,0,0,2.0,0.0,1.5,0.0,2.0,0.0,1.5,0.0,0.0,2.0,0.0,1.0,0.0,1005.9386441033389,967.5752092784957,0.6510800502453944,1.0152393600622989,0.9930341741696807
13/08/2021St PauliHamburg,St Pauli,Hamburg,13/08/2021,1.64,2.25,2.28,2.97,2.0,4,5,0,1,0,1,1.5,2.0,0.0,1.0,1.5,2.0,0.0,1.0,2.1666666666666665,1.5,2.0,0.5,0.5,1026.3282345140412,1050.2769509673728,0.5658877258642944,1.093616571370002,1.2938972367747479
14/08/2021Holstein KielRegensburg,Holstein Kiel,Regensburg,14/08/2021,1.77,2.05,3.4,2.05,2.0,18,3,0,3,3,0,0.0,2.5,3.0,0.0,0.0,2.5,3.0,0.0,3.0,0.0,2.5,1.0,0.5,1022.7060081400213,981.7955707442875,0.6544034039706043,1.105931091787056,1.000957367670892
14/08/2021NurnbergFortuna Dusseldorf,Nurnberg,Fortuna Dusseldorf,14/08/2021,1.83,1.97,2.84,2.46,2.0,12,9,2,2,2,3,1.0,2.0,1.0,1.5,1.0,2.0,1.0,1.5,3.3333333333333335,1.0,2.0,0.5,0.5,1018.1473212043682,1053.7634868070927,0.5493214024552854,1.0180176761091826,1.21058178656741
14/08/2021SandhausenKarlsruhe,Sandhausen,Karlsruhe,14/08/2021,1.82,1.99,2.17,3.2,2.0,17,2,0,3,3,0,0.0,3.0,2.5,0.5,0.0,3.0,2.5,0.5,3.1666666666666665,0.0,3.0,0.5,1.0,896.6634647246425,1089.9662146783903,0.32964575575937605,1.0726983081545884,1.0646885371817179
14/08/2021DresdenHannover,Dresden,Hannover,14/08/2021,1.75,2.08,2.49,2.81,2.0,4,14,1,0,1,3,2.0,0.5,0.5,2.0,2.0,0.5,0.5,2.0,2.5,2.0,0.5,0.5,0.5,953.8905311163941,932.4766168854966,0.6286012408629427,0.9584635133490663,1.1990913143268076
15/08/2021DarmstadtIngolstadt,Darmstadt,Ingolstadt,15/08/2021,1.92,1.89,2.42,2.83,2.0,17,16,0,1,3,2,0.0,0.5,2.5,2.5,0.0,0.5,2.5,2.5,2.5,0.0,0.5,0.5,1.0,1053.8378375190628,937.9170986379435,0.7446436582484574,1.2485220377642396,1.115574945317237
15/08/2021HeidenheimHansa Rostock,Heidenheim,Hansa Rostock,15/08/2021,1.81,1.98,3.67,1.99,2.0,7,10,2,3,1,0,1.0,2.0,0.5,1.5,1.0,2.0,0.5,1.5,0.0,1.0,2.0,0.5,1.0,1038.7724840542337,1001.6724452814987,0.6494260676573489,1.0309873246067764,1.0253705220869163
15/08/2021Werder BremenPaderborn,Werder Bremen,Paderborn,15/08/2021,1.72,2.12,4.0,1.9,2.0,9,13,3,2,2,2,2.0,1.0,1.5,1.0,2.0,1.0,1.5,1.0,0.0,2.0,1.0,0.5,0.5,1021.8377331774926,1026.5807938404218,0.5928233011313837,1.0192784887898108,1.1998293828765296
20/08/2021Fortuna DusseldorfHolstein Kiel,Fortuna Dusseldorf,Holstein Kiel,20/08/2021,1.71,2.11,4.1,1.83,3.0,14,17,0,0,2,3,1.3333333333333333,0.0,1.6666666666666667,3.0,1.3333333333333333,0.0,1.6666666666666667,3.0,2.75,1.3333333333333333,0.0,0.3333333333333333,1.0,1035.7363429053041,996.5298719811971,0.6521816983937736,1.189344745833793,1.1105771500780226
20/08/2021HannoverHeidenheim,Hannover,Heidenheim,20/08/2021,1.85,1.95,3.06,2.28,3.0,15,7,0,1,2,1,0.3333333333333333,1.0,2.0,0.6666666666666666,0.3333333333333333,1.0,2.0,0.6666666666666666,3.1666666666666665,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,917.6206665200143,1032.7954413479397,0.4353521772691285,1.1808702099711734,1.0184482469876108
