"GameIndex","HomeTeam","AwayTeam","Date","AvgO25","AvgU25","AvgH","AvgA","AvgD","Played","TG","HtPos","AtPos","HtSGLG","AtSGLG","HtCGLG","AtCGLG","HtASGPG","AtASGPG","HtACGPG","AtACGPG","HtASGP5G","AtASGP5G","HtACGP5G","AtACGP5G","AGTM","HtASGP3G","AtASGP3G","HtACGP3G","AtACGP3G","HtpercentGO","AtpercentGO","FTR","elo_ht","elo_at","win_e_ht","tilt_ht","tilt_at"
"22/07/2022Fortuna DusseldorfPaderborn","Fortuna Dusseldorf","Paderborn","22/07/2022",1.64,2.23,2.34,2.83,3.59,1,3,4,1,2,5,1,0,2,5,1,0,2,5,1,0,3.25,2,5,1,0,1,1,"H",1049.4740602679,1051.72515678191,0.5962812592553,0.994395473049773,1.09546131496712
"23/07/2022HeidenheimBraunschweig","Heidenheim","Braunschweig","23/07/2022",1.88,1.89,2.01,3.61,3.48,1,3,5,17,1,0,0,2,1,0,0,2,1,0,0,2,2.33333333333333,1,0,0,2,0,0,"H",1045.29486986047,883.258131791159,0.791783763724794,0.963008396955196,0.906923489924054
"23/07/2022Holstein KielKaiserslautern","Holstein Kiel","Kaiserslautern","23/07/2022",1.83,1.95,2.18,3.22,3.42,1,4,11,6,2,2,2,1,2,2,2,1,2,2,2,1,3.5,2,2,2,1,1,1,"D",1032.67416865456,981.305707980561,0.667889112120091,1.094983340512,1.09944506760675
"23/07/2022NurnbergGreuther Furth","Nurnberg","Greuther Furth","23/07/2022",1.68,2.17,2.35,2.85,3.51,1,2,16,10,2,2,3,2,2,2,3,2,2,2,3,2,2.5,2,2,3,2,1,1,"H",997.809925937998,1123.66475857756,0.42030373660303,1.15525623020176,1.26260440008786
"23/07/2022HannoverSt Pauli","Hannover","St Pauli","23/07/2022",1.62,2.26,2.27,2.93,3.59,1,4,13,7,1,3,2,2,1,3,2,2,1,3,2,2,2.375,1,3,2,2,1,1,"D",958.97663992684,1060.27185124971,0.455083853416447,1.01160446779596,1.1430748961262
"24/07/2022BielefeldRegensburg","Bielefeld","Regensburg","24/07/2022",1.71,2.1,1.79,4.16,3.85,1,3,14,7,1,2,2,0,1,2,2,0,1,2,2,0,4.83333333333333,1,2,2,0,1,0,"A",1146.14322170912,926.809957608586,0.840979717164179,1.02772724176518,1.00489326734312
"24/07/2022HamburgHansa Rostock","Hamburg","Hansa Rostock","24/07/2022",1.56,2.37,1.49,5.98,4.49,1,1,6,15,2,0,0,1,2,0,0,1,2,0,0,1,4,2,0,0,1,0,0,"A",1120.31190349196,960.702422766231,0.789470807153266,1.19547439654488,0.950337210825292
"24/07/2022KarlsruheMagdeburg","Karlsruhe","Magdeburg","24/07/2022",1.68,2.16,2.8,2.37,3.54,1,5,18,16,0,1,5,2,0,1,5,2,0,1,5,2,0,0,1,5,2,1,1,"A",940.972997209891,909.529498402167,0.641977110289218,1.22402254149497,0.955436341906735
"05/08/2022Greuther FurthKarlsruhe","Greuther Furth","Karlsruhe","05/08/2022",1.54,2.42,1.74,4.18,4.08,2,2,15,18,0,2,2,3,1,1,2,4,1,1,2,4,3.66666666666667,1,1,2,4,0.5,1,"D",1100.47691182075,915.293912861421,0.812897956156415,1.234098533499,1.26748563495891
"05/08/2022SandhausenFortuna Dusseldorf","Sandhausen","Fortuna Dusseldorf","05/08/2022",2.04,1.76,3.02,2.33,3.35,2,1,11,3,1,2,2,1,1.5,2,1.5,1,1.5,2,1.5,1,1.875,1.5,2,1.5,1,1,1,"H",1022.83035798199,1065.62280970446,0.53907504164412,1.04999050932914,0.99944714516194
"06/08/2022HamburgHeidenheim","Hamburg","Heidenheim","06/08/2022",1.63,2.25,1.65,4.73,4.07,2,1,8,2,0,3,1,0,1,2,0.5,0,1,2,0.5,0,2.75,1,2,0.5,0,0,0.5,"H",1088.73307194347,1053.62352166243,0.646812984120082,1.15674583813211,0.981015707794315
"06/08/2022PaderbornHannover","Paderborn","Hannover","06/08/2022",1.63,2.26,2.05,3.27,3.71,2,6,7,15,1,2,2,2,3,1.5,1,2,3,1.5,1,2,1,3,1.5,1,2,1,1,"H",1035.57640734535,960.77328072671,0.697105805420853,1.10102641610118,1.03101090955918
"06/08/2022RegensburgNurnberg","Regensburg","Nurnberg","06/08/2022",1.76,2.04,2.68,2.52,3.42,2,0,1,9,3,2,0,0,2.5,2,0,1.5,2.5,2,0,1.5,2.5,2.5,2,0,1.5,0.5,0.5,"D",960.449148269009,1020.99777269481,0.513598159987074,1.01302985297054,1.12917396724451
"06/08/2022Hansa RostockBielefeld","Hansa Rostock","Bielefeld","06/08/2022",2.04,1.76,2.46,2.88,3.25,2,3,10,17,1,0,0,3,0.5,0.5,0.5,2.5,0.5,0.5,0.5,2.5,0,0.5,0.5,0.5,2.5,0,1,"H",992.281254314726,1112.5040310487,0.428222967292887,0.91955011050123,1.0360487132846
"07/08/2022BraunschweigDarmstadt","Braunschweig","Darmstadt","07/08/2022",1.69,2.13,3.14,2.17,3.53,2,1,18,12,0,2,3,1,0,1,2.5,1.5,0,1,2.5,1.5,3,0,1,2.5,1.5,0.5,0.5,"A",874.929479989204,1081.46582083645,0.313035476715437,0.923882068106754,1.24904004375561
"07/08/2022KaiserslauternSt Pauli","Kaiserslautern","St Pauli","07/08/2022",1.75,2.05,2.48,2.69,3.48,2,3,8,10,2,2,2,2,2,2.5,1.5,2,2,2.5,1.5,2,1.75,2,2.5,1.5,2,1,1,"H",988.021270456813,1058.47521044984,0.499346785763057,1.11753328650957,1.16500344340812
"07/08/2022MagdeburgHolstein Kiel","Magdeburg","Holstein Kiel","07/08/2022",1.6,2.3,2.07,3.24,3.72,2,3,11,13,3,2,2,2,2,2,2,2,2,2,2,2,2.5,2,2,2,2,1,1,"A",935.208582750637,1025.95860617831,0.470173803227498,0.989362366648416,1.11299815447741
"12/08/2022KaiserslauternPaderborn","Kaiserslautern","Paderborn","12/08/2022",1.62,2.27,2.81,2.36,3.56,3,1,2,3,2,4,1,2,2,3.33333333333333,1.33333333333333,1.33333333333333,2,3.33333333333333,1.33333333333333,1.33333333333333,0,2,3.33333333333333,1.33333333333333,1.33333333333333,1,1,"A",1008.04740132847,1047.69217383435,0.543573828717769,1.11315861588162,1.1623657162754
"12/08/2022NurnbergHeidenheim","Nurnberg","Heidenheim","12/08/2022",1.8,2,2.11,3.34,3.49,3,3,11,4,0,0,0,1,1.33333333333333,1.33333333333333,1,0.333333333333333,1.33333333333333,1.33333333333333,1,0.333333333333333,3.5,1.33333333333333,1.33333333333333,1,0.333333333333333,0.333333333333333,0.333333333333333,"A",1021.54170344148,1039.49603841193,0.574344518480663,1.07271526888228,0.949254805229936
