"GameIndex","HomeTeam","AwayTeam","Date","AvgO25","AvgU25","AvgH","AvgA","AvgD","Played","TG","HtPos","AtPos","HtSGLG","AtSGLG","HtCGLG","AtCGLG","HtASGPG","AtASGPG","HtACGPG","AtACGPG","HtASGP5G","AtASGP5G","HtACGP5G","AtACGP5G","AGTM","HtASGP3G","AtASGP3G","HtACGP3G","AtACGP3G","HtpercentGO","AtpercentGO","FTR","elo_ht","elo_at","win_e_ht","tilt_ht","tilt_at"
"05/08/17ShrewsburyNorthampton","Shrewsbury","Northampton","05/08/17",2.03,1.75,2.42,2.89,3.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.5,0.5,"H",958.2409377486,927.24012376125,0.641391171184764,0.896572352431217,1.07551837934473
"05/08/17SouthendBlackburn","Southend","Blackburn","05/08/17",2.06,1.73,2.75,2.57,3.18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,"H",1036.545878759,1000,0.648699476244541,1.05841017293589,1
"12/08/17AFC WimbledonShrewsbury","AFC Wimbledon","Shrewsbury","12/08/17",2.27,1.6,1.98,4.01,3.22,1,1,11,8,1,1,1,0,1,1,1,0,1,1,1,0,2.5,1,1,1,0,0,0,"A",969.860087704606,972.58529016042,0.595624101578924,0.776042545405648,0.870339418885446
"12/08/17BlackburnDoncaster","Blackburn","Doncaster","12/08/17",1.97,1.81,1.86,4.18,3.48,1,4,15,12,1,0,2,0,1,0,2,0,1,0,2,0,0,1,0,2,0,1,0,"A",985.947977935197,991.596507011492,0.591564571603173,1.00668879753259,0.95
"12/08/17BlackpoolMilton Keynes Dons","Blackpool","Milton Keynes Dons","12/08/17",2.1,1.71,2.91,2.42,3.24,1,1,16,18,1,0,2,1,1,0,2,1,1,0,2,1,0,1,0,2,1,1,0,"H",989.075476140839,999.388515907596,0.585061339212281,1.01298024437738,0.990792017052842
"12/08/17Bristol RvsPeterboro","Bristol Rvs","Peterboro","12/08/17",1.74,2.05,2.04,3.5,3.48,1,5,17,7,0,2,1,1,0,2,1,1,0,2,1,1,4.5,0,2,1,1,0,1,"A",979.260070194094,986.130136041571,0.589864557021395,1.13563076546197,1.08221702289672
"12/08/17GillinghamBradford","Gillingham","Bradford","12/08/17",2.03,1.75,3.75,1.99,3.38,1,1,13,4,0,2,0,1,0,2,0,1,0,2,0,1,3,0,2,0,1,0,1,"A",922.785670252619,1110.97425104619,0.336183576482067,1.14174637353836,0.965045710182619
"12/08/17NorthamptonFleetwood Town","Northampton","Fleetwood Town","12/08/17",2.08,1.72,2.68,2.64,3.21,1,1,19,1,0,2,1,0,0,2,1,0,0,2,1,0,2.5,0,2,1,0,0,0,"A",912.89577134943,1128.54516244159,0.30186652854516,1.04404963943088,0.849147152060513
"12/08/17OxfordPortsmouth","Oxford","Portsmouth","12/08/17",2.12,1.69,2.5,2.85,3.19,1,3,2,3,2,2,0,0,2,2,0,0,2,2,0,0,0,2,2,0,0,0,0,"H",1073.31723481447,1017.81266186278,0.673148930627765,1.09084446079217,0.98428542929514
"12/08/17PlymouthCharlton","Plymouth","Charlton","12/08/17",2.06,1.74,2.56,2.76,3.21,1,2,20,6,1,1,2,0,1,1,2,0,1,1,2,0,0,1,1,2,0,1,0,"H",982.197404001405,1016.16639630313,0.551667683921925,1.00576115318299,0.976759874250231
"12/08/17RochdaleScunthorpe","Rochdale","Scunthorpe","12/08/17",1.89,1.88,2.27,3.11,3.3,1,2,23,14,0,1,2,1,0,1,2,1,0,1,2,1,4,0,1,2,1,0,0,"D",1014.03678680559,1069.15251566465,0.521407134957539,1.14834254612604,1.16147166615748
"12/08/17RotherhamSouthend","Rotherham","Southend","12/08/17",2.01,1.76,2.46,2.84,3.27,1,5,24,9,0,2,2,1,0,2,2,1,0,2,2,1,0,0,2,2,1,0,1,"H",989.895693844949,1050.5979008238,0.513377416481305,0.996963027557141,1.0654896642891
