GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,HtACGP3G,AtACGP3G,OvUn25
04/08/2018WalsallPlymouth,Walsall,Plymouth,04/08/2018,1.99,1.79,2.7,2.56,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.5,910.9524475779019,1069.4646273925052,0.3753067437143824,0.9656458879536474,1.0946268067420377,0.0,0.0,1
04/08/2018WycombeBlackpool,Wycombe,Blackpool,04/08/2018,2.01,1.77,2.74,2.52,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,977.4200907237654,1014.5853784088129,0.5471127724323392,0.9951080575108583,0.9784926352771732,0.0,0.0,0
11/08/2018AFC WimbledonCoventry,AFC Wimbledon,Coventry,11/08/2018,2.21,1.63,3.48,2.15,1.0,3,17,1,1,0,2,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,1001.8672611006284,853.5871496177843,0.7784266923814421,0.9147705671145724,0.9113331486710918,0.0,2.0,0
11/08/2018BlackpoolPortsmouth,Blackpool,Portsmouth,11/08/2018,2.23,1.62,2.45,2.94,1.0,12,7,0,1,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.5,0.0,1.0,0.0,0.0,1016.4698893061064,1013.3516023063873,0.6036992364621455,0.9295680035133145,0.9304700574306377,0.0,0.0,1
11/08/2018BradfordBarnsley,Bradford,Barnsley,11/08/2018,2.13,1.68,2.29,3.15,1.0,4,1,1,4,0,0,1.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,991.573898830751,1142.8116175747757,0.38517452579615646,0.9724628135645297,1.0400317115909135,0.0,0.0,0
11/08/2018Bristol RvsAccrington,Bristol Rvs,Accrington,11/08/2018,1.99,1.78,4.08,1.9,1.0,14,23,1,0,2,2,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,980.5776220279411,905.1830046877282,0.697824295914705,0.9961156215429198,1.0705148229090025,2.0,2.0,1
11/08/2018CharltonShrewsbury,Charlton,Shrewsbury,11/08/2018,2.34,1.57,3.73,2.07,1.0,16,21,1,0,2,1,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,3.5,1.0,0.0,1.0,0.0,1027.697964308123,1018.1494703694209,0.6125201377504177,0.879330418800051,0.8446688717512468,2.0,1.0,1
11/08/2018DoncasterWycombe,Doncaster,Wycombe,11/08/2018,2.04,1.75,3.25,2.26,1.0,5,13,3,0,2,0,3.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,994.9028922176558,975.5355798264718,0.6258466430587893,0.9211163567148068,0.9453526546353154,2.0,0.0,1
11/08/2018GillinghamBurton,Gillingham,Burton,11/08/2018,2.16,1.67,2.67,2.66,1.0,2,15,2,1,0,2,2.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,996.2336527223453,1030.215702806458,0.5516491038118685,0.9835308703774559,1.1934234969929733,0.0,2.0,1
11/08/2018LutonSunderland,Luton,Sunderland,11/08/2018,2.06,1.74,2.82,2.48,1.0,19,10,0,2,1,1,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,983.8191958809057,1123.7057562009825,0.400760014715044,0.970868341407754,0.9414096786860597,1.0,1.0,0
