GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,OvUn25
30/07/2022Sheffield WedsPortsmouth,Sheffield Weds,Portsmouth,30/07/2022,1.91,1.86,4.66,1.72,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.5,0.5,1071.1703407793118,997.2904099547171,0.69598254421043,1.0827803019747868,0.8845613907444443,1
30/07/2022WycombeBurton,Wycombe,Burton,30/07/2022,1.91,1.86,4.54,1.75,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.5,0.5,1043.8410054528847,902.4113623686974,0.7715504847953905,1.1070251631071348,1.0499551486182097,1
06/08/2022BarnsleyCheltenham,Barnsley,Cheltenham,06/08/2022,1.94,1.83,4.41,1.79,1.0,18,20,0,2,1,3,0.0,2.0,1.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,989.2929638263257,993.6563344988393,0.5933507796209554,0.9705452899376028,1.2760631448722792,0
06/08/2022BoltonWycombe,Bolton,Wycombe,06/08/2022,2.06,1.73,2.93,2.42,1.0,9,1,1,3,1,0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,1.75,1.0,3.0,0.0,1.0,1048.3420605594188,1052.978986061069,0.5929707693797364,1.0103325860301966,1.1088192030904298,1
06/08/2022BurtonBristol Rvs,Burton,Bristol Rvs,06/08/2022,2.01,1.76,2.68,2.6,1.0,24,19,0,1,3,2,0.0,1.0,3.0,2.0,0.0,1.0,3.0,2.0,1.2,0.0,1.0,1.0,1.0,893.273381760513,902.6446969026961,0.5863767012905201,1.0516567011935825,0.8740713735059449,1
06/08/2022CharltonDerby,Charlton,Derby,06/08/2022,2.12,1.69,2.64,2.69,1.0,10,3,2,1,2,0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1001.9466181882931,1020.2182754156435,0.5738978413997993,0.9304051657083569,0.9652335142017389,0
06/08/2022ExeterPort Vale,Exeter,Port Vale,06/08/2022,2.13,1.68,3.08,2.33,1.0,11,7,1,2,1,1,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1004.0989493079212,1010.928144413346,0.5899213818836481,0.9895043162719376,1.0037526807996404,1
06/08/2022Fleetwood TownPlymouth,Fleetwood Town,Plymouth,06/08/2022,1.95,1.83,2.24,3.09,1.0,21,6,1,1,2,0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,3.125,1.0,1.0,1.0,0.0,889.1013247331904,1115.5446543138842,0.288935390432332,1.1204122278563857,0.9447861703438631,1
06/08/2022Forest GreenIpswich,Forest Green,Ipswich,06/08/2022,2.05,1.74,2.07,3.55,1.0,4,12,2,1,1,1,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1019.5508129847464,1018.7504090092398,0.6005026414411472,1.020018430637745,0.7787822752034145,1
06/08/2022Milton Keynes DonsSheffield Weds,Milton Keynes Dons,Sheffield Weds,06/08/2022,2.12,1.69,2.29,3.13,1.0,22,16,0,3,1,3,0.0,3.0,1.0,3.0,0.0,3.0,1.0,3.0,4.0,0.0,3.0,0.0,1.0,1133.982734799676,1063.3310390108945,0.6920362473726392,0.9049807398686568,1.1643017410351515,0
06/08/2022OxfordCambridge,Oxford,Cambridge,06/08/2022,1.82,1.96,4.78,1.7,1.0,23,2,0,1,1,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1053.5737074859608,1034.6011092412352,0.6253144368010372,1.2672499613930932,1.009592495731556,0
06/08/2022PeterboroMorecambe,Peterboro,Morecambe,06/08/2022,1.78,2.0,6.23,1.49,1.0,5,14,3,0,2,0,3.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,1088.9465791552825,909.9375075059461,0.8074323013432338,1.0488683821751814,1.0759463512503395,1
06/08/2022PortsmouthLincoln,Portsmouth,Lincoln,06/08/2022,1.85,1.92,4.34,1.78,1.0,15,13,3,1,3,1,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,2.6666666666666665,3.0,1.0,1.0,0.0,1005.1297117231343,998.129965110726,0.6090322560903154,0.9511591274960349,1.001920204830726,0
06/08/2022ShrewsburyAccrington,Shrewsbury,Accrington,06/08/2022,2.03,1.76,3.18,2.21,1.0,17,8,0,2,0,2,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.25,0.0,2.0,0.0,1.0,997.4784973984175,1007.1140332460166,0.5860077566370098,0.7376279866162132,1.2603826317936893,0
