GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,HtACGP3G,AtACGP3G,OvUn25
17/08/2018ReimsLyon,Reims,Lyon,17/08/2018,1.71,2.12,1.69,4.81,1.0,9,4,1,2,0,0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1075.7022675468345,1174.6613246877841,0.4584208107612667,0.7618886038729858,1.2675991758340623,0.0,0.0,0
18/08/2018AmiensMontpellier,Amiens,Montpellier,18/08/2018,2.67,1.45,2.46,3.15,1.0,15,13,0,1,2,2,0.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,924.6219401193675,984.4859232083677,0.5145827639535282,0.9643594606289052,0.9024242834829475,2.0,2.0,1
18/08/2018CaenNice,Caen,Nice,18/08/2018,2.43,1.54,2.7,2.76,1.0,19,14,0,0,3,1,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,925.7153195640072,1016.4346608539779,0.47021776788718356,0.8162983447837845,0.9055151416777533,3.0,1.0,0
18/08/2018DijonNantes,Dijon,Nantes,18/08/2018,2.08,1.73,2.81,2.57,1.0,7,17,2,1,1,3,2.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,951.6070175517012,984.4470961277491,0.5532744389786182,1.080612605712961,0.9132594796948332,1.0,3.0,0
18/08/2018GuingampParis SG,Guingamp,Paris SG,18/08/2018,1.44,2.6,1.25,10.99,1.0,12,3,1,3,2,0,1.0,3.0,2.0,0.0,1.0,3.0,2.0,0.0,3.5,1.0,3.0,1.0,1.0,884.3125282805883,1370.5589854426055,0.08347002263896725,1.0987886277846988,1.395576993882211,2.0,0.0,1
18/08/2018MonacoLille,Monaco,Lille,18/08/2018,1.62,2.26,6.0,1.52,1.0,5,4,3,3,1,1,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1145.540759203632,1058.8595048443094,0.7113459159474007,1.252266300297781,1.184433318613542,1.0,1.0,0
18/08/2018RennesAngers,Rennes,Angers,18/08/2018,2.31,1.59,4.41,1.89,1.0,18,11,1,3,3,4,1.0,3.0,3.0,4.0,1.0,3.0,3.0,4.0,1.5,1.0,3.0,1.0,1.0,1068.7225481010305,995.1584441411164,0.6955977254085065,0.9620687477825207,0.9939231407019982,3.0,4.0,0
19/08/2018NimesMarseille,Nimes,Marseille,19/08/2018,1.63,2.25,1.75,4.37,1.0,9,6,4,4,3,0,4.0,4.0,3.0,0.0,4.0,4.0,3.0,0.0,0.0,4.0,4.0,1.0,1.0,968.5483582100433,1144.4065068594998,0.3522032678834633,1.2004155708290998,1.1548102306972294,3.0,0.0,1
19/08/2018StrasbourgSt Etienne,Strasbourg,St Etienne,19/08/2018,2.16,1.68,2.7,2.68,1.0,7,10,2,2,0,1,2.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,2.5,2.0,2.0,0.0,1.0,994.9156696819358,979.2894776640403,0.6207902975873257,0.9605466523808214,1.095422448348454,0.0,1.0,0
19/08/2018ToulouseBordeaux,Toulouse,Bordeaux,19/08/2018,2.37,1.57,2.91,2.57,1.0,20,16,0,0,4,2,0.0,0.0,4.0,2.0,0.0,0.0,4.0,2.0,3.25,0.0,0.0,1.0,0.0,877.9998330122559,1006.9335677370252,0.41599170954462156,1.0047203617613154,1.0602099911068938,4.0,2.0,1
