GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at
16/08/2019LyonAngers,Lyon,Angers,16/08/2019,1.6,2.34,6.4,1.5,1.0,1,3,3,3,0,1,3.0,3.0,0.0,1.0,3.0,3.0,0.0,1.0,3.1666666666666665,3.0,3.0,1.0,1.0,1173.547146106539,1036.3231757680733,0.7672552296329551,1.3212795344701458,0.9675361205187988
17/08/2019NantesMarseille,Nantes,Marseille,17/08/2019,2.11,1.73,2.88,2.58,1.0,16,18,1,0,2,2,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,3.1666666666666665,1.0,0.0,1.0,0.0,1016.5413514764113,1084.4259609272815,0.5030442540975785,1.0197381396618859,1.2153829842329715
17/08/2019AmiensLille,Amiens,Lille,17/08/2019,2.52,1.52,2.38,3.25,1.0,13,4,1,2,2,1,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,953.8263271705408,1154.3155373732764,0.3205694063921742,0.7797172490101125,1.066486327180979
17/08/2019BordeauxMontpellier,Bordeaux,Montpellier,17/08/2019,2.52,1.52,2.9,2.7,1.0,17,15,1,0,3,1,1.0,0.0,3.0,1.0,1.0,0.0,3.0,1.0,3.5,1.0,0.0,1.0,0.0,935.8754726816749,1041.6125783236203,0.44875078421445025,0.7776744270086361,0.9912737500428985
17/08/2019MetzMonaco,Metz,Monaco,17/08/2019,2.4,1.56,2.55,2.98,1.0,10,19,1,0,1,3,1.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,4.25,1.0,0.0,0.0,1.0,872.8449299750155,974.8831672765764,0.45402351404730756,1.149926690079416,1.0396347262433536
17/08/2019NimesNice,Nimes,Nice,17/08/2019,2.07,1.76,3.46,2.16,1.0,20,5,0,2,3,1,0.0,2.0,3.0,1.0,0.0,2.0,3.0,1.0,1.5,0.0,2.0,1.0,1.0,1008.2384846795773,1044.6072246951392,0.5482486717155577,1.1347683596349256,0.7550179722214965
17/08/2019ToulouseDijon,Toulouse,Dijon,17/08/2019,2.09,1.75,3.87,2.0,1.0,12,14,1,1,1,2,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.3333333333333335,1.0,1.0,0.0,1.0,923.9714926507244,855.9260829031301,0.688829600691217,0.9369019395263765,0.9004988845335149
18/08/2019St EtienneBrest,St Etienne,Brest,18/08/2019,1.81,2.0,5.49,1.63,1.0,8,12,2,1,1,1,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1132.7043453420072,1000.0,0.7625769788285691,1.115134949692674,1.0
18/08/2019ReimsStrasbourg,Reims,Strasbourg,18/08/2019,2.42,1.56,4.0,2.04,1.0,6,13,2,1,0,1,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,3.5,2.0,1.0,0.0,0.0,1032.7027958250696,945.4085782771041,0.7120698924025302,0.9621943670304983,1.1302703203136473
18/08/2019RennesParis SG,Rennes,Paris SG,18/08/2019,1.42,2.8,1.36,7.83,1.0,7,5,1,3,0,0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,3.5,1.0,3.0,0.0,1.0,1049.97637044288,1308.5031298684155,0.25251430550447096,1.0389324110230689,1.382619057690096
