GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,OvUn25
30/08/2020ReimsLille,Reims,Lille,30/08/2020,2.52,1.52,2.56,3.03,1.0,11,8,2,1,2,1,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,1101.190667837325,1127.2567114245549,0.5628911896955806,0.796176964709689,1.0357961714874007,0
30/08/2020AngersBordeaux,Angers,Bordeaux,30/08/2020,2.55,1.51,3.44,2.28,1.0,6,7,1,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.142857142857143,1.0,0.0,0.0,0.0,980.4936018139584,984.6254815564872,0.5936722693131264,0.8639825710535687,1.0288485063806263,0
30/08/2020MetzMonaco,Metz,Monaco,30/08/2020,1.98,1.83,2.01,3.74,0.5,13,9,0,2,0,2,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,4.0,0.0,2.0,0.5,1.0,971.4779119606885,1115.7240838959601,0.39474847589265666,1.0048577723825762,1.2155441295297749,0
30/08/2020NantesNimes,Nantes,Nimes,30/08/2020,2.32,1.61,4.28,1.96,1.0,10,3,0,4,0,0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,2.6666666666666665,0.0,4.0,0.0,1.0,1021.6375768058936,1024.1808589350833,0.5958763015664063,0.7849240667071463,1.191256420672277,1
30/08/2020St EtienneLorient,St Etienne,Lorient,30/08/2020,2.25,1.64,3.29,2.27,0.5,15,5,0,3,0,1,0.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0,3.5,0.0,3.0,0.5,1.0,977.4509491035606,928.6234290231282,0.6646367082852352,1.0463602486547765,1.2123850513647827,0
30/08/2020BrestMarseille,Brest,Marseille,30/08/2020,1.79,2.01,2.09,3.36,0.5,18,12,0,0,4,0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,1.0,0.5,980.9184093987441,1150.9056217273537,0.35995195917999506,1.0875845896227516,1.0091924163272608,1
10/09/2020LensParis SG,Lens,Paris SG,10/09/2020,1.88,1.93,1.68,4.9,0.5,15,14,1,0,2,0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.5,985.1421786214062,1272.34123261895,0.22264851288464163,1.0135532896147195,1.4983386177803164,0
11/09/2020BordeauxLyon,Bordeaux,Lyon,11/09/2020,2.07,1.76,1.89,4.31,1.5,2,7,2,4,0,1,1.0,4.0,0.0,1.0,1.0,4.0,0.0,1.0,3.5,1.0,4.0,0.0,1.0,1008.3723723290123,1119.4276536225418,0.44119017364168883,1.0237033112837541,1.161052704035348,0
12/09/2020MontpellierNice,Montpellier,Nice,12/09/2020,2.16,1.7,3.4,2.21,1.5,16,1,1,2,2,0,1.0,2.0,2.0,0.5,1.0,2.0,2.0,0.5,1.8571428571428572,1.0,2.0,1.0,0.5,1052.0934968326785,1057.2574726238977,0.5922383010987248,0.8924659613671961,0.9500788973095582,1
12/09/2020St EtienneStrasbourg,St Etienne,Strasbourg,12/09/2020,2.32,1.61,3.56,2.16,1.5,9,19,2,0,0,2,2.0,0.5,0.0,2.5,2.0,0.5,0.0,2.5,2.6,2.0,0.5,0.0,0.5,990.8654807721512,962.9604212555853,0.6372820558262646,1.027035054761801,0.9677726740453289,0
13/09/2020LilleMetz,Lille,Metz,13/09/2020,2.2,1.67,6.65,1.56,1.5,5,16,1,0,0,1,1.0,0.0,0.5,1.0,1.0,0.0,0.5,1.0,2.8,1.0,0.0,0.0,0.0,1149.772359012378,955.6879729249822,0.8205667410424177,1.0091264064291006,0.9710684205081288,0
13/09/2020AngersReims,Angers,Reims,13/09/2020,2.79,1.43,3.36,2.39,2.0,14,15,0,0,2,1,0.5,1.0,1.0,1.5,0.5,1.0,1.0,1.5,2.25,0.5,1.0,0.0,0.5,956.7467110414334,1078.6750202495018,0.4258206937683737,0.859661858275352,0.7756769347055753,0
13/09/2020DijonBrest,Dijon,Brest,13/09/2020,2.14,1.71,2.97,2.5,2.0,18,19,1,2,4,3,0.5,1.0,2.5,3.5,0.5,1.0,2.5,3.5,2.5,0.5,1.0,0.5,1.0,957.9903327461299,966.5203310315443,0.5875508267407668,1.062802660379696,1.1322944915918172,0
13/09/2020LorientLens,Lorient,Lens,13/09/2020,2.24,1.65,3.52,2.15,2.0,13,12,0,1,2,0,1.5,1.0,1.5,1.0,1.5,1.0,1.5,1.0,0.0,1.5,1.0,0.5,0.5,915.2088973545376,1016.2362381060206,0.45546639227382596,1.1899935507122197,0.9762237426840927,1
13/09/2020NimesRennes,Nimes,Rennes,13/09/2020,2.21,1.67,2.27,3.29,2.0,9,8,1,2,2,1,2.5,1.5,1.0,1.0,2.5,1.5,1.0,1.0,3.0,2.5,1.5,1.0,0.5,1008.0159109977395,1097.4713173309115,0.47203064784643517,1.2081341147724487,0.8739608786247042,1
13/09/2020MonacoNantes,Monaco,Nantes,13/09/2020,1.9,1.91,3.93,1.93,2.0,6,7,1,2,0,1,1.5,1.0,1.0,0.5,1.5,1.0,1.0,0.5,2.142857142857143,1.5,1.0,0.5,0.5,1131.5140229316664,1037.8025247432372,0.7195840173170083,1.1746702372830986,0.7960448531808676,1
