"GameIndex","HomeTeam","AwayTeam","Date","AvgO25","AvgU25","AvgH","AvgA","AvgD","Played","TG","HtPos","AtPos","HtSGLG","AtSGLG","HtCGLG","AtCGLG","HtASGPG","AtASGPG","HtACGPG","AtACGPG","HtASGP5G","AtASGP5G","HtACGP5G","AtACGP5G","AGTM","HtASGP3G","AtASGP3G","HtACGP3G","AtACGP3G","HtpercentGO","AtpercentGO","FTR","elo_ht","elo_at","win_e_ht","tilt_ht","tilt_at"
"12/08/2022NantesLille","Nantes","Lille","12/08/2022",1.95,1.87,3.02,2.4,3.37,1,2,10,2,0,4,0,1,0,4,0,1,0,4,0,1,2.41666666666667,0,4,0,1,0,1,"D",1055.48066112487,1112.97723673165,0.517986218761642,1.00248194382126,1.02465462078004
"13/08/2022MonacoRennes","Monaco","Rennes","13/08/2022",1.76,2.08,2.17,3.26,3.6,1,2,7,15,2,0,1,1,2,0,1,1,2,0,1,1,3.54545454545455,2,0,1,1,1,0,"D",1245.47136544805,1103.47350732047,0.772126546525924,1.1293140040352,1.26840362400291
"13/08/2022Paris SGMontpellier","Paris SG","Montpellier","13/08/2022",1.22,4.25,1.1,24.23,11.08,1,7,2,8,5,3,0,2,5,3,0,2,5,3,0,2,3.58333333333333,5,3,0,2,1,1,"H",1258.54852637028,944.573902638179,0.901173808115007,1.42083093915905,1.14084505556742
"14/08/2022AjaccioLens","Ajaccio","Lens","14/08/2022",2.22,1.67,3.16,2.36,3.25,1,0,14,5,1,3,2,2,1,3,2,2,1,3,2,2,0,1,3,2,2,1,1,"D",990.87157466449,1149.70992988492,0.374866711182229,0.995938030580492,1.1687265136346
"14/08/2022AuxerreAngers","Auxerre","Angers","14/08/2022",2.11,1.74,2.23,3.42,3.27,1,4,18,10,1,0,4,0,1,0,4,0,1,0,4,0,0,1,0,4,0,1,0,"D",989.171145320303,942.521113495669,0.661837023152932,1.05274106446346,0.926612673618311
"14/08/2022ReimsClermont","Reims","Clermont","14/08/2022",2.16,1.7,2.14,3.63,3.28,1,6,19,20,1,0,4,5,1,0,4,5,1,0,4,5,0.5,1,0,4,5,1,1,"A",1004.28605040678,923.667524440606,0.704127401727482,0.935772580487407,1.0688710385091
"14/08/2022TroyesToulouse","Troyes","Toulouse","14/08/2022",2.1,1.74,2.67,2.7,3.3,1,3,17,12,2,1,3,1,2,1,3,1,2,1,3,1,0.5,2,1,3,1,1,0,"A",948.851806143339,788.373710953344,0.790300648153451,0.97001424424243,1.06121812934864
"14/08/2022NiceStrasbourg","Nice","Strasbourg","14/08/2022",2.1,1.75,2.19,3.48,3.31,1,2,11,16,1,1,1,2,1,1,1,2,1,1,1,2,1.77777777777778,1,1,1,2,0,1,"D",1106.11997533978,1112.2144980003,0.590944105604946,0.945516072653625,0.930717213917341
"14/08/2022BrestMarseille","Brest","Marseille","14/08/2022",1.73,2.13,4.11,1.84,3.83,1,2,15,4,2,4,3,1,2,4,3,1,2,4,3,1,4,2,4,3,1,1,1,"D",982.920624907276,1171.06808035183,0.33623637707942,1.11767400879595,1.15963914186679
"19/08/2022LyonTroyes","Lyon","Troyes","19/08/2022",1.47,2.68,1.29,9.54,5.96,1.5,5,8,19,2,0,1,3,2,1,1,3,2,1,1,3,3.25,2,1,1,3,1,1,"H",1150.79359109981,917.239780400749,0.851624077676832,1.30080199520364,0.978052332433979
"20/08/2022MonacoLens","Monaco","Lens","20/08/2022",1.69,2.18,1.77,4.4,3.96,2,5,7,6,1,0,1,0,1.5,1.5,1,1,1.5,1.5,1,1,2.25,1.5,1.5,1,1,0.5,0.5,"A",1234.58630528341,1144.70459535256,0.715114036132739,1.10438400685655,1.11029018795287
"20/08/2022MarseilleNantes","Marseille","Nantes","20/08/2022",1.79,2.04,1.59,5.57,4.16,2,3,4,12,1,1,1,1,2.5,0.5,1,0.5,2.5,0.5,1,0.5,2.91666666666667,2.5,0.5,1,0.5,0.5,0,"H",1164.51753772468,1054.76121672105,0.737837765338664,1.13744579548212,0.991395390782931
"21/08/2022StrasbourgReims","Strasbourg","Reims","21/08/2022",2.14,1.71,1.81,4.75,3.53,2,2,17,19,1,2,1,4,1,1.5,1.5,4,1,1.5,1.5,4,2.25,1,1.5,1.5,4,0.5,1,"D",1115.85226096321,976.120957889101,0.769822711555482,0.926486292457185,1.00125193859774
"21/08/2022AngersBrest","Angers","Brest","21/08/2022",1.97,1.85,2.31,3.17,3.34,2,4,11,15,2,1,2,1,1,1.5,1,2,1,1.5,1,2,1.66666666666667,1,1.5,1,2,0.5,0.5,"A",948.994596061833,989.47116753442,0.54238561795429,0.956274135905242,1.09628379736999
"21/08/2022ClermontNice","Clermont","Nice","21/08/2022",2,1.82,3.59,2.08,3.48,2,1,10,12,4,1,2,1,2,1,3.5,1,2,1,3.5,1,2,2,1,3.5,1,1,0,"H",951.832616958286,1102.48221237687,0.385976570497151,1.1436637723033,0.941217877473722
"21/08/2022MontpellierAuxerre","Montpellier","Auxerre","21/08/2022",1.89,1.92,2.12,3.42,3.53,2,3,9,18,2,2,5,2,2.5,1.5,3.5,3,2.5,1.5,3.5,3,0,2.5,1.5,3.5,3,1,1,"A",940.620855449447,982.697662754139,0.540098417026942,1.18233669316369,1.08643997693306
