GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,OvUn25
25/08/17BetisCelta,Betis,Celta,25/08/17,1.97,1.85,3.25,2.25,1.0,19,15,0,2,2,3,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,3.5,0.0,2.0,0.0,1.0,912.0272691273098,898.7262568267741,0.6176343280217462,1.0551608815917501,1.2084081184749458,1
25/08/17SociedadVillarreal,Sociedad,Villarreal,25/08/17,2.07,1.76,3.67,2.09,1.0,6,18,3,0,2,1,3.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,1071.5324229513626,1069.68896222011,0.6019421994567605,1.1320764913547465,0.9179252968868155,1
26/08/17AlavesBarcelona,Alaves,Barcelona,26/08/17,1.57,2.38,1.3,10.19,1.0,15,3,0,2,1,0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,4.5,0.0,2.0,0.0,0.0,1027.0467920711435,1245.3019562886643,0.29871481087282514,0.8490559027106419,1.4986537649801719,0
26/08/17GironaMalaga,Girona,Malaga,26/08/17,2.2,1.67,3.59,2.16,1.0,13,17,2,0,2,1,2.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1005.6486559647725,971.7295681640522,0.645245841646659,1.0356448825295879,0.9716564732799716,0
26/08/17Las PalmasAth Madrid,Las Palmas,Ath Madrid,26/08/17,2.09,1.74,1.77,4.76,1.0,16,10,0,2,1,2,0.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,856.5197814809335,1165.220158684505,0.20196310063384357,1.2211391078257718,0.9673851858427625,1
26/08/17LevanteLa Coruna,Levante,La Coruna,26/08/17,2.31,1.61,3.53,2.2,1.0,6,19,1,0,0,3,1.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1021.2010804980762,903.6401361163851,0.746434857412114,0.9711598894316427,0.9873791013750807,1
27/08/17EibarAth Bilbao,Eibar,Ath Bilbao,27/08/17,2.2,1.67,2.9,2.55,1.0,7,11,1,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,1.0,0.0,0.0,0.0,1012.4653210141895,1053.7128784452057,0.5412838886149015,0.9693570311954997,0.9399617726243655,0
27/08/17EspanolLeganes,Espanol,Leganes,27/08/17,2.49,1.53,4.33,1.96,1.0,12,8,1,1,1,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1027.667516167924,937.7210754850377,0.7151899540889575,0.9227933875435437,0.8948493124538972,0
27/08/17GetafeSevilla,Getafe,Sevilla,27/08/17,1.87,1.93,2.13,3.47,1.0,13,14,0,1,0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1007.1983808542,1075.2083526881706,0.5028638494253115,0.95,1.1202595549475258,0
27/08/17Real MadridValencia,Real Madrid,Valencia,27/08/17,1.22,4.2,14.23,1.17,1.0,6,9,3,1,0,0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,1244.3877714548885,989.5697709237655,0.8664354482864965,1.4605421586295695,1.1000466405602176,1
08/09/17LeganesGetafe,Leganes,Getafe,08/09/17,2.41,1.56,3.95,2.07,2.0,3,14,1,0,0,1,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,966.328673648596,987.0838268771876,0.5703982355122018,0.8717801707517817,0.9203530055036547,1
