GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at
24/08/2018GetafeEibar,Getafe,Eibar,24/08/2018,2.62,1.47,4.32,1.98,1.0,17,14,0,1,2,2,0.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.5,0.0,1.0,0.0,1.0,1041.9018284972922,998.1135430851003,0.6581403703915406,0.7304815202792475,0.9199756460699071
24/08/2018LeganesSociedad,Leganes,Sociedad,24/08/2018,2.36,1.58,2.18,3.57,1.0,15,7,1,2,2,1,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.5,1.0,2.0,1.0,1.0,913.7229036929726,1033.7942699823798,0.4284362792352437,0.9548293684175585,1.1769398444205672
25/08/2018AlavesBetis,Alaves,Betis,25/08/2018,2.13,1.7,2.63,2.77,1.0,17,18,0,0,3,3,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,1004.8339191093395,1028.2043519657232,0.5667053115242178,0.9260293235716337,1.1494545112431336
25/08/2018Ath MadridVallecano,Ath Madrid,Vallecano,25/08/2018,1.57,2.38,20.03,1.16,1.0,9,20,1,1,1,4,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,1179.0134604024477,979.5698046819251,0.8250642304027942,0.867623888175416,1.039972257174581
25/08/2018ValladolidBarcelona,Valladolid,Barcelona,25/08/2018,1.42,2.8,1.17,16.55,1.0,14,2,0,3,0,0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1003.2769133200804,1298.0385550055848,0.2152049089517352,0.95,1.4095716223075812
26/08/2018EspanolValencia,Espanol,Valencia,26/08/2018,2.07,1.74,2.37,3.08,1.0,11,13,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75,1.0,1.0,0.0,0.0,1035.7793397759363,1107.0597274007523,0.49815738243022484,0.8088794857724516,0.9547063420791146
26/08/2018GironaReal Madrid,Girona,Real Madrid,26/08/2018,1.5,2.52,1.36,8.29,1.0,12,6,0,2,0,0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,984.1666660852989,1211.8698145896838,0.2874477174407314,1.0613061323207695,1.4706439029382925
26/08/2018SevillaVillarreal,Sevilla,Villarreal,26/08/2018,1.71,2.12,4.51,1.76,1.0,5,18,4,1,1,2,4.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,2.25,4.0,1.0,1.0,1.0,1082.955784335948,1057.8621755014572,0.6335328146685759,1.1558810347023194,1.1236577070786524
27/08/2018Ath BilbaoHuesca,Ath Bilbao,Huesca,27/08/2018,2.01,1.79,5.95,1.63,1.0,8,9,2,2,1,1,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,975.5183965301164,1025.2486293407428,0.5291374891093225,1.005611036758157,1.0162809467459808
27/08/2018LevanteCelta,Levante,Celta,27/08/2018,2.03,1.78,2.93,2.49,1.0,7,11,3,1,0,1,3.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,3.5,3.0,1.0,1.0,0.0,1064.6076447569314,995.5938775783889,0.6900231584666379,1.1211924976192824,1.170986270531749
31/08/2018EibarSociedad,Eibar,Sociedad,31/08/2018,2.2,1.67,2.66,2.79,2.0,19,9,0,2,2,2,0.5,2.0,2.0,1.5,0.5,2.0,2.0,1.5,2.5,0.5,2.0,0.5,1.0,984.439157900762,1030.9317211517896,0.5337783924342314,0.928735264751982,1.2018774556544831
31/08/2018GetafeValladolid,Getafe,Valladolid,31/08/2018,2.59,1.49,4.86,1.91,2.0,11,13,2,0,0,1,1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,1055.5762136816306,994.668716962011,0.6799548079899311,0.7374368561071942,0.9166887078907409
31/08/2018VillarrealGirona,Villarreal,Girona,31/08/2018,1.91,1.89,6.19,1.57,2.0,14,18,0,1,0,4,0.5,0.5,1.0,2.0,0.5,0.5,1.0,2.0,2.5,0.5,0.5,0.5,0.5,1063.2034880882002,972.6687573876696,0.7158792522202551,1.0674748217247199,1.0762382517302997
01/09/2018CeltaAth Madrid,Celta,Ath Madrid,01/09/2018,2.1,1.72,1.78,4.83,2.0,7,6,2,1,1,0,1.5,1.0,1.0,0.5,1.5,1.0,1.0,0.5,3.25,1.5,1.0,0.5,0.0,1023.1948039170544,1186.0108911863358,0.36951632379821914,1.1659514071351817,0.8434739760071315
