"GameIndex","HomeTeam","AwayTeam","Date","AvgO25","AvgU25","AvgH","AvgA","AvgD","Played","TG","HtPos","AtPos","HtSGLG","AtSGLG","HtCGLG","AtCGLG","HtASGPG","AtASGPG","HtACGPG","AtACGPG","HtASGP5G","AtASGP5G","HtACGP5G","AtACGP5G","AGTM","HtASGP3G","AtASGP3G","HtACGP3G","AtACGP3G","HtpercentGO","AtpercentGO","FTR","elo_ht","elo_at","win_e_ht","tilt_ht","tilt_at"
"19/08/2022EspanolVallecano","Espanol","Vallecano","19/08/2022",2.43,1.57,2.51,3.18,3.05,1,2,11,13,2,0,2,0,2,0,2,0,2,0,2,0,2.25,2,0,2,0,1,0,"A",951.059841785355,945.124765751536,0.607571854984519,0.96798794689444,0.910044921763721
"19/08/2022SevillaValladolid","Sevilla","Valladolid","19/08/2022",1.95,1.88,1.53,6.71,4.17,1,2,17,20,1,0,2,3,1,0,2,3,1,0,2,3,1.66666666666667,1,0,2,3,1,1,"D",1143.66818112969,897.104289555444,0.860840477542635,0.853770623775746,0.974698854894507
"20/08/2022OsasunaCadiz","Osasuna","Cadiz","20/08/2022",2.42,1.57,1.95,4.44,3.26,1,2,5,17,2,0,1,1,2,0,1,1,2,0,1,1,3.5,2,0,1,1,1,0,"H",1022.76347552728,1007.20222188957,0.62070235668263,0.945751607204491,0.890203616588345
"20/08/2022MallorcaBetis","Mallorca","Betis","20/08/2022",2.18,1.7,3.1,2.42,3.26,1,3,12,3,0,3,0,0,0,3,0,0,0,3,0,0,3.5,0,3,0,0,0,1,"A",960.941127459151,1141.22368118449,0.346414419986411,1.00874087147943,0.993161032927799
"20/08/2022CeltaReal Madrid","Celta","Real Madrid","20/08/2022",1.68,2.21,4.71,1.68,4.19,1,5,11,6,2,2,2,1,2,2,2,1,2,2,2,1,4.16666666666667,2,2,2,1,1,1,"A",1007.67518315155,1289.92507943655,0.227618320275044,0.97970777440186,1.1208141181715
"21/08/2022Ath BilbaoValencia","Ath Bilbao","Valencia","21/08/2022",2.06,1.77,1.77,4.95,3.61,1,1,9,8,0,1,0,0,0,1,0,0,0,1,0,0,2.08333333333333,0,1,0,0,0,0,"H",1050.08392803349,1023.60267343646,0.63538530584723,0.835336342520959,0.920379009624059
"21/08/2022Ath MadridVillarreal","Ath Madrid","Villarreal","21/08/2022",2.05,1.78,1.93,4.14,3.52,1,2,5,6,3,3,0,0,3,3,0,0,3,3,0,0,2.25,3,3,0,0,1,1,"A",1212.15344349508,1114.17856333812,0.724509289879856,1.10262996343352,1.14031273028157
"21/08/2022SociedadBarcelona","Sociedad","Barcelona","21/08/2022",1.79,2.05,3.38,2.12,3.62,1,5,7,10,1,0,0,0,1,0,0,0,1,0,0,0,3.5,1,0,0,0,0,0,"A",1124.832246265,1193.41755867831,0.502035761796084,0.817060360608864,1.04702567978595
"22/08/2022ElcheAlmeria","Elche","Almeria","22/08/2022",2.2,1.68,2.5,3.01,3.2,1,2,19,16,0,1,3,2,0,1,3,2,0,1,3,2,0,0,1,3,2,1,1,"D",968.514630908745,990.834808634347,0.568189214547311,1.02254795372195,1.0037323165516
"22/08/2022GironaGetafe","Girona","Getafe","22/08/2022",2.89,1.41,2.81,2.97,2.84,1,4,17,20,0,0,1,3,0,0,1,3,0,0,1,3,1.75,0,0,1,3,0,1,"H",890.441363639111,983.323128248678,0.46711811340021,0.926031399636817,0.760924658929699
"26/08/2022GironaCelta","Girona","Celta","26/08/2022",2.21,1.68,2.77,2.75,3.15,2,1,9,16,3,1,1,4,1.5,1.5,1,3,1.5,1.5,1,3,3.75,1.5,1.5,1,3,0.5,1,"A",911.756642806243,998.570450190161,0.475821725104708,0.984865074072638,1.01994324610699
"26/08/2022BetisOsasuna","Betis","Osasuna","26/08/2022",1.93,1.9,1.8,4.66,3.68,2,1,2,4,2,2,1,0,2.5,2,0.5,0.5,2.5,2,0.5,0.5,2.5,2.5,2,0.5,0.5,1,0.5,"H",1155.0802603964,1037.93538377328,0.745981299225923,1.00298307344026,0.943397567053076
"27/08/2022ElcheSociedad","Elche","Sociedad","27/08/2022",2.31,1.63,3.64,2.21,3.16,2,1,17,12,1,1,1,4,0.5,1,2,2,0.5,1,2,2,2.25,0.5,1,2,2,0.5,0.5,"A",965.787061068483,1104.75081075134,0.402036467746796,1.01127181850933,0.871715983799564
"27/08/2022VallecanoMallorca","Vallecano","Mallorca","27/08/2022",2.34,1.61,2.07,4.02,3.23,2,2,6,14,2,1,0,2,1,0.5,0,1,1,0.5,0,1,3.5,1,0.5,0,1,0,0.5,"A",969.427644125184,947.08454824725,0.629849124992374,0.905865504258609,1.0187169915423
"27/08/2022AlmeriaSevilla","Almeria","Sevilla","27/08/2022",2.25,1.66,3.56,2.21,3.23,2,3,13,15,1,1,1,1,1,1,1.5,1.5,1,1,1.5,1.5,0,1,1,1.5,1.5,0.5,0.5,"H",993.562378474608,1129.23456226039,0.406599815375804,0.992663670550674,0.852120408985031
"28/08/2022GetafeVillarreal","Getafe","Villarreal","28/08/2022",2.37,1.6,4.49,1.91,3.36,2,0,20,2,1,2,3,0,0.5,2.5,3,0,0.5,2.5,3,0,2.6,0.5,2.5,3,0,1,0.5,"D",962.007849081546,1143.15893861721,0.345283349435061,0.809268585141289,1.11957399656038
"28/08/2022BarcelonaValladolid","Barcelona","Valladolid","28/08/2022",1.37,3.05,1.15,17.97,8.47,2,4,6,17,4,1,1,1,2,0.5,0.5,2,2,0.5,0.5,2,2.16666666666667,2,0.5,0.5,2,0.5,0.5,"H",1213.49899419197,911.537908424737,0.89484172002917,1.11706437433567,0.972814903371642
"28/08/2022EspanolReal Madrid","Espanol","Real Madrid","28/08/2022",1.61,2.33,6.63,1.46,4.83,2,4,15,3,0,4,2,1,1,3,2,1,1,3,2,1,2.4,1,3,2,1,0.5,1,"A",926.756963411707,1299.02981239794,0.149310126394819,0.96354242374142,1.16684466515367
"29/08/2022CadizAth Bilbao","Cadiz","Ath Bilbao","29/08/2022",2.52,1.53,3.78,2.18,3.11,2,4,20,7,0,1,2,0,0,0.5,1.5,0,0,0.5,1.5,0,2.75,0,0.5,1.5,0,0,0,"A",992.030313643576,1064.66851288717,0.496203397973889,0.887987839168122,0.815299703713699
"29/08/2022ValenciaAth Madrid","Valencia","Ath Madrid","29/08/2022",2.25,1.66,4.02,2.03,3.33,2,1,14,12,0,0,1,2,0.5,1.5,0.5,1,0.5,1.5,0.5,1,2.91666666666667,0.5,1.5,0.5,1,0,0.5,"A",1009.01808858278,1183.17306821599,0.354443364025234,0.898302510802079,1.08257656176799
"02/09/2022CeltaCadiz","Celta","Cadiz","02/09/2022",2.32,1.62,1.67,5.93,3.65,3,3,12,20,1,0,0,4,1.33333333333333,0,2,2.33333333333333,1.33333333333333,0,2,2.33333333333333,1.75,1.33333333333333,0,2,2.33333333333333,0.666666666666667,0.333333333333333,"H",1017.60332451329,972.182177681081,0.660251965611112,0.98925343404333,0.941711873031655
"03/09/2022MallorcaGirona","Mallorca","Girona","03/09/2022",2.37,1.6,2.17,3.79,3.16,3,2,10,13,2,0,0,1,1,1,0.666666666666667,1,1,1,0.666666666666667,1,0,1,1,0.666666666666667,1,0.333333333333333,0.333333333333333,"D",972.278513025663,892.723768483111,0.702849920856178,1.01193780739946,0.955230754568373
"03/09/2022Real MadridBetis","Real Madrid","Betis","03/09/2022",1.46,2.71,1.43,6.82,5.13,3,3,1,2,3,1,1,0,3,2,1,0.333333333333333,3,2,1,0.333333333333333,2.75,3,2,1,0.333333333333333,1,0.666666666666667,"H",1305.00221602105,1165.24100944735,0.769853208751077,1.191529393687,0.974033889641477
"03/09/2022SociedadAth Madrid","Sociedad","Ath Madrid","03/09/2022",2.31,1.63,2.96,2.58,3.17,3,2,9,7,1,1,0,0,1,1.33333333333333,1.33333333333333,0.666666666666667,1,1.33333333333333,1.33333333333333,0.666666666666667,2.41666666666667,1,1.33333333333333,1.33333333333333,0.666666666666667,0.333333333333333,0.333333333333333,"D",1120.83226671103,1197.35080385005,0.490620224964357,0.847907260993936,1.05071194841738
"03/09/2022SevillaBarcelona","Sevilla","Barcelona","03/09/2022",1.79,2.05,4.48,1.82,3.74,3,3,15,3,1,4,2,0,1,2.66666666666667,1.66666666666667,0.333333333333333,1,2.66666666666667,1.66666666666667,0.333333333333333,3,1,2.66666666666667,1.66666666666667,0.333333333333333,0.666666666666667,0.666666666666667,"A",1105.49855577622,1217.70532569919,0.439556715535148,0.869957821472854,1.14344673786864
"04/09/2022OsasunaVallecano","Osasuna","Vallecano","04/09/2022",2.33,1.61,2.06,4.23,3.13,3,3,9,13,0,0,1,2,1.33333333333333,0.666666666666667,0.666666666666667,0.666666666666667,1.33333333333333,0.666666666666667,0.666666666666667,0.666666666666667,2,1.33333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0,"H",1027.77463472232,944.233679346771,0.707619910705242,0.916168204676828,0.899837304952031
"04/09/2022Ath BilbaoEspanol","Ath Bilbao","Espanol","04/09/2022",2.06,1.78,1.57,6.46,3.98,3,1,4,16,4,1,0,3,1.66666666666667,1,0,2.33333333333333,1.66666666666667,1,0,2.33333333333333,1.8,1.66666666666667,1,0,2.33333333333333,0.333333333333333,0.666666666666667,"A",1084.51664884966,920.784559788598,0.793387967617607,0.864626042385495,0.983926270769826
"04/09/2022VillarrealElche","Villarreal","Elche","04/09/2022",1.73,2.13,1.35,9.56,5.08,3,4,5,15,0,0,0,1,1.66666666666667,0.333333333333333,0,1.66666666666667,1.66666666666667,0.333333333333333,0,1.66666666666667,2.5,1.66666666666667,0.333333333333333,0,1.66666666666667,0.333333333333333,0.333333333333333,"H",1136.97027313931,949.705605108799,0.814713713759588,1.06359529673236,0.983651480170356
"04/09/2022ValenciaGetafe","Valencia","Getafe","04/09/2022",2.62,1.48,1.96,4.52,3.2,3,6,14,17,0,0,1,0,0.333333333333333,0.333333333333333,0.666666666666667,2,0.333333333333333,0.333333333333333,0.666666666666667,2,2.2,0.333333333333333,0.333333333333333,0.666666666666667,2,0,0.666666666666667,"H",994.840352948722,968.196514559445,0.635602255764069,0.871861829200921,0.768805155884224
