GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,HtACGP3G,AtACGP3G,OvUn25
19/08/17AZ AlkmaarDen Haag,AZ Alkmaar,Den Haag,19/08/17,1.44,2.67,7.7,1.35,1.0,11,15,2,0,3,3,2.0,0.0,3.0,3.0,2.0,0.0,3.0,3.0,2.5,2.0,0.0,1.0,1.0,988.1559265879437,959.2223965780967,0.6386494513837094,1.2619232248665524,1.122480871957945,3.0,3.0,0
19/08/17HeerenveenHeracles,Heerenveen,Heracles,19/08/17,1.48,2.53,4.69,1.65,1.0,10,7,3,2,3,1,3.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,4.5,3.0,2.0,1.0,1.0,918.3956383521651,1011.0994255457747,0.46737305174491206,1.236114305392593,1.2289534960760815,3.0,1.0,0
19/08/17TwenteVVV Venlo,Twente,VVV Venlo,19/08/17,1.67,2.13,4.36,1.75,1.0,13,3,1,3,2,0,1.0,3.0,2.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,948.16667637073,1011.1877713036575,0.5100421011613535,1.0935527476362974,1.0030323118080084,2.0,0.0,1
20/08/17AjaxGroningen,Ajax,Groningen,20/08/17,1.39,2.88,9.22,1.27,1.0,12,11,1,3,2,3,1.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1185.8085141041877,1013.3860178470011,0.8014682092882783,1.153589349097337,1.2953197745569178,2.0,3.0,1
20/08/17ExcelsiorFeyenoord,Excelsior,Feyenoord,20/08/17,1.52,2.42,1.41,6.95,1.0,7,8,2,2,1,1,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1007.1370739528855,1198.8131915508343,0.33171822021211717,1.1411408658907294,1.1976458155401235,1.0,1.0,0
20/08/17NAC BredaPSV Eindhoven,NAC Breda,PSV Eindhoven,20/08/17,1.44,2.67,1.31,8.39,1.0,15,9,1,3,4,2,1.0,3.0,4.0,2.0,1.0,3.0,4.0,2.0,0.0,1.0,3.0,1.0,1.0,984.9923278142962,1207.6937129513506,0.29338093481180977,1.0503616551184793,1.1174110637086643,4.0,2.0,1
20/08/17Sparta RotterdamZwolle,Sparta Rotterdam,Zwolle,20/08/17,1.71,2.1,2.68,2.51,1.0,16,5,0,4,3,2,0.0,4.0,3.0,2.0,0.0,4.0,3.0,2.0,4.0,0.0,4.0,1.0,1.0,894.4789194086877,946.2434673742084,0.5262188538431182,1.134816429017004,1.2607551163015107,3.0,2.0,0
20/08/17UtrechtWillem II,Utrecht,Willem II,20/08/17,1.82,1.97,6.18,1.52,1.0,4,13,3,1,0,2,3.0,1.0,0.0,2.0,3.0,1.0,0.0,2.0,1.5,3.0,1.0,1.0,1.0,1148.5353020137413,899.2672461038009,0.8626947848817842,1.003673689344338,0.8725578513478508,0.0,2.0,0
25/08/17NAC BredaSparta Rotterdam,NAC Breda,Sparta Rotterdam,25/08/17,1.78,2.02,2.93,2.34,2.0,18,13,1,1,4,1,1.0,0.5,4.0,2.0,1.0,0.5,4.0,2.0,0.0,1.0,0.5,1.0,0.5,973.2570904218238,893.430165254963,0.7031770990130661,1.0873361532468917,1.1098026253531939,4.0,2.0,1
26/08/17Den HaagHeerenveen,Den Haag,Heerenveen,26/08/17,1.67,2.15,2.27,3.0,2.0,18,11,0,1,2,1,0.0,2.0,2.5,2.0,0.0,2.0,2.5,2.0,2.5,0.0,2.0,0.5,0.5,944.7683746334451,919.7007162823686,0.633498131879126,1.0980544777984516,1.2068566077067984,2.5,2.0,1
