GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at
18/08/2018HeraclesDen Haag,Heracles,Den Haag,18/08/2018,1.59,2.29,3.47,1.99,1.0,12,13,1,1,1,2,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.25,1.0,1.0,0.0,1.0,1001.7101367869556,1002.5707424792207,0.5982066465347597,1.1799823646449068,1.1029575360780577
18/08/2018NAC BredaGraafschap,NAC Breda,Graafschap,18/08/2018,1.71,2.11,3.07,2.22,1.0,18,4,0,2,5,0,0.0,2.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,930.9028095356748,1026.4160616516115,0.4633493335762661,1.0122526034761654,0.9799979343806724
18/08/2018For SittardPSV Eindhoven,For Sittard,PSV Eindhoven,18/08/2018,1.5,2.52,1.31,8.78,1.0,11,2,1,4,1,0,1.0,4.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,1001.7456540703981,1273.4611192367825,0.23845519855621103,0.9864322484924277,1.3124940925573052
18/08/2018VVV VenloAjax,VVV Venlo,Ajax,18/08/2018,1.49,2.52,1.3,8.97,1.0,7,9,1,1,0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.5,1.0,1.0,0.0,0.0,920.7062723529084,1251.6506661220292,0.1821100409812959,0.9413139184891666,1.2531592812804886
19/08/2018FC EmmenAZ Alkmaar,FC Emmen,AZ Alkmaar,19/08/2018,1.56,2.36,1.63,4.86,1.0,6,4,2,5,1,0,2.0,5.0,1.0,0.0,2.0,5.0,1.0,0.0,0.0,2.0,5.0,1.0,1.0,1025.5001051647585,1160.7508198090636,0.4071853482141068,1.0046522730104075,1.3047775764214862
19/08/2018FeyenoordExcelsior,Feyenoord,Excelsior,19/08/2018,1.48,2.56,10.35,1.26,1.0,15,12,0,1,2,1,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,3.5,0.0,1.0,0.0,0.0,1159.1208854188826,958.6568253755952,0.8259104141281662,1.3067538877104559,1.083031972289554
19/08/2018HeerenveenVitesse,Heerenveen,Vitesse,19/08/2018,1.64,2.2,3.13,2.17,1.0,7,5,3,5,2,1,3.0,5.0,2.0,1.0,3.0,5.0,2.0,1.0,3.5,3.0,5.0,1.0,1.0,1007.0708434060809,1025.9028526942009,0.573108857476208,1.1279383162601613,1.2718705574015674
19/08/2018UtrechtZwolle,Utrecht,Zwolle,19/08/2018,1.63,2.21,4.81,1.64,1.0,17,14,0,2,4,3,0.0,2.0,4.0,3.0,0.0,2.0,4.0,3.0,2.75,0.0,2.0,1.0,1.0,1069.6432367153527,888.0953785397508,0.8096944276724851,1.1911297345219987,1.126444339081279
24/08/2018Den HaagFor Sittard,Den Haag,For Sittard,24/08/2018,1.67,2.18,3.91,1.87,2.0,16,14,2,1,4,2,1.5,1.0,3.0,1.5,1.5,1.0,3.0,1.5,0.0,1.5,1.0,1.0,0.5,986.4990083406111,992.2074461281497,0.5914812043130838,1.1495060944036,0.9828251275388453
25/08/2018AjaxFC Emmen,Ajax,FC Emmen,25/08/2018,1.27,3.58,20.34,1.11,2.0,5,12,1,1,0,4,1.0,1.5,0.5,2.5,1.0,1.5,0.5,2.5,0.0,1.0,1.5,0.0,1.0,1258.935067761281,1009.2126912361941,0.8630042775358365,1.2117482143537128,1.0310610745766187
25/08/2018GraafschapGroningen,Graafschap,Groningen,25/08/2018,1.68,2.14,2.41,2.76,2.0,11,18,0,0,3,1,1.0,0.5,1.5,3.0,1.0,0.5,1.5,3.0,0.0,1.0,0.5,0.5,0.5,1004.9500349946621,968.8240423273862,0.6481484307991372,0.9902717800002158,1.0471202766597387
