GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,OvUn25
19/09/2020VitesseSparta Rotterdam,Vitesse,Sparta Rotterdam,19/09/2020,1.57,2.4,4.51,1.69,1.0,8,11,1,0,0,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.2,1.0,0.0,0.0,0.0,1051.8428701644423,951.9874814813512,0.7266647597583217,1.1168664257989571,1.19168959531465,0
19/09/2020PSV EindhovenFC Emmen,PSV Eindhoven,FC Emmen,19/09/2020,1.4,2.91,14.1,1.18,1.0,5,14,3,3,1,5,3.0,3.0,1.0,5.0,3.0,3.0,1.0,5.0,4.0,3.0,3.0,1.0,1.0,1225.9606210848242,984.2978526147032,0.8574261707817754,1.1575373672688456,1.1703535920171595,1
19/09/2020For SittardHeerenveen,For Sittard,Heerenveen,19/09/2020,1.63,2.28,2.08,3.25,1.0,15,3,0,2,2,0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,3.75,0.0,2.0,0.0,0.0,922.5576890144923,1003.8747916783648,0.4837191377465454,1.0214147003532783,1.1853515167734219,1
20/09/2020Den HaagGroningen,Den Haag,Groningen,20/09/2020,1.93,1.88,2.1,3.43,1.0,13,14,0,1,2,3,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,2.4285714285714284,0.0,1.0,0.0,1.0,919.7781970107575,1000.5833395757606,0.4844551611644745,1.0808012064586714,0.7463200655762151,0
20/09/2020FeyenoordTwente,Feyenoord,Twente,20/09/2020,1.47,2.66,6.79,1.41,1.0,5,7,2,2,0,0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,3.4,2.0,2.0,0.0,0.0,1234.9740075508748,916.3690077375563,0.903522413418172,1.1707768437491768,0.9945959987573639,0
20/09/2020Willem IIHeracles,Willem II,Heracles,20/09/2020,1.83,1.97,3.26,2.14,1.0,15,6,0,2,2,0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,3.875,0.0,2.0,0.0,0.0,1066.49775757301,1029.9505072836355,0.648701247594576,1.1055196019579256,1.030684508709869,1
20/09/2020AjaxWaalwijk,Ajax,Waalwijk,20/09/2020,1.16,5.09,30.56,1.06,1.0,8,12,1,0,0,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1262.6633942899616,852.3435877226789,0.940751751126093,1.2671448451570086,1.0591866999839947,1
25/09/2020TwenteGroningen,Twente,Groningen,25/09/2020,2.14,1.71,3.16,2.26,2.0,6,9,1,1,1,0,1.5,1.0,0.5,1.5,1.5,1.0,0.5,1.5,3.6666666666666665,1.5,1.0,0.0,0.5,932.5099042742833,1019.9615460223397,0.47490616935388597,0.9790315482740579,0.7275088528920888,1
26/09/2020ZwolleSparta Rotterdam,Zwolle,Sparta Rotterdam,26/09/2020,1.69,2.15,3.15,2.13,2.0,13,16,1,0,1,2,0.5,0.0,1.5,1.5,0.5,0.0,1.5,1.5,3.2,0.5,0.0,0.0,0.0,978.5835999092345,941.0540718716841,0.649988741483709,1.1288671094313247,1.1679196042612858,1
26/09/2020For SittardAZ Alkmaar,For Sittard,AZ Alkmaar,26/09/2020,1.5,2.55,1.51,5.62,1.5,17,11,1,1,3,1,0.5,1.0,2.5,1.0,0.5,1.0,2.5,1.0,4.333333333333333,0.5,1.0,0.5,0.0,903.2089235046305,1191.0192720212008,0.222040070678918,1.0378344935611683,1.0015157039406755,1
26/09/2020HeerenveenVVV Venlo,Heerenveen,VVV Venlo,26/09/2020,1.57,2.38,5.03,1.6,2.0,3,7,3,1,1,1,2.5,3.0,0.5,2.0,2.5,3.0,0.5,2.0,2.8333333333333335,2.5,3.0,0.5,0.5,1023.2235571882266,991.9338194857273,0.6417736449457212,1.2044066828850382,1.0606461858247482,0
26/09/2020AjaxVitesse,Ajax,Vitesse,26/09/2020,1.32,3.34,8.79,1.28,2.0,2,5,3,2,0,0,2.0,1.5,0.0,0.0,2.0,1.5,0.0,0.0,3.4285714285714284,2.0,1.5,0.5,0.0,1265.0333242449178,1062.7762797741093,0.827389439682926,1.2604348398791039,1.094588892242046,1
27/09/2020FeyenoordDen Haag,Feyenoord,Den Haag,27/09/2020,1.34,3.23,10.88,1.22,2.0,6,15,1,0,1,1,1.5,0.0,0.5,1.5,1.5,0.0,0.5,1.5,3.4285714285714284,1.5,0.0,0.0,0.0,1218.833111014148,900.3999905641786,0.9034361318187317,1.1524553360874705,1.0535593000679364,1
27/09/2020UtrechtWaalwijk,Utrecht,Waalwijk,27/09/2020,1.34,3.21,9.14,1.28,1.5,13,17,1,0,1,3,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.5,1077.4931479709362,849.9736577677226,0.8471809617917541,1.1522059373474887,1.053577910764402,1
27/09/2020FC EmmenWillem II,FC Emmen,Willem II,27/09/2020,1.77,2.04,2.52,2.66,2.0,16,9,1,4,2,0,2.0,2.0,3.5,1.0,2.0,2.0,3.5,1.0,4.0,2.0,2.0,1.0,0.5,978.5948994459742,1080.549707669227,0.4541425655849274,1.163670092198823,1.1278619418444227,0
27/09/2020HeraclesPSV Eindhoven,Heracles,PSV Eindhoven,27/09/2020,1.58,2.35,1.75,4.18,2.0,10,4,0,2,4,1,1.0,2.5,2.0,1.0,1.0,2.5,2.0,1.0,3.0,1.0,2.5,0.5,1.0,1015.8985571874185,1231.6635742535532,0.30172628793857315,1.051514445663099,1.1509270566442378,0
02/10/2020UtrechtHeerenveen,Utrecht,Heerenveen,02/10/2020,1.45,2.7,4.38,1.67,2.5,7,2,3,1,1,0,2.0,2.0,1.0,0.3333333333333333,2.0,2.0,1.0,0.3333333333333333,3.4285714285714284,2.0,2.0,0.5,0.3333333333333333,1083.605909499266,1037.5526113903977,0.6610678372990415,1.1705273766931084,1.1630427782149073,0
