"GameIndex","HomeTeam","AwayTeam","Date","AvgO25","AvgU25","AvgH","AvgA","AvgD","Played","TG","HtPos","AtPos","HtSGLG","AtSGLG","HtCGLG","AtCGLG","HtASGPG","AtASGPG","HtACGPG","AtACGPG","HtASGP5G","AtASGP5G","HtACGP5G","AtACGP5G","AGTM","HtASGP3G","AtASGP3G","HtACGP3G","AtACGP3G","HtpercentGO","AtpercentGO","FTR","elo_ht","elo_at","win_e_ht","tilt_ht","tilt_at"
"13/08/2022Go Ahead EaglesPSV Eindhoven","Go Ahead Eagles","PSV Eindhoven","13/08/2022",1.56,2.39,7.89,1.36,5.12,1,7,16,3,0,4,2,1,0,4,2,1,0,4,2,1,2.5,0,4,2,1,0,1,"A",890.766544666016,1302.47885697539,0.122705593499885,0.979368008956521,1.43863541207699
"13/08/2022FC EmmenWaalwijk","FC Emmen","Waalwijk","13/08/2022",1.85,1.95,1.91,3.86,3.65,1,2,17,12,1,2,4,2,1,2,4,2,1,2,4,2,2.33333333333333,1,2,4,2,1,1,"D",983.102199757586,989.85516987067,0.590027484696888,1.18660748923822,1.00987050761068
"13/08/2022UtrechtCambuur","Utrecht","Cambuur","13/08/2022",1.47,2.64,1.48,6.12,4.66,1,0,10,15,2,0,2,2,2,0,2,2,2,0,2,2,4,2,0,2,2,1,0,"D",1024.09484863032,919.835898297223,0.731670557049328,1.05172179057567,1.23350729326086
"13/08/2022FeyenoordHeerenveen","Feyenoord","Heerenveen","13/08/2022",1.45,2.67,1.29,8.97,5.79,1,0,2,8,5,0,2,0,5,0,2,0,5,0,2,0,3.66666666666667,5,0,2,0,1,0,"D",1208.66729688066,986.361939368467,0.843254473848631,1.2604546853157,0.950948665924222
"14/08/2022VolendamNijmegen","Volendam","Nijmegen","14/08/2022",1.64,2.24,2.55,2.56,3.63,1,5,12,16,2,0,2,1,2,0,2,1,2,0,2,1,0,2,0,2,1,1,0,"A",999.518247499834,919.248956764868,0.703708209921683,1.02307240635643,0.928692050625502
"14/08/2022AjaxGroningen","Ajax","Groningen","14/08/2022",1.32,3.32,1.16,14.63,7.97,1,7,5,10,3,2,2,2,3,2,2,2,3,2,2,2,2.66666666666667,3,2,2,2,1,1,"H",1356.35037405143,922.111235254794,0.947976499492614,1.35277448877031,1.12006428403746
"14/08/2022TwenteFor Sittard","Twente","For Sittard","14/08/2022",1.64,2.23,1.47,6.46,4.49,1,3,6,15,1,2,0,3,1,2,0,3,1,2,0,3,3.2,1,2,0,3,0,1,"H",1191.17243473079,964.110669620782,0.846839475627902,0.969782376510651,1.08226923887047
"14/08/2022Sparta RotterdamAZ Alkmaar","Sparta Rotterdam","AZ Alkmaar","14/08/2022",1.97,1.82,4.09,1.88,3.56,1,5,11,4,0,2,0,0,0,2,0,0,0,2,0,0,3.4,0,2,0,0,0,0,"A",1028.62681098435,1157.60378399788,0.415931204753326,0.850924778611086,1.20265053818083
"20/08/2022VitesseHeerenveen","Vitesse","Heerenveen","20/08/2022",1.75,2.07,1.97,3.63,3.66,2,4,18,8,1,0,3,0,1.5,0,4,0,1.5,0,4,0,3.33333333333333,1.5,0,4,0,1,0,"A",1004.62034692033,1000.09211702931,0.605639343997967,1.096136245979,0.903401232628011
"20/08/2022For SittardCambuur","For Sittard","Cambuur","20/08/2022",1.64,2.23,2.25,2.96,3.64,2,5,16,12,0,0,3,0,1,0,3,1,1,0,3,1,2,1,0,3,1,1,0,"A",957.984250590413,929.102722854572,0.638580461825876,1.09002532771822,1.17183192859782
"20/08/2022FC EmmenUtrecht","FC Emmen","Utrecht","20/08/2022",1.83,1.96,3.12,2.23,3.47,2,5,13,9,1,0,1,0,1,1,2.5,1,1,1,2.5,1,3,1,1,2.5,1,0.5,0.5,"H",979.501098705058,1014.82802407297,0.549733604535436,1.16688615345855,0.999135701046891
"21/08/2022GroningenGo Ahead Eagles","Groningen","Go Ahead Eagles","21/08/2022",1.9,1.89,1.87,4.17,3.54,2,1,15,16,1,2,6,5,1.5,1,4,3.5,1.5,1,4,3.5,2.75,1.5,1,4,3.5,1,0.5,"H",920.030294539494,885.858318752426,0.64557902729143,1.16755208120679,1.02771404886289
"21/08/2022Sparta RotterdamAjax","Sparta Rotterdam","Ajax","21/08/2022",1.38,2.96,10.69,1.24,6.26,2,1,13,1,2,6,3,1,1,4.5,1.5,1.5,1,4.5,1.5,1.5,3.6,1,4.5,1.5,1.5,0.5,1,"A",1011.98956128467,1358.43131476673,0.169197371482942,0.891528213526155,1.41012859018581
"21/08/2022WaalwijkFeyenoord","Waalwijk","Feyenoord","21/08/2022",1.46,2.66,7.87,1.34,5.4,2,1,11,7,1,0,1,0,1.5,2.5,1.5,1,1.5,2.5,1.5,1,3.6,1.5,2.5,1.5,1,0.5,0.5,"A",993.456270923198,1194.93711921982,0.319327441943679,0.993086528447221,1.19743195104991
"26/08/2022NijmegenGroningen","Nijmegen","Groningen","26/08/2022",1.92,1.87,2.07,3.53,3.46,2.5,2,11,10,4,1,1,0,2,1.33333333333333,1,2.66666666666667,2,1.33333333333333,1,2.66666666666667,3.5,2,1.33333333333333,1,2.66666666666667,0.5,0.666666666666667,"D",947.397289517883,934.207134723488,0.617483671975887,0.98000224052406,1.12863514329394
"27/08/2022Go Ahead EaglesSparta Rotterdam","Go Ahead Eagles","Sparta Rotterdam","27/08/2022",1.93,1.86,2.28,3.09,3.38,3,1,16,14,0,0,1,1,0.666666666666667,0.666666666666667,2.66666666666667,1.33333333333333,0.666666666666667,0.666666666666667,2.66666666666667,1.33333333333333,2,0.666666666666667,0.666666666666667,2.66666666666667,1.33333333333333,0.333333333333333,0.333333333333333,"A",871.681478568432,1005.22166815642,0.40956430819763,0.99345820325605,0.861134906532161
