GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,OvUn25
18/08/2018CardiffNewcastle,Cardiff,Newcastle,18/08/2018,2.48,1.53,2.5,3.14,1.0,17,14,0,1,2,2,0.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,983.7296561696219,975.7845200449988,0.6103273134691624,0.9838733253627482,0.8817018714833849,0
18/08/2018ChelseaArsenal,Chelsea,Arsenal,18/08/2018,1.68,2.17,4.29,1.81,1.0,2,15,3,0,0,2,3.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,2.75,3.0,0.0,1.0,0.0,1140.796548015175,1060.8775051354742,0.7032877650019803,1.1075857547004273,1.2913266210989072,1
18/08/2018EvertonSouthampton,Everton,Southampton,18/08/2018,2.15,1.7,4.41,1.89,1.0,10,11,2,0,2,0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.75,2.0,0.0,1.0,0.0,1015.4942469177513,943.3996467506975,0.6938036155388347,1.0456316281881168,0.8778935702823484,1
18/08/2018LeicesterWolves,Leicester,Wolves,18/08/2018,2.03,1.78,3.77,2.05,1.0,13,12,1,2,2,2,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,953.2837084598985,996.7029676304644,0.538178302969015,1.236271752486725,1.0287049613760106,0
18/08/2018TottenhamFulham,Tottenham,Fulham,18/08/2018,1.51,2.54,10.92,1.28,1.0,8,18,2,0,1,2,2.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1213.9415808493486,977.1262462775351,0.8539808558680969,1.1612155699048312,0.9874498640455871,1
18/08/2018West HamBournemouth,West Ham,Bournemouth,18/08/2018,1.78,2.04,3.56,2.08,1.0,20,3,0,2,4,0,0.0,2.0,4.0,0.0,0.0,2.0,4.0,0.0,3.5,0.0,2.0,1.0,0.0,980.1507953324799,1011.8282297787109,0.5549280275765358,1.170968073332718,1.1618266760956997,1
19/08/2018BrightonMan United,Brighton,Man United,19/08/2018,2.26,1.64,1.76,5.19,1.0,16,10,0,2,2,1,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,948.1397488308365,1192.5685339818629,0.268137489197014,0.9277900457337004,0.8736432230757951,1
19/08/2018BurnleyWatford,Burnley,Watford,19/08/2018,2.59,1.49,3.34,2.39,1.0,11,8,0,2,0,0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.25,0.0,2.0,0.0,0.0,985.7164375720974,925.9881658159106,0.6784757919273318,0.7718970739398102,0.9978108068729142,1
19/08/2018Man CityHuddersfield,Man City,Huddersfield,19/08/2018,1.32,3.32,28.36,1.09,1.0,7,18,2,0,0,3,2.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,1.5,2.0,0.0,0.0,1.0,1325.2477186580788,908.4066629984405,0.94280982065154,1.265020275270313,0.8214049052053812,1
20/08/2018Crystal PalaceLiverpool,Crystal Palace,Liverpool,20/08/2018,1.55,2.43,1.44,6.79,1.0,8,7,2,4,0,0,2.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,3.25,2.0,4.0,0.0,1.0,1042.6036513668098,1175.1362762800547,0.4109676209340195,1.0546899319512388,1.174638165692339,0
25/08/2018ArsenalWest Ham,Arsenal,West Ham,25/08/2018,1.44,2.73,8.1,1.37,2.0,17,19,2,1,3,2,1.0,0.5,2.5,3.0,1.0,0.5,2.5,3.0,3.5,1.0,0.5,0.5,1.0,1049.0090157355535,957.9536742294184,0.7164884108392564,1.3170467528082355,1.164062484583733,1
25/08/2018BournemouthEverton,Bournemouth,Everton,25/08/2018,1.72,2.12,2.7,2.59,2.0,5,7,2,2,1,1,2.0,2.0,0.5,1.5,2.0,2.0,0.5,1.5,4.0,2.0,2.0,0.5,1.0,1034.0253508817723,1027.7421022961978,0.6080497242108763,1.154974997210995,1.061695461338135,1
25/08/2018HuddersfieldCardiff,Huddersfield,Cardiff,25/08/2018,2.58,1.5,3.53,2.32,2.0,20,15,1,0,6,0,0.5,0.0,4.5,1.0,0.5,0.0,4.5,1.0,0.0,0.5,0.0,1.0,0.0,906.1190558245021,979.3165636308554,0.4953985462799909,0.8910048228957291,0.9346796590946107,0
25/08/2018LiverpoolBrighton,Liverpool,Brighton,25/08/2018,1.41,2.85,18.81,1.16,2.0,2,11,2,3,0,2,3.0,1.5,0.0,2.0,3.0,1.5,0.0,2.0,5.0,3.0,1.5,0.5,0.5,1191.5749811174155,977.414249262956,0.8369572643826295,1.153832095882351,0.99586374462419,0
25/08/2018SouthamptonLeicester,Southampton,Leicester,25/08/2018,2.27,1.63,3.12,2.42,2.0,13,8,1,2,2,0,0.5,1.5,1.0,1.0,0.5,1.5,1.0,1.0,2.0,0.5,1.5,0.5,0.5,931.1517913722508,971.7565763411379,0.5422024648881747,0.8913804766232805,1.2133420057126316,1
25/08/2018WolvesMan City,Wolves,Man City,25/08/2018,1.54,2.46,1.27,10.84,2.0,16,1,0,6,2,1,1.0,4.0,2.0,0.5,1.0,4.0,2.0,0.5,0.0,1.0,4.0,0.5,0.5,978.230099749225,1327.5353258320172,0.16689287095146838,1.0096250590631421,1.3722089546627507,0
26/08/2018FulhamBurnley,Fulham,Burnley,26/08/2018,2.22,1.65,4.14,1.98,2.0,19,16,1,1,3,3,0.5,0.5,2.5,1.5,0.5,0.5,2.5,1.5,0.0,0.5,0.5,0.5,0.5,971.2854805122589,958.5774058950042,0.6168279307335922,1.0069706944202181,0.8134777399395001,1
26/08/2018NewcastleChelsea,Newcastle,Chelsea,26/08/2018,1.88,1.92,1.67,5.25,2.0,15,4,0,3,0,2,0.5,3.0,1.0,1.0,0.5,3.0,1.0,1.0,3.5,0.5,3.0,0.5,1.0,980.1976125837652,1152.6650374150956,0.35666929212615295,0.8376167779092156,1.129646208674518,1
26/08/2018WatfordCrystal Palace,Watford,Crystal Palace,26/08/2018,2.13,1.71,2.92,2.55,2.0,5,9,3,0,1,2,2.5,1.0,0.5,1.0,2.5,1.0,0.5,1.0,1.5,2.5,1.0,0.5,0.0,953.1271974930039,1026.164946529449,0.49562843911591997,1.0515610273261389,1.0360084749775202,1
27/08/2018Man UnitedTottenham,Man United,Tottenham,27/08/2018,2.03,1.79,2.86,2.56,2.0,9,6,2,3,3,1,2.0,2.5,2.0,1.0,2.0,2.5,2.0,1.0,1.75,2.0,2.5,1.0,1.0,1163.2940335497435,1219.7823466146247,0.5194350836004366,0.9377440678508085,1.184171562906463,1
01/09/2018BrightonFulham,Brighton,Fulham,01/09/2018,1.92,1.88,3.33,2.23,3.0,11,12,0,4,1,2,1.0,1.6666666666666667,1.6666666666666667,2.3333333333333335,1.0,1.6666666666666667,1.6666666666666667,2.3333333333333335,0.0,1.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,970.8925398382612,986.6123632829152,0.577486047852143,0.9634041019107431,1.1041369521862452,1
01/09/2018ChelseaBournemouth,Chelsea,Bournemouth,01/09/2018,1.42,2.82,9.9,1.29,3.0,3,6,2,2,1,2,2.6666666666666665,2.0,1.0,1.0,2.6666666666666665,2.0,1.0,1.0,2.75,2.6666666666666665,2.0,1.0,0.6666666666666666,1166.9318091001417,1029.7033619133372,0.7672598316145459,1.1447957012113184,1.172577421875737,0
01/09/2018Crystal PalaceSouthampton,Crystal Palace,Southampton,01/09/2018,2.12,1.72,4.16,1.95,3.0,10,17,1,1,2,2,1.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.75,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1005.9900840940858,909.4636927767239,0.722842008391924,1.041266080616216,0.8962616487941582,0
01/09/2018EvertonHuddersfield,Everton,Huddersfield,01/09/2018,2.07,1.75,7.26,1.51,3.0,8,19,2,0,2,0,2.0,0.3333333333333333,1.6666666666666667,3.0,2.0,0.3333333333333333,1.6666666666666667,3.0,2.0,2.0,0.3333333333333333,1.0,0.6666666666666666,1032.064091264633,906.3031139733024,0.7552646454243719,1.0778762569572882,0.8464545817509427,0
