GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at
13/08/2022Aston VillaEverton,Aston Villa,Everton,13/08/2022,2.08,1.77,4.87,1.82,1.0,16,13,0,0,2,1,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.8333333333333333,0.0,0.0,0.0,0.0,998.3371652923399,978.8912187426465,0.6259526318082085,1.028127669898756,1.060109421121528
13/08/2022ArsenalLeicester,Arsenal,Leicester,13/08/2022,1.69,2.21,6.04,1.55,1.0,2,11,2,2,0,2,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.6666666666666665,2.0,2.0,0.0,1.0,1179.9864442125638,1068.561828218678,0.7396911725601052,1.1205619539337448,1.2046840169051185
13/08/2022BrightonNewcastle,Brighton,Newcastle,13/08/2022,2.13,1.73,3.1,2.44,1.0,6,5,2,2,1,0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,1.5,2.0,2.0,1.0,0.0,1105.975004877805,1131.096421961328,0.5642286480539777,0.9171345647784975,0.9856059022599246
13/08/2022Man CityBournemouth,Man City,Bournemouth,13/08/2022,1.33,3.35,37.57,1.07,1.0,4,3,2,2,0,0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,3.125,2.0,2.0,0.0,0.0,1358.7449687037836,944.7347951816117,0.94192478945643,1.3751361583292152,1.1540933923084287
13/08/2022SouthamptonLeeds,Southampton,Leeds,13/08/2022,1.73,2.13,3.1,2.32,1.0,20,8,1,2,4,1,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,950.5380760995066,1025.4956692692383,0.4928659340947728,1.236771760966247,1.1910487687021645
13/08/2022WolvesFulham,Wolves,Fulham,13/08/2022,2.11,1.75,3.15,2.4,1.0,15,10,1,2,2,2,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.25,1.0,2.0,1.0,1.0,987.2022513172062,910.6455810390427,0.6992329725003592,0.9134726615782991,0.8480564706375475
13/08/2022BrentfordMan United,Brentford,Man United,13/08/2022,1.82,2.02,2.02,3.77,1.0,9,14,2,1,2,2,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.5,2.0,1.0,1.0,1.0,1033.2272727776215,1064.838924221217,0.5550215524777459,1.0858148098202944,1.1408683385399085
14/08/2022Nott'm ForestWest Ham,Nott'm Forest,West Ham,14/08/2022,1.9,1.93,1.9,4.21,1.0,18,19,0,0,2,2,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,990.0111821714664,1050.4354030639806,0.5137771655720521,0.9901858743787268,1.0546243573738339
14/08/2022ChelseaTottenham,Chelsea,Tottenham,14/08/2022,1.94,1.89,3.21,2.29,1.0,8,7,1,4,0,1,1.0,4.0,0.0,1.0,1.0,4.0,0.0,1.0,2.4166666666666665,1.0,4.0,0.0,1.0,1186.436722390146,1203.467223107921,0.5756440635364131,1.0652310182346616,1.1690247495404937
15/08/2022LiverpoolCrystal Palace,Liverpool,Crystal Palace,15/08/2022,1.55,2.46,16.33,1.2,1.0,13,17,2,0,2,2,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,3.75,2.0,0.0,1.0,0.0,1341.1686943117827,1042.228962870142,0.8931938203432862,1.1660336343748152,0.9236830163777892
