GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,HtACGP3G,AtACGP3G,OvUn25
11/08/2023BurnleyMan City,Burnley,Man City,11/08/2023,1.65,2.27,1.35,9.02,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,0.0,0.0,0.5,0.5,971.3640152456572,1339.2495768299007,0.15254641843786235,0.9003969909328381,1.193810158460914,0.0,0.0,1
12/08/2023ArsenalNott'm Forest,Arsenal,Nott'm Forest,12/08/2023,1.42,2.85,15.67,1.18,0.0,2,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.5,0.5,1225.6458420114902,1006.0300806130922,0.8411971202346655,1.3584200775666675,1.1126240582537694,0.0,0.0,1
12/08/2023BournemouthWest Ham,Bournemouth,West Ham,12/08/2023,1.88,1.94,2.64,2.69,0.0,4,18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.5,0.5,955.3172798892165,1015.6810044746452,0.5138641602376506,1.0421027606803457,1.0909382350253214,0.0,0.0,0
12/08/2023BrightonLuton,Brighton,Luton,12/08/2023,1.61,2.34,9.61,1.33,0.0,6,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1124.6600325659278,1000.0,0.7540913192097863,1.2583454917611534,1.0,0.0,0.0,1
12/08/2023EvertonFulham,Everton,Fulham,12/08/2023,1.97,1.86,3.3,2.24,0.0,9,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,0.5,0.5,1003.8095000403531,1028.6960760503782,0.5645610057885603,0.9965977453969762,1.0386493453166745,0.0,0.0,0
12/08/2023Sheffield UnitedCrystal Palace,Sheffield United,Crystal Palace,12/08/2023,2.21,1.68,2.41,3.12,0.0,16,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5,0.5,901.4873834839458,1044.7245232774399,0.39613708949888216,0.8041066177807142,0.9032004360345349,0.0,0.0,0
12/08/2023NewcastleAston Villa,Newcastle,Aston Villa,12/08/2023,1.76,2.09,4.61,1.76,0.0,14,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.5,0.5,1190.657971706636,1161.9364133443046,0.638367808902798,1.0544898000474319,0.9260218216223101,0.0,0.0,1
13/08/2023BrentfordTottenham,Brentford,Tottenham,13/08/2023,1.7,2.18,2.5,2.73,0.0,9,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.5,0.5,1151.4238308451327,1094.8904257118272,0.674450734853983,0.9784000787173692,1.3513998087138166,0.0,0.0,1
13/08/2023ChelseaLiverpool,Chelsea,Liverpool,13/08/2023,1.67,2.24,2.39,2.87,0.0,10,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2857142857142856,0.0,0.0,0.5,0.5,1008.6462649706198,1227.6781116296052,0.29777906219106226,0.9193540884760846,1.2035226019250642,0.0,0.0,0
14/08/2023Man UnitedWolves,Man United,Wolves,14/08/2023,1.6,2.38,9.85,1.31,0.0,13,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.5,0.5,1202.3886669288213,1011.442987840381,0.8178910610514007,0.9883981366175476,0.9495591878324052,0.0,0.0,0
