GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,OvUn25
12/08/17BelenensesMaritimo,Belenenses,Maritimo,12/08/17,2.41,1.53,3.04,2.43,1.0,12,5,0,1,1,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,901.0626394242387,1046.354805970781,0.39331078658537827,0.9514785444638643,0.8715072472614735,0
12/08/17BoavistaRio Ave,Boavista,Rio Ave,12/08/17,2.57,1.47,2.55,2.93,1.0,13,7,1,1,2,0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,982.2406392330787,1021.4237719069065,0.5442330988028117,0.858228589469393,0.9244465670631887,1
12/08/17MoreirenseFeirense,Moreirense,Feirense,12/08/17,2.44,1.52,3.16,2.36,1.0,9,8,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,1.0,0.0,0.0,954.2827390073444,1065.0568024438792,0.44158931773818055,0.95783830203014,0.8741277990202738,0
13/08/17Pacos FerreiraAves,Pacos Ferreira,Aves,13/08/17,2.33,1.56,4.0,1.97,1.0,14,15,0,0,1,2,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,943.8362816221482,983.425054690387,0.54365384447276,0.8612777350822587,0.9810563191273349,1
13/08/17Sp BragaPortimonense,Sp Braga,Portimonense,13/08/17,1.88,1.88,6.24,1.53,1.0,17,6,1,2,3,1,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,993.3615900234836,1015.9226864409549,0.5678489525016455,1.112228782464224,1.021408116361617,1
13/08/17TondelaPorto,Tondela,Porto,13/08/17,1.72,2.07,1.28,10.67,1.0,11,3,1,4,1,0,1.0,4.0,1.0,0.0,1.0,4.0,1.0,0.0,2.0,1.0,4.0,0.0,1.0,954.8233485715216,1178.123615643261,0.2926667600833797,0.9782602366426887,1.1526216824590085,0
14/08/17ChavesBenfica,Chaves,Benfica,14/08/17,1.75,2.02,1.39,7.61,1.0,16,4,2,3,3,1,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,918.9933514469091,1233.7825512379425,0.1963729074190868,1.0458683459788456,1.1075764039493112,0
14/08/17EstorilGuimaraes,Estoril,Guimaraes,14/08/17,2.21,1.62,2.34,3.1,1.0,18,5,0,3,4,2,0.0,3.0,4.0,2.0,0.0,3.0,4.0,2.0,4.0,0.0,3.0,1.0,1.0,968.0998314631886,1098.9142741374997,0.4133639737359064,1.048587314237004,1.120110185636668,1
18/08/17Rio AvePortimonense,Rio Ave,Portimonense,18/08/17,2.12,1.7,5.27,1.67,2.0,4,7,2,1,1,2,1.5,1.5,0.5,1.5,1.5,1.5,0.5,1.5,0.0,1.5,1.5,0.5,1.0,1043.193095859019,998.6366445410207,0.6591345681459124,0.9481356827427846,1.024283446300406,0
19/08/17BenficaBelenenses,Benfica,Belenenses,19/08/17,1.47,2.54,14.0,1.19,2.0,3,5,1,1,0,0,2.0,0.5,0.5,0.5,2.0,0.5,0.5,0.5,3.0,2.0,0.5,0.5,0.0,1241.637467534706,925.3302079608236,0.9023632629756736,1.071320449528304,0.9268533650139635,1
