GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at
26/09/2020BenficaMoreirense,Benfica,Moreirense,26/09/2020,1.41,2.83,17.23,1.14,1.0,2,3,5,2,1,0,5.0,2.0,1.0,0.0,5.0,2.0,1.0,0.0,2.5,5.0,2.0,1.0,0.0,1280.1720977378316,1036.2646652426827,0.8589984744995788,1.3142624476868927,0.9761033174161824
26/09/2020BoavistaPorto,Boavista,Porto,26/09/2020,1.82,1.98,1.43,7.25,1.0,6,4,3,3,3,1,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.25,3.0,3.0,1.0,1.0,956.5827198922912,1322.8628047973152,0.15374501036470062,0.9162320148813071,1.2045182030812565
27/09/2020FarenseNacional,Farense,Nacional,27/09/2020,2.21,1.64,3.35,2.16,1.0,16,7,0,3,2,3,0.0,3.0,2.0,3.0,0.0,3.0,2.0,3.0,0.0,0.0,3.0,0.0,1.0,985.1437542554517,829.1995475151604,0.785942574310891,0.9905938097782699,1.264382314903299
27/09/2020Gil VicentePortimonense,Gil Vicente,Portimonense,27/09/2020,2.39,1.56,2.75,2.66,0.5,13,9,0,1,0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.5,0.0,1.0,0.5,0.0,1005.9716221048769,956.2883847696526,0.6657337746331026,1.0543429072802692,0.9408032631119907
27/09/2020Pacos FerreiraSp Lisbon,Pacos Ferreira,Sp Lisbon,27/09/2020,2.11,1.71,2.13,3.57,0.5,8,14,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.6666666666666665,1.0,0.0,0.0,0.5,1001.0620184680923,1144.3172429586093,0.396112186818144,1.129065481324033,0.9498525460943106
27/09/2020Rio AveGuimaraes,Rio Ave,Guimaraes,27/09/2020,2.14,1.68,2.52,2.81,1.0,10,15,1,0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.875,1.0,0.0,0.0,0.0,1102.7199290739195,1031.5559755121742,0.6926643440917338,1.0149218371377948,1.0011372750400056
28/09/2020BelenensesFamalicao,Belenenses,Famalicao,28/09/2020,2.1,1.71,2.91,2.49,1.0,6,18,1,1,0,5,1.0,1.0,0.0,5.0,1.0,1.0,0.0,5.0,2.0,1.0,1.0,0.0,1.0,967.6662605810247,1055.0589154108964,0.47499084525510915,0.9379108080876277,1.2398209713463546
02/10/2020MoreirenseBoavista,Moreirense,Boavista,02/10/2020,2.28,1.62,3.03,2.46,2.0,8,16,0,0,2,5,1.0,1.5,1.0,4.0,1.0,1.5,1.0,4.0,1.75,1.0,1.5,0.0,1.0,1030.6246042226658,950.4329194777031,0.7036151645909149,0.9577334729459048,0.9534411603112652
02/10/2020GuimaraesPacos Ferreira,Guimaraes,Pacos Ferreira,02/10/2020,2.34,1.59,5.14,1.74,2.0,12,15,0,0,0,2,0.0,0.5,0.5,1.5,0.0,0.5,0.5,1.5,3.1666666666666665,0.0,0.5,0.0,0.0,1039.2625492758436,985.2175309953666,0.6712977657643716,0.9510804112880052,1.114724006783427
03/10/2020Santa ClaraGil Vicente,Santa Clara,Gil Vicente,03/10/2020,2.21,1.65,3.4,2.25,1.5,3,8,1,1,0,0,1.5,1.0,0.0,0.0,1.5,1.0,0.0,0.0,1.5,1.5,1.0,0.0,0.0,1058.704942638232,1019.3422711195528,0.652385637243388,0.9691466688486009,1.0228841915839462
03/10/2020PortoMaritimo,Porto,Maritimo,03/10/2020,1.67,2.17,18.79,1.14,2.0,1,10,5,2,0,1,4.0,1.0,0.5,1.5,4.0,1.0,0.5,1.5,2.25,4.0,1.0,1.0,0.5,1329.0126052119033,1001.6671788569005,0.9078201008347894,1.2534349537115959,0.8746852880122965
03/10/2020TondelaSp Braga,Tondela,Sp Braga,03/10/2020,1.95,1.84,1.56,5.85,2.0,15,18,1,0,2,1,1.0,0.5,1.5,2.0,1.0,0.5,1.5,2.0,2.0,1.0,0.5,0.5,0.5,938.1868016445038,1095.3236463687379,0.3771647367658797,0.9517976562283776,1.1933784202449396
04/10/2020NacionalBelenenses,Nacional,Belenenses,04/10/2020,2.45,1.53,3.3,2.28,2.0,6,11,1,1,0,2,2.0,1.0,1.5,1.0,2.0,1.0,1.5,1.0,2.25,2.0,1.0,0.5,0.5,860.637250487596,948.6666267708204,0.47407690669288727,1.2213531092934264,0.939409351495883
04/10/2020BenficaFarense,Benfica,Farense,04/10/2020,1.41,2.8,21.22,1.11,2.0,2,18,2,0,0,1,3.5,0.0,0.5,1.5,3.5,0.0,0.5,1.5,0.0,3.5,0.0,0.5,0.0,1285.8121587578485,953.706051283016,0.9100879131206816,1.2895285938761687,0.9568821197187041
04/10/2020FamalicaoRio Ave,Famalicao,Rio Ave,04/10/2020,2.09,1.72,2.68,2.56,2.0,12,13,2,0,1,0,1.5,0.5,3.0,0.5,1.5,0.5,3.0,0.5,2.5,1.5,0.5,1.0,0.0,1074.0585492211007,1095.01335531025,0.5701165849932032,1.2418018905638395,0.964175745280905
04/10/2020PortimonenseSp Lisbon,Portimonense,Sp Lisbon,04/10/2020,1.9,1.87,1.9,3.89,1.5,15,9,0,2,1,0,0.5,2.0,1.0,0.0,0.5,2.0,1.0,0.0,3.6666666666666665,0.5,2.0,0.0,0.0,942.9177357549767,1160.1617304313352,0.29993559536578934,0.9127322606174051,0.9377874477165202
17/10/2020Gil VicenteTondela,Gil Vicente,Tondela,17/10/2020,2.31,1.6,3.6,2.11,2.5,7,17,0,0,0,4,0.5,0.6666666666666666,0.0,2.3333333333333335,0.5,0.6666666666666666,0.0,2.3333333333333335,3.5,0.5,0.6666666666666666,0.0,0.6666666666666666,1025.4376966092884,923.1002121738686,0.7294934953478314,0.9717399820047488,0.9712443467643971
17/10/2020MaritimoPortimonense,Maritimo,Portimonense,17/10/2020,2.23,1.64,3.06,2.42,3.0,5,16,3,0,2,2,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.3333333333333333,3.5,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.0,1037.9799828902921,930.9203119403451,0.7348240270797659,0.9107317890226716,0.9097492361981104
17/10/2020Sp BragaNacional,Sp Braga,Nacional,17/10/2020,1.68,2.17,7.71,1.38,3.0,12,6,4,0,0,0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,3.25,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.3333333333333333,1110.410235839373,861.6741742198806,0.862331632262055,1.2177609774817675,1.160285453828755
17/10/2020Sp LisbonPorto,Sp Lisbon,Porto,17/10/2020,2.12,1.71,2.09,3.53,2.5,4,3,2,2,0,3,2.0,3.3333333333333335,0.0,1.3333333333333333,2.0,3.3333333333333335,0.0,1.3333333333333333,2.125,2.0,3.3333333333333335,0.0,1.0,1172.1591542459666,1292.6998011785117,0.4277748932052965,0.9347225370331244,1.305090040340616
18/10/2020BelenensesMoreirense,Belenenses,Moreirense,18/10/2020,2.25,1.62,3.23,2.39,3.0,9,11,0,1,0,1,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,2.0,0.6666666666666666,1.0,0.3333333333333333,0.0,947.6297030385358,1022.4799976390292,0.4930203183881628,0.8924388839210888,0.9518000961197174
18/10/2020Pacos FerreiraSanta Clara,Pacos Ferreira,Santa Clara,18/10/2020,2.5,1.51,2.95,2.48,3.0,17,4,0,0,1,0,0.3333333333333333,1.0,1.3333333333333333,0.0,0.3333333333333333,1.0,1.3333333333333333,0.0,2.0,0.3333333333333333,1.0,0.0,0.0,972.0694416259414,1052.6095171484965,0.4848362635586762,1.0800165225892078,0.9206893354061708
