"GameIndex","HomeTeam","AwayTeam","Date","AvgO25","AvgU25","AvgH","AvgA","AvgD","Played","TG","HtPos","AtPos","HtSGLG","AtSGLG","HtCGLG","AtCGLG","HtASGPG","AtASGPG","HtACGPG","AtACGPG","HtASGP5G","AtASGP5G","HtACGP5G","AtACGP5G","AGTM","HtASGP3G","AtASGP3G","HtACGP3G","AtACGP3G","HtpercentGO","AtpercentGO","FTR","elo_ht","elo_at","win_e_ht","tilt_ht","tilt_at"
"14/08/2021VizelaTondela","Vizela","Tondela","14/08/2021",2.27,1.63,2.37,3.1,3.17,1,3,18,4,0,3,3,0,0,3,3,0,0,3,3,0,0,0,3,3,0,1,1,"H",995.655236962834,961.051784319691,0.646147026149714,1.00596805683675,1.11453715405263
"14/08/2021BenficaArouca","Benfica","Arouca","14/08/2021",1.6,2.31,1.17,16.22,7.02,1,2,8,12,2,0,1,2,2,0,1,2,2,0,1,2,3,2,0,1,2,1,0,"H",1308.67495108906,846.326727220777,0.955401998734738,1.22664069542903,1.15468751123899
"14/08/2021Sp BragaSp Lisbon","Sp Braga","Sp Lisbon","14/08/2021",2.07,1.76,3.36,2.23,3.2,1,3,7,3,2,3,0,0,2,3,0,0,2,3,0,0,2.2,2,3,0,0,0,1,"A",1146.6784516641,1300.00765584838,0.382327352696462,1.00252513910022,1.07843807381515
"15/08/2021PortimonenseGil Vicente","Portimonense","Gil Vicente","15/08/2021",2.47,1.54,2.4,3.15,3.06,1,1,8,4,1,3,0,0,1,3,0,0,1,3,0,0,2.25,1,3,0,0,0,1,"A",970.646572508341,1013.03887834694,0.539647263476829,0.859521728245968,0.968642005146301
"15/08/2021FamalicaoPorto","Famalicao","Porto","15/08/2021",1.71,2.15,8.06,1.37,4.8,1,3,14,6,0,2,2,0,0,2,2,0,0,2,2,0,4,0,2,2,0,0,0,"A",1020.06168034358,1335.09644325207,0.196149983166242,1.02329109145512,1.2192169956572
"15/08/2021Santa ClaraMoreirense","Santa Clara","Moreirense","15/08/2021",2.31,1.61,2.41,3.07,3.13,1,4,17,12,0,1,3,2,0,1,3,2,0,1,3,2,1.5,0,1,3,2,1,1,"D",1011.35133585438,1026.16109363577,0.578763702816915,1.00530780691014,1.01473011438475
"16/08/2021BoavistaPacos Ferreira","Boavista","Pacos Ferreira","16/08/2021",2.45,1.54,2.7,2.8,3.01,1,3,16,6,0,2,3,0,0,2,3,0,0,2,3,0,1.75,0,2,3,0,1,0,"H",976.446466580835,1054.88420095142,0.48785956028853,1.01136970479918,1.01388447741849
"16/08/2021BelenensesMaritimo","Belenenses","Maritimo","16/08/2021",2.68,1.46,2.51,3.13,2.91,1,3,14,15,0,0,2,2,0,0,2,2,0,0,2,2,1.4,0,0,2,2,0,0,"A",1011.11714102607,947.454799428588,0.68339585800284,0.824360192727783,0.836572172302688
"20/08/2021AroucaFamalicao","Arouca","Famalicao","20/08/2021",2.3,1.61,2.92,2.53,3.08,2,3,18,17,0,1,2,2,0,0.5,2,2,0,0.5,2,2,0,0,0.5,2,2,0,0.5,"H",844.542806423232,1012.21568330089,0.363026918604269,1.12956252174181,1.02133844929313
"20/08/2021MoreirenseSp Braga","Moreirense","Sp Braga","20/08/2021",1.97,1.83,5.06,1.7,3.61,2,5,14,7,2,1,2,2,1.5,1.5,2,1,1.5,1.5,2,1,2.7,1.5,1.5,2,1,1,0.5,"A",1029.31164411843,1131.38535778377,0.453972768422981,1.04357122603813,1.00803490006485
"21/08/2021Gil VicenteBenfica","Gil Vicente","Benfica","21/08/2021",1.85,1.96,5.59,1.56,4.09,2,2,1,3,1,2,0,0,2,2,0,0.5,2,2,0,0.5,2,2,2,0,0.5,0.5,0.5,"A",1034.62476855203,1310.45887188661,0.234176552935249,0.943478659293618,1.19995006762757
"21/08/2021Sp LisbonBelenenses","Sp Lisbon","Belenenses","21/08/2021",1.68,2.17,1.18,16.7,6.53,2,2,2,17,2,1,1,2,2.5,0.5,0.5,2,2.5,0.5,0.5,2,3.8,2.5,0.5,0.5,2,1,0.5,"H",1315.30074972872,983.78130463357,0.909811167822736,1.08436504339439,0.854863430804963
"22/08/2021TondelaPortimonense","Tondela","Portimonense","22/08/2021",2.18,1.67,2.83,2.7,2.93,2,3,7,9,1,0,2,1,2,0.5,1,0.5,2,0.5,1,0.5,3,2,0.5,1,0.5,1,0,"A",946.897668137159,949.060682303252,0.59640333811414,1.11845433732349,0.837193104873412
"22/08/2021MaritimoPorto","Maritimo","Porto","22/08/2021",1.81,2,8.65,1.37,4.6,2,2,10,3,2,2,1,1,1,2,1.5,0.5,1,2,1.5,0.5,2.6,1,2,1.5,0.5,0.5,0.5,"D",974.790635821092,1342.94244029476,0.152348396609733,0.867527281932684,1.21689048804835
"22/08/2021GuimaraesVizela","Guimaraes","Vizela","22/08/2021",2.07,1.75,1.7,5.06,3.59,2,4,14,12,0,2,0,1,0,1,0.5,2,0,1,0.5,2,0,0,1,0.5,2,0,1,"H",948.696918754468,1009.80935314537,0.512787351617528,0.924395904690344,1.00950366013983
"23/08/2021Pacos FerreiraEstoril","Pacos Ferreira","Estoril","23/08/2021",2.42,1.55,2.16,3.51,3.14,2,4,11,8,0,0,3,0,1,1,1.5,0,1,1,1.5,0,1.5,1,1,1.5,0,0.5,0,"A",1034.3985813856,929.070975450334,0.732876635400338,1.02251574027639,0.873813412691434
"23/08/2021BoavistaSanta Clara","Boavista","Santa Clara","23/08/2021",2.31,1.6,2.36,3.09,3.15,2,2,10,16,3,2,0,2,1.5,1,1.5,2.5,1.5,1,1.5,2.5,3.16666666666667,1.5,1,1.5,2.5,1,1,"H",996.932086146657,1008.20078537171,0.583725159818975,1.01997955923828,1.03388111354023
"27/08/2021BelenensesMoreirense","Belenenses","Moreirense","27/08/2021",2.34,1.6,3.32,2.28,3.15,3,2,18,15,0,2,2,3,0.333333333333333,1.66666666666667,2,2.33333333333333,0.333333333333333,1.66666666666667,2,2.33333333333333,2,0.333333333333333,1.66666666666667,2,2.33333333333333,0.333333333333333,1,"D",980.173752198499,1011.15272845381,0.555920946833218,0.849008206034732,1.09059557923211
"27/08/2021EstorilMaritimo","Estoril","Maritimo","27/08/2021",2.66,1.47,2.1,3.86,3.1,3,3,3,10,3,1,1,1,1.66666666666667,1,0.333333333333333,1.33333333333333,1.66666666666667,1,0.333333333333333,1.33333333333333,1.25,1.66666666666667,1,0.333333333333333,1.33333333333333,0.333333333333333,0.333333333333333,"H",958.386041133894,988.696700089728,0.556870330059087,0.908361146463601,0.857021583185856
"28/08/2021VizelaBoavista","Vizela","Boavista","28/08/2021",2.06,1.77,2.77,2.57,3.23,3,2,14,6,0,2,4,0,0.666666666666667,1.66666666666667,2.66666666666667,1,0.666666666666667,1.66666666666667,2.66666666666667,1,0,0.666666666666667,1.66666666666667,2.66666666666667,1,1,0.666666666666667,"D",990.32085098436,1013.58307971054,0.566858292491633,1.04557148278018,1.00766974918565
"28/08/2021PortoArouca","Porto","Arouca","28/08/2021",1.62,2.3,1.18,16.11,6.97,3,3,4,12,1,2,1,1,1.66666666666667,0.666666666666667,0.666666666666667,1.66666666666667,1.66666666666667,0.666666666666667,0.666666666666667,1.66666666666667,3.5,1.66666666666667,0.666666666666667,0.666666666666667,1.66666666666667,0.333333333333333,0.333333333333333,"H",1329.03637602612,870.021728447921,0.95457715955325,1.20215402368399,1.1318308376804
"28/08/2021FamalicaoSp Lisbon","Famalicao","Sp Lisbon","28/08/2021",1.83,1.99,6.71,1.48,4.23,3,2,18,2,1,2,2,0,0.666666666666667,2.33333333333333,2,0.333333333333333,0.666666666666667,2.33333333333333,2,0.333333333333333,3.25,0.666666666666667,2.33333333333333,2,0.333333333333333,0.666666666666667,0.666666666666667,"D",986.736761276198,1318.90830216379,0.181060279321809,1.02338943650158,1.07693789090048
"29/08/2021BenficaTondela","Benfica","Tondela","29/08/2021",1.53,2.47,1.18,15.57,6.84,3,3,4,12,2,0,0,3,2,1.33333333333333,0.333333333333333,1.66666666666667,2,1.33333333333333,0.333333333333333,1.66666666666667,2.7,2,1.33333333333333,0.333333333333333,1.66666666666667,0.333333333333333,1,"H",1319.82593386632,923.041535397745,0.936256783084631,1.1823488597066,1.13419967368271
"29/08/2021Sp BragaGuimaraes","Sp Braga","Guimaraes","29/08/2021",1.82,2,1.73,4.62,3.79,3,0,8,9,3,4,2,0,2,1.33333333333333,1.33333333333333,0.333333333333333,2,1.33333333333333,1.33333333333333,0.333333333333333,2.6,2,1.33333333333333,1.33333333333333,0.333333333333333,0.666666666666667,0.333333333333333,"D",1149.5442734484,968.185420915474,0.80952676348059,1.05345795120863,0.957422974186282
"29/08/2021PortimonensePacos Ferreira","Portimonense","Pacos Ferreira","29/08/2021",2.38,1.58,2.13,3.6,3.2,3,1,6,13,3,1,0,3,1.33333333333333,1,0.333333333333333,2,1.33333333333333,1,0.333333333333333,2,1.83333333333333,1.33333333333333,1,0.333333333333333,2,0.333333333333333,0.666666666666667,"A",972.916815042666,1005.08351570204,0.554232308120676,0.848978911941223,1.06294267932292
"29/08/2021Santa ClaraGil Vicente","Santa Clara","Gil Vicente","29/08/2021",2.44,1.55,2.63,2.9,2.98,3,1,18,7,0,0,2,2,0.666666666666667,1.33333333333333,2.33333333333333,0.666666666666667,0.666666666666667,1.33333333333333,2.33333333333333,0.666666666666667,1,0.666666666666667,1.33333333333333,2.33333333333333,0.666666666666667,0.666666666666667,0.333333333333333,"H",991.54979180783,1025.25770657232,0.552039395724579,1.02140353003436,0.929639446730332
"11/09/2021Pacos FerreiraSp Braga","Pacos Ferreira","Sp Braga","11/09/2021",2.14,1.71,4.19,1.88,3.45,4,0,9,6,1,0,0,0,1,1.5,1.5,1,1,1.5,1.5,1,3.375,0.666666666666667,1.33333333333333,2,1.33333333333333,0.5,0.5,"D",1027.25280798936,1137.16320459446,0.442815620621797,1.03335325653039,1.0007850536482
"11/09/2021Santa ClaraBenfica","Santa Clara","Benfica","11/09/2021",1.76,2.06,5.9,1.53,4.22,4,5,12,1,1,2,0,1,0.75,2,1.75,0.5,0.75,2,1.75,0.5,3.66666666666667,1,2,1.33333333333333,0.333333333333333,0.5,0.5,"A",1009.46821681955,1322.37566256398,0.198087925113202,0.991847070565998,1.17613215491773
"11/09/2021Sp LisbonPorto","Sp Lisbon","Porto","11/09/2021",2.11,1.73,2.57,2.82,3.16,4,2,3,2,1,3,1,0,2,2,0.5,0.5,2,2,0.5,0.5,2.1,1.66666666666667,2,0.666666666666667,0.666666666666667,0.5,0.5,"D",1306.15071194067,1330.85329016737,0.564821336470363,1.06217680140025,1.19505777792449
"12/09/2021MoreirenseFamalicao","Moreirense","Famalicao","12/09/2021",2.11,1.72,2.82,2.57,3.16,4,4,16,17,1,1,1,1,1.5,0.75,2,1.75,1.5,0.75,2,1.75,3.25,1.66666666666667,1,2,1.66666666666667,0.75,0.5,"D",1013.38956199243,999.494351499316,0.6184417759888,1.08317959695195,1.00936231089532
"12/09/2021BoavistaPortimonense","Boavista","Portimonense","12/09/2021",2.33,1.6,2.57,2.88,3.09,4,2,6,8,1,0,1,1,1.5,1,1,0.5,1.5,1,1,0.5,2.25,2,1,0.333333333333333,0.666666666666667,0.5,0.25,"D",1016.25740978616,950.747522755349,0.685692547155546,0.995542852173578,0.825345656398812
"12/09/2021Gil VicenteVizela","Gil Vicente","Vizela","12/09/2021",2.12,1.72,2.02,3.72,3.37,4,4,9,12,0,1,1,1,1,0.75,0.75,2.25,1,0.75,0.75,2.25,0,0.333333333333333,1,1,2,0.25,0.75,"D",1007.3392815606,987.64652090874,0.626285280007305,0.902738374020555,1.03298845376627
"12/09/2021GuimaraesBelenenses","Guimaraes","Belenenses","12/09/2021",2,1.81,1.5,6.74,4.06,4,0,10,18,0,1,0,1,1,0.5,0.25,1.75,1,0.5,0.25,1.75,2.2,1.33333333333333,0.666666666666667,0,1.66666666666667,0.25,0.25,"D",980.566489769413,977.936918659871,0.603026014241463,0.909551825476968,0.843235002904662
"13/09/2021MaritimoArouca","Maritimo","Arouca","13/09/2021",2.37,1.57,2.06,3.74,3.24,4,4,12,16,1,0,2,3,1,0.5,1.5,2,1,0.5,1.5,2,2.5,1.33333333333333,0.666666666666667,1.33333333333333,2,0.5,0.5,"D",970.971515624218,868.204814306676,0.729980781298109,0.880223527357195,1.12514970562568
"13/09/2021TondelaEstoril","Tondela","Estoril","13/09/2021",2.07,1.75,2.95,2.42,3.24,4,3,15,4,1,2,2,1,1.25,1.75,1.75,0.5,1.25,1.75,1.75,0.5,3,0.666666666666667,1.66666666666667,2.33333333333333,0.666666666666667,1,0.5,"A",920.491806700085,976.111225599404,0.520683536735188,1.12823613383148,0.932952994581727
"17/09/2021PortimonenseSanta Clara","Portimonense","Santa Clara","17/09/2021",2.65,1.47,2.34,3.37,3.01,5,3,7,14,1,0,1,5,1,0.6,0.6,2.4,1,0.6,0.6,2.4,2.66666666666667,1.33333333333333,0.333333333333333,0.666666666666667,2.33333333333333,0.2,0.6,"H",958.175223997976,1001.54469783055,0.538249493887374,0.824257457696313,1.02727917588093
"18/09/2021FamalicaoMaritimo","Famalicao","Maritimo","18/09/2021",2.19,1.68,2.04,3.69,3.35,5,0,17,11,2,2,2,2,1,1.2,1.8,1.6,1,1.2,1.8,1.6,3.75,1.33333333333333,1.33333333333333,1.66666666666667,1.66666666666667,0.6,0.6,"D",1004.23202310901,961.772284312495,0.656417569920061,1.03275083022913,0.907314000485402
"18/09/2021BelenensesGil Vicente","Belenenses","Gil Vicente","18/09/2021",2.33,1.6,3.47,2.23,3.1,5,2,18,8,0,2,0,2,0.4,1.2,1.4,1,0.4,1.2,1.4,1,1.5,0.333333333333333,0.666666666666667,1,1.66666666666667,0.2,0.4,"D",982.05795763707,1002.28787248087,0.571138992734652,0.801073252759429,0.935046657836864
"18/09/2021AroucaGuimaraes","Arouca","Guimaraes","18/09/2021",2.14,1.7,3.84,1.98,3.42,5,4,13,10,2,0,2,0,0.8,0.8,2,0.2,0.8,0.8,2,0.2,1,1.33333333333333,1.33333333333333,2,0,0.6,0.2,"D",877.404045618398,976.445450792213,0.458302988743347,1.15977822544834,0.864074234203119
"19/09/2021VizelaPacos Ferreira","Vizela","Pacos Ferreira","19/09/2021",2.28,1.63,2.42,3.01,3.16,5,2,13,10,2,0,2,0,1,0.8,2.2,1.2,1,0.8,2.2,1.2,0,1,0.666666666666667,2.33333333333333,1,0.8,0.4,"D",992.697929988463,1029.54018297161,0.547573421739116,1.06995828367902,0.98168559370387
"19/09/2021PortoMoreirense","Porto","Moreirense","19/09/2021",1.57,2.38,1.21,13.59,6.47,5,5,3,15,1,2,1,2,1.8,1.6,0.6,2,1.8,1.6,0.6,2,3.3,1.66666666666667,1.66666666666667,0.666666666666667,2,0.4,0.8,"H",1333.44614485849,1008.65189038274,0.906583749833851,1.1729634030791,1.10827857942022
"19/09/2021EstorilSp Lisbon","Estoril","Sp Lisbon","19/09/2021",2.04,1.78,6.08,1.59,3.74,5,1,2,4,2,1,1,1,1.8,1.8,0.6,0.6,1.8,1.8,0.6,0.6,3.25,2.33333333333333,1.33333333333333,1,0.666666666666667,0.6,0.4,"A",996.938565982741,1303.55785724955,0.203900802904617,0.939485701518085,1.04253914635484
"20/09/2021BenficaBoavista","Benfica","Boavista","20/09/2021",1.54,2.44,1.2,13.63,6.51,5,4,1,6,5,1,0,1,2.6,1.4,0.4,1,2.6,1.4,0.4,1,3.9,3,1.33333333333333,0.333333333333333,0.666666666666667,0.6,0.4,"H",1330.29918155298,1008.82970854353,0.90495025486655,1.21814754177927,0.994230252498983
"20/09/2021Sp BragaTondela","Sp Braga","Tondela","20/09/2021",1.65,2.23,1.33,8.94,5.15,5,4,7,15,0,1,0,2,1.2,1.2,0.8,1.8,1.2,1.2,0.8,1.8,2.6,1,0.666666666666667,0.666666666666667,2.33333333333333,0.4,1,"H",1134.8758296122,899.664466316749,0.85282568539817,0.950745800965788,1.13613624890709
