GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgH,AvgA,AvgD,Played,TG,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtACGP3G,AtACGP3G,HtpercentGO,AtpercentGO,FTR
13/08/2022Casa PiaBenfica,Casa Pia,Benfica,13/08/2022,1.64,2.24,12.96,1.23,5.96,1.0,1,9,2,0,4,0,0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,A
13/08/2022Sp LisbonRio Ave,Sp Lisbon,Rio Ave,13/08/2022,1.71,2.13,1.22,13.82,6.19,1.0,3,11,15,3,0,3,1,3.0,0.0,3.0,1.0,3.0,0.0,3.0,1.0,2.6,3.0,0.0,3.0,1.0,1.0,0.0,H
14/08/2022BoavistaSanta Clara,Boavista,Santa Clara,14/08/2022,2.32,1.6,2.52,2.94,3.1,1.0,3,6,10,1,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,H
14/08/2022VizelaPorto,Vizela,Porto,14/08/2022,1.66,2.21,10.63,1.28,5.52,1.0,1,9,4,1,5,0,1,1.0,5.0,0.0,1.0,1.0,5.0,0.0,1.0,5.0,1.0,5.0,0.0,1.0,0.0,1.0,A
14/08/2022GuimaraesEstoril,Guimaraes,Estoril,14/08/2022,2.11,1.72,2.02,3.79,3.33,1.0,1,8,5,1,2,0,0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,3.1666666666666665,1.0,2.0,0.0,0.0,0.0,0.0,H
15/08/2022MaritimoChaves,Maritimo,Chaves,15/08/2022,2.11,1.72,2.32,3.1,3.25,1.0,3,16,12,1,0,5,1,1.0,0.0,5.0,1.0,1.0,0.0,5.0,1.0,2.5,1.0,0.0,5.0,1.0,1.0,0.0,A
15/08/2022AroucaGil Vicente,Arouca,Gil Vicente,15/08/2022,2.02,1.78,2.63,2.66,3.28,1.0,1,15,8,0,1,4,0,0.0,1.0,4.0,0.0,0.0,1.0,4.0,0.0,2.5,0.0,1.0,4.0,0.0,1.0,0.0,H
15/08/2022Pacos FerreiraPortimonense,Pacos Ferreira,Portimonense,15/08/2022,2.19,1.67,2.37,3.07,3.19,1.0,3,13,14,0,0,1,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.75,0.0,0.0,1.0,1.0,0.0,0.0,A
19/08/2022EstorilRio Ave,Estoril,Rio Ave,19/08/2022,2.27,1.63,2.13,3.59,3.23,2.0,4,8,16,0,0,1,3,1.0,0.0,0.5,2.0,1.0,0.0,0.5,2.0,2.25,1.0,0.0,0.5,2.0,0.0,0.5,D
20/08/2022Santa ClaraArouca,Santa Clara,Arouca,20/08/2022,2.28,1.62,2.1,3.63,3.26,2.0,3,14,12,1,1,2,0,0.5,0.5,1.0,2.0,0.5,0.5,1.0,2.0,2.5,0.5,0.5,1.0,2.0,0.5,0.5,A
20/08/2022ChavesVizela,Chaves,Vizela,20/08/2022,2.17,1.69,2.28,3.23,3.22,2.0,2,9,11,2,0,1,1,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.0,1.0,0.5,1.0,0.5,0.5,0.0,D
20/08/2022PortoSp Lisbon,Porto,Sp Lisbon,20/08/2022,1.94,1.87,2.1,3.5,3.43,2.0,3,2,6,1,3,0,0,3.0,3.0,0.5,1.5,3.0,3.0,0.5,1.5,2.25,3.0,3.0,0.5,1.5,0.5,1.0,H
21/08/2022Casa PiaBoavista,Casa Pia,Boavista,21/08/2022,2.49,1.53,2.46,3.06,3.07,2.0,2,13,3,0,2,1,1,0.0,1.5,0.5,0.5,0.0,1.5,0.5,0.5,0.0,0.0,1.5,0.5,0.5,0.0,0.5,H
21/08/2022Sp BragaMaritimo,Sp Braga,Maritimo,21/08/2022,1.69,2.16,1.38,7.57,4.87,2.0,5,6,18,3,1,0,2,3.0,1.0,1.5,3.5,3.0,1.0,1.5,3.5,2.25,3.0,1.0,1.5,3.5,1.0,1.0,H
21/08/2022PortimonenseGuimaraes,Portimonense,Guimaraes,21/08/2022,2.18,1.68,2.73,2.61,3.21,2.0,3,11,4,3,1,0,0,1.5,1.0,0.5,0.0,1.5,1.0,0.5,0.0,2.6,1.5,1.0,0.5,0.0,0.5,0.0,H
22/08/2022Gil VicenteFamalicao,Gil Vicente,Famalicao,22/08/2022,1.99,1.81,2.21,3.22,3.35,2.0,0,13,17,0,0,1,3,0.5,0.0,0.5,2.5,0.5,0.0,0.5,2.5,3.1666666666666665,0.5,0.0,0.5,2.5,0.0,0.5,D
26/08/2022Pacos FerreiraEstoril,Pacos Ferreira,Estoril,26/08/2022,2.26,1.63,2.62,2.84,3.07,2.5,3,17,9,0,2,3,2,0.0,1.3333333333333333,2.0,1.0,0.0,1.3333333333333333,2.0,1.0,1.6666666666666667,0.0,1.3333333333333333,2.0,1.0,0.5,0.3333333333333333,A
27/08/2022MaritimoPortimonense,Maritimo,Portimonense,27/08/2022,2.09,1.73,2.79,2.65,3.11,3.0,1,18,5,0,2,5,1,0.6666666666666666,1.6666666666666667,4.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,4.0,0.6666666666666666,2.8,0.6666666666666666,1.6666666666666667,4.0,0.6666666666666666,1.0,0.6666666666666666,A
27/08/2022BoavistaBenfica,Boavista,Benfica,27/08/2022,1.72,2.12,8.49,1.37,4.73,2.5,3,7,4,0,1,2,0,1.0,2.5,1.0,0.0,1.0,2.5,1.0,0.0,3.9166666666666665,1.0,2.5,1.0,0.0,0.3333333333333333,0.5,A
27/08/2022Sp LisbonChaves,Sp Lisbon,Chaves,27/08/2022,1.55,2.41,1.19,15.0,6.71,3.0,2,12,10,0,1,3,1,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,4.166666666666667,2.0,1.0,2.0,1.0,1.0,0.3333333333333333,A
28/08/2022FamalicaoSanta Clara,Famalicao,Santa Clara,28/08/2022,2.04,1.77,2.17,3.35,3.32,3.0,1,16,14,0,1,0,2,0.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.5,0.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.6666666666666666,H
28/08/2022AroucaSp Braga,Arouca,Sp Braga,28/08/2022,1.78,2.04,4.83,1.69,3.85,3.0,6,8,4,2,5,1,0,1.0,3.6666666666666665,1.6666666666666667,1.0,1.0,3.6666666666666665,1.6666666666666667,1.0,3.25,1.0,3.6666666666666665,1.6666666666666667,1.0,0.6666666666666666,1.0,A
28/08/2022Rio AvePorto,Rio Ave,Porto,28/08/2022,1.64,2.23,10.03,1.29,5.44,3.0,4,15,2,2,3,2,0,0.6666666666666666,3.0,2.0,0.3333333333333333,0.6666666666666666,3.0,2.0,0.3333333333333333,3.3,0.6666666666666666,3.0,2.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,H
29/08/2022GuimaraesCasa Pia,Guimaraes,Casa Pia,29/08/2022,2.12,1.71,2.01,3.78,3.33,3.0,1,7,10,1,2,2,0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,A
29/08/2022VizelaGil Vicente,Vizela,Gil Vicente,29/08/2022,2.03,1.77,2.4,2.97,3.24,3.0,4,12,11,1,0,1,0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,D
30/08/2022BenficaPacos Ferreira,Benfica,Pacos Ferreira,30/08/2022,1.34,3.18,1.08,29.43,10.65,3.0,5,2,17,3,0,0,3,2.6666666666666665,0.0,0.0,2.3333333333333335,2.6666666666666665,0.0,0.0,2.3333333333333335,2.8,2.6666666666666665,0.0,0.0,2.3333333333333335,0.6666666666666666,0.6666666666666666,H
02/09/2022BenficaVizela,Benfica,Vizela,02/09/2022,1.38,2.97,1.18,14.03,7.22,4.0,3,1,12,3,2,2,2,2.75,1.0,0.5,1.0,2.75,1.0,0.5,1.0,1.5,2.3333333333333335,1.0,0.6666666666666666,1.3333333333333333,0.75,0.25,H
02/09/2022EstorilSp Lisbon,Estoril,Sp Lisbon,02/09/2022,1.74,2.1,6.63,1.47,4.41,4.0,2,5,14,3,0,0,2,1.75,1.5,0.75,2.0,1.75,1.5,0.75,2.0,2.8333333333333335,1.6666666666666667,1.0,1.0,1.6666666666666667,0.5,0.75,A
03/09/2022Sp BragaGuimaraes,Sp Braga,Guimaraes,03/09/2022,1.63,2.27,1.38,7.74,4.87,4.0,1,2,9,6,0,0,1,4.25,0.75,0.75,0.75,4.25,0.75,0.75,0.75,2.4166666666666665,4.666666666666667,0.6666666666666666,0.0,1.0,1.0,0.25,H
03/09/2022Gil VicentePorto,Gil Vicente,Porto,03/09/2022,1.71,2.13,7.1,1.44,4.52,4.0,2,12,3,2,1,2,3,0.75,2.5,0.75,1.0,0.75,2.5,0.75,1.0,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.0,1.0,0.25,0.75,A
04/09/2022Casa PiaArouca,Casa Pia,Arouca,04/09/2022,2.29,1.6,2.09,3.83,3.14,4.0,0,5,11,1,0,0,6,0.75,0.75,0.25,2.75,0.75,0.75,0.25,2.75,0.0,1.0,1.0,0.3333333333333333,2.3333333333333335,0.0,0.75,D
04/09/2022Santa ClaraMaritimo,Santa Clara,Maritimo,04/09/2022,2.23,1.65,2.03,3.89,3.23,4.0,3,16,18,0,0,1,1,0.5,0.5,1.25,3.25,0.5,0.5,1.25,3.25,2.625,0.6666666666666666,0.3333333333333333,1.6666666666666667,2.6666666666666665,0.5,0.75,H
04/09/2022PortimonenseFamalicao,Portimonense,Famalicao,04/09/2022,2.14,1.7,2.31,3.22,3.17,4.0,1,4,15,1,1,0,0,1.5,0.25,0.5,1.25,1.5,0.25,0.5,1.25,1.5,2.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.25,H
05/09/2022BoavistaPacos Ferreira,Boavista,Pacos Ferreira,05/09/2022,2.22,1.65,2.03,3.85,3.25,4.0,1,11,17,0,2,3,3,0.75,0.5,1.5,2.5,0.75,0.5,1.5,2.5,1.9,0.6666666666666666,0.6666666666666666,2.0,3.0,0.5,0.75,H
05/09/2022ChavesRio Ave,Chaves,Rio Ave,05/09/2022,2.25,1.63,2.51,2.95,3.08,4.0,2,6,14,2,3,0,1,1.25,1.25,0.75,1.75,1.25,1.25,0.75,1.75,2.6666666666666665,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.0,0.25,0.75,D
09/09/2022GuimaraesSanta Clara,Guimaraes,Santa Clara,09/09/2022,2.22,1.66,1.98,4.02,3.28,5.0,1,11,15,0,2,1,1,0.6,0.8,0.8,1.2,0.6,0.8,0.8,1.2,2.0,0.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,0.2,0.6,H
10/09/2022FamalicaoBenfica,Famalicao,Benfica,10/09/2022,1.68,2.17,7.45,1.41,4.63,5.0,1,16,1,0,2,1,1,0.2,2.6,1.2,0.6,0.2,2.6,1.2,0.6,3.1666666666666665,0.3333333333333333,2.6666666666666665,0.3333333333333333,1.0,0.2,0.8,A
10/09/2022Sp LisbonPortimonense,Sp Lisbon,Portimonense,10/09/2022,1.66,2.2,1.32,9.19,5.15,5.0,4,10,4,2,1,0,0,1.6,1.4,1.6,0.4,1.6,1.4,1.6,0.4,3.6,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.6,0.4,H
10/09/2022PortoChaves,Porto,Chaves,10/09/2022,1.5,2.54,1.15,17.48,7.6,5.0,3,3,8,2,1,0,1,2.4,1.2,0.8,0.8,2.4,1.2,0.8,0.8,3.6666666666666665,2.0,1.3333333333333333,1.0,0.6666666666666666,0.6,0.2,H
11/09/2022Pacos FerreiraCasa Pia,Pacos Ferreira,Casa Pia,11/09/2022,2.42,1.56,2.83,2.64,3.06,5.0,5,17,8,0,0,1,0,0.4,0.6,2.2,0.2,0.4,0.6,2.2,0.2,0.0,0.6666666666666666,1.0,2.3333333333333335,0.0,0.6,0.0,A
11/09/2022AroucaBoavista,Arouca,Boavista,11/09/2022,2.32,1.6,2.67,2.77,3.1,5.0,3,11,7,0,1,0,0,0.6,0.8,2.2,1.2,0.6,0.8,2.2,1.2,2.25,0.6666666666666666,0.3333333333333333,2.3333333333333335,1.6666666666666667,0.6,0.4,A
11/09/2022MaritimoGil Vicente,Maritimo,Gil Vicente,11/09/2022,2.19,1.66,2.8,2.61,3.13,5.0,3,18,13,1,0,2,2,0.6,0.6,3.0,1.0,0.6,0.6,3.0,1.0,2.0,0.3333333333333333,0.6666666666666666,2.6666666666666665,1.3333333333333333,0.8,0.2,A
11/09/2022Rio AveSp Braga,Rio Ave,Sp Braga,11/09/2022,1.8,2.0,5.39,1.61,3.94,5.0,5,14,3,1,1,1,0,1.2,3.6,1.6,0.6,1.2,3.6,1.6,0.6,2.4,2.0,4.0,1.3333333333333333,0.0,0.6,0.8,A
12/09/2022VizelaEstoril,Vizela,Estoril,12/09/2022,2.17,1.67,2.26,3.26,3.21,5.0,1,13,11,1,0,2,2,1.0,1.4,1.2,1.0,1.0,1.4,1.2,1.0,2.5,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.4,0.4,A
