GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,OvUn25
21/08/17LugoReus Deportiu,Lugo,Reus Deportiu,21/08/17,2.6,1.46,3.85,2.06,0.0,14,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.5,979.5218792611017,1001.5400367060181,0.5686157535091949,0.927862283689318,0.5889005072594534,0
25/08/17AlbaceteCordoba,Albacete,Cordoba,25/08/17,2.32,1.58,2.84,2.55,1.0,8,16,0,1,0,2,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1059.121811120375,1007.6879441716738,0.6679725712681668,0.8610814487256596,0.9942459887595392,1
26/08/17AlmeriaOviedo,Almeria,Oviedo,26/08/17,2.21,1.62,3.17,2.29,1.0,3,19,1,2,0,3,1.0,2.0,0.0,3.0,1.0,2.0,0.0,3.0,2.5,1.0,2.0,0.0,1.0,1023.2868286224683,988.9860639381815,0.6457486072052043,0.9061785561442237,1.0147011758329487,0
26/08/17HuescaLorca,Huesca,Lorca,26/08/17,2.29,1.58,3.77,2.02,1.0,18,2,0,2,1,0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1055.3099041718078,1016.0241281316297,0.6522852478354354,0.9230201603147843,0.99,0
26/08/17LeonesaOsasuna,Leonesa,Osasuna,26/08/17,2.39,1.53,2.42,3.03,1.0,22,12,0,1,2,1,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,983.9758718683703,993.3508263800878,0.5863716201133473,0.99,0.982690758840576,1
26/08/17Sevilla BValladolid,Sevilla B,Valladolid,26/08/17,2.02,1.75,2.75,2.53,1.0,14,20,1,1,1,2,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,0.0,1.0,956.5789343849298,1028.009156008846,0.4979417572567526,1.2024080121637968,1.0998828160185052,1
26/08/17VallecanoNumancia,Vallecano,Numancia,26/08/17,2.13,1.68,4.12,1.89,1.0,8,6,3,1,2,0,3.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,1050.7687958287809,982.7171659124963,0.6888372754547363,0.9528003639402199,0.7675794291743373,1
27/08/17CadizAlcorcon,Cadiz,Alcorcon,27/08/17,2.71,1.42,4.04,2.01,1.0,6,12,2,0,1,0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,3.5,2.0,0.0,1.0,0.0,1074.6307623045157,979.4766918629439,0.721256585608914,0.9448361848770666,0.7787509833608851,0
27/08/17Reus DeportiuGimnastic,Reus Deportiu,Gimnastic,27/08/17,2.72,1.42,3.75,2.11,1.0,15,21,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1004.2846668463859,1012.308589310774,0.5882566177203102,0.5594554818964808,0.9199734806302914,0
27/08/17Sp GijonLugo,Sp Gijon,Lugo,27/08/17,2.37,1.54,4.55,1.82,1.0,16,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961.1933077569377,976.7772491207339,0.5776768899110325,0.7535455966482765,0.8814691695048521,0
