"GameIndex","HomeTeam","AwayTeam","Date","AvgO25","AvgU25","AvgH","AvgA","AvgD","Played","TG","HtPos","AtPos","HtSGLG","AtSGLG","HtCGLG","AtCGLG","HtASGPG","AtASGPG","HtACGPG","AtACGPG","HtASGP5G","AtASGP5G","HtACGP5G","AtACGP5G","AGTM","HtASGP3G","AtASGP3G","HtACGP3G","AtACGP3G","HtpercentGO","AtpercentGO","FTR","elo_ht","elo_at","win_e_ht","tilt_ht","tilt_at"
"18/08/2019Las PalmasHuesca","Las Palmas","Huesca","18/08/2019",2.15,1.69,2.3,3.12,3.19,0,1,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,"A",982.086027986604,1078.78203775216,0.461656797018599,1.00513589481921,1.02640604109041
"23/08/2019AlbaceteGirona","Albacete","Girona","23/08/2019",2.46,1.52,2.4,3.12,3,1,1,22,10,0,1,3,1,0,1,3,1,0,1,3,1,0,0,1,3,1,1,0,"H",1028.24149778078,1021.10584643044,0.609218589132657,0.957483869921664,1.11539167903454
"24/08/2019OviedoLugo","Oviedo","Lugo","24/08/2019",2.16,1.67,1.75,4.76,3.47,1,2,18,11,2,0,3,0,2,0,3,0,2,0,3,0,2.5,2,0,3,0,1,0,"D",1014.648768329,981.769658610749,0.64387428688451,1.04135177742648,0.900210776278894
"24/08/2019SantanderAlmeria","Santander","Almeria","24/08/2019",2.49,1.52,2.21,3.47,3.02,1,2,19,1,0,3,1,0,0,3,1,0,0,3,1,0,0,0,3,1,0,0,1,"D",981.496917281664,1041.27569142605,0.514705247117491,0.971584215398598,0.918174313777126
"24/08/2019MirandesCadiz","Mirandes","Cadiz","24/08/2019",2.48,1.52,2.73,2.74,2.94,1,3,12,2,2,3,2,1,2,3,2,1,2,3,2,1,4,2,3,2,1,1,1,"A",924.746987542554,1055.63784778979,0.413257389932075,1.06748314239582,0.909851797407486
"24/08/2019AlcorconElche","Alcorcon","Elche","24/08/2019",2.45,1.52,2.07,3.83,3.08,1,3,5,20,1,0,0,2,1,0,0,2,1,0,0,2,1.5,1,0,0,2,0,0,"A",926.096888739451,983.279963363011,0.518436639253367,0.785871776329616,1.10815820038313
"24/08/2019MalagaLas Palmas","Malaga","Las Palmas","24/08/2019",2.32,1.58,1.93,4.18,3.19,1,2,8,16,1,0,0,1,1,0,0,1,1,0,0,1,0.5,1,0,0,1,0,0,"D",1114.55592071081,963.619756664705,0.781052505449991,0.900272905413734,0.974364566062792
"25/08/2019PonferradinaZaragoza","Ponferradina","Zaragoza","25/08/2019",2.26,1.61,2.71,2.73,2.98,1,2,21,5,1,2,3,0,1,2,3,0,1,2,3,0,0,1,2,3,0,1,0,"D",986.225728912289,1004.92890666955,0.573290255929553,1.0415826178089,1.05510369562043
"25/08/2019Sp GijonVallecano","Sp Gijon","Vallecano","25/08/2019",2.35,1.56,2.13,3.54,3.13,1,2,13,14,1,2,1,2,1,2,1,2,1,2,1,2,1.5,1,2,1,2,0,1,"D",1042.82146736679,1092.25707273009,0.529560038895899,0.845462538325047,1.16514593790389
"25/08/2019HuescaLa Coruna","Huesca","La Coruna","25/08/2019",2.34,1.57,2.44,2.99,3.05,1,4,6,7,1,3,0,2,1,3,0,2,1,3,0,2,0,1,3,0,2,0,1,"H",1097.24830907406,1067.76637923492,0.639377617124498,0.994983545992225,0.836649173709439
