GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at
15/08/2022CartagenaPonferradina,Cartagena,Ponferradina,15/08/2022,2.29,1.6,3.37,2.18,0.0,14,17,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.5,0.5,992.9645648230365,977.6863611788664,0.6203186151080803,1.220485824468617,1.1298976477352138
19/08/2022Villarreal BEibar,Villarreal B,Eibar,19/08/2022,2.25,1.63,2.49,2.98,1.0,2,7,2,2,0,1,2.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1023.9758718683703,1144.9722391881364,0.4271328654132834,0.99,1.0120784944069692
19/08/2022AlavesMirandes,Alaves,Mirandes,19/08/2022,1.96,1.83,5.18,1.67,1.0,3,12,2,1,1,1,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1023.3169303156253,992.1624928289632,0.6415945672345129,1.0123145245542229,1.1546856668279453
20/08/2022Sp GijonAndorra,Sp Gijon,Andorra,20/08/2022,2.26,1.62,4.96,1.74,1.0,12,6,1,1,1,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,966.6095903386831,1000.0,0.5524913085648752,0.7939704533892343,1.0
20/08/2022AlbaceteBurgos,Albacete,Burgos,20/08/2022,2.51,1.51,3.61,2.17,1.0,5,7,2,1,1,0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,962.9173875456996,995.8811161431602,0.5530985057984368,0.8270791357854359,0.9451174535087745
20/08/2022ZaragozaLevante,Zaragoza,Levante,20/08/2022,2.24,1.63,2.46,2.94,1.0,13,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,998.1932659228834,993.9413825476299,0.6052593792877817,0.7848725140700187,0.95
20/08/2022GranadaSantander,Granada,Santander,20/08/2022,1.95,1.84,6.2,1.53,1.0,4,22,2,0,0,2,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1024.6804037267657,976.0241281316297,0.6644169513483656,0.9869454724507096,0.99
21/08/2022OviedoLeganes,Oviedo,Leganes,21/08/2022,2.71,1.44,4.07,2.04,1.0,19,16,0,1,1,2,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1062.9937159153023,964.8412340678701,0.7247133931302462,0.819061193131288,0.9747145133138495
21/08/2022HuescaCartagena,Huesca,Cartagena,21/08/2022,2.23,1.64,3.75,2.04,1.0,12,15,0,2,0,3,0.0,2.0,0.0,3.0,0.0,2.0,0.0,3.0,2.5,0.0,2.0,0.0,1.0,967.4004070183157,1036.2456062356605,0.5016618857972883,0.94188088770382,1.0097444870717347
21/08/2022TenerifeLugo,Tenerife,Lugo,21/08/2022,2.38,1.56,6.17,1.61,1.0,20,17,1,1,2,2,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.3333333333333335,1.0,1.0,1.0,1.0,1022.1777897351255,968.4152071538052,0.6709389148828543,0.8752531074737379,1.0945735806561847
22/08/2022PonferradinaIbiza,Ponferradina,Ibiza,22/08/2022,2.23,1.63,3.58,2.09,1.0,8,20,3,0,2,2,3.0,0.0,2.0,2.0,3.0,0.0,2.0,2.0,1.5,3.0,0.0,1.0,0.0,1002.4991057831896,930.0360957810113,0.6942539600833922,1.1553373507366436,1.1767456555144478
22/08/2022MalagaLas Palmas,Malaga,Las Palmas,22/08/2022,2.38,1.56,2.82,2.65,1.0,19,14,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.625,0.0,0.0,0.0,0.0,1000.1841642566287,1126.9127757545832,0.4190788030205573,0.9068022660013062,1.0213758280195917
26/08/2022AlbaceteHuesca,Albacete,Huesca,26/08/2022,2.33,1.59,3.0,2.47,2.0,7,15,0,2,0,3,1.0,1.0,0.5,1.5,1.0,1.0,0.5,1.5,1.25,1.0,1.0,0.5,0.5,960.7934473137622,947.3339315864242,0.6178497837442365,0.7857251789961641,0.9938217984784244
