GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,HtACGP3G,AtACGP3G,OvUn25
11/08/2023AmorebietaLevante,Amorebieta,Levante,11/08/2023,2.37,1.57,2.38,3.15,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,963.3399710214151,1117.0915945094841,0.3817532718865936,1.1120873483638851,0.8472777276784124,0.0,0.0,0
11/08/2023ValladolidSp Gijon,Valladolid,Sp Gijon,11/08/2023,2.22,1.64,4.32,1.88,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.5,0.5,1227.637153905749,971.4057381213363,0.867374214861967,1.0851450000871858,0.9548496213725342,0.0,0.0,0
12/08/2023SantanderEibar,Santander,Eibar,12/08/2023,2.36,1.57,2.56,2.9,0.0,18,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.5,1022.0966780828807,1083.3569940860805,0.5125747641244606,0.8986785245154795,0.8907762044031055,0.0,0.0,1
12/08/2023ZaragozaVillarreal B,Zaragoza,Villarreal B,12/08/2023,2.36,1.57,5.36,1.71,0.0,21,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.5,0.5,1002.1889994553084,943.7677209665808,0.6768323340066423,1.037973628164336,1.089395018604054,0.0,0.0,0
12/08/2023ElcheFerrol,Elche,Ferrol,12/08/2023,2.07,1.73,4.29,1.82,0.0,10,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1000.0,1000.0,0.5993967967092568,1.0,1.0,0.0,0.0,0
13/08/2023BurgosHuesca,Burgos,Huesca,13/08/2023,2.42,1.54,3.28,2.28,0.0,10,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.5,0.5,942.756434946988,981.5462573856468,0.5447946314389605,0.7352175237446276,0.8970621559094726,0.0,0.0,0
13/08/2023AlbaceteEspanol,Albacete,Espanol,13/08/2023,2.16,1.67,2.4,2.98,0.0,7,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.5,0.5,1025.050071641273,1120.3066890325865,0.46371669603127,1.1479310195233012,1.1014348218417898,0.0,0.0,0
13/08/2023CartagenaEldense,Cartagena,Eldense,13/08/2023,2.51,1.51,3.65,2.15,0.0,11,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,979.923840511369,1000.0,0.5713557506778472,1.1000342735148083,1.0,0.0,0.0,0
13/08/2023LeganesAndorra,Leganes,Andorra,13/08/2023,2.52,1.49,3.31,2.3,0.0,15,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.5,1018.6218557640484,1049.923500889807,0.555462241579704,0.9292367121256733,0.959547592435567,0.0,0.0,0
14/08/2023MirandesAlcorcon,Mirandes,Alcorcon,14/08/2023,2.48,1.51,2.97,2.53,0.0,14,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.5,0.5,933.0945573572077,925.6139304301546,0.6096911911011258,1.0207932337668038,0.9294162172241787,0.0,0.0,1
