"GameIndex","HomeTeam","AwayTeam","Date","AvgO25","AvgU25","AvgH","AvgA","AvgD","Played","TG","HtPos","AtPos","HtSGLG","AtSGLG","HtCGLG","AtCGLG","HtASGPG","AtASGPG","HtACGPG","AtACGPG","HtASGP5G","AtASGP5G","HtACGP5G","AtACGP5G","AGTM","HtASGP3G","AtASGP3G","HtACGP3G","AtACGP3G","HtpercentGO","AtpercentGO","FTR","elo_ht","elo_at","win_e_ht","tilt_ht","tilt_at"
"26/08/2018CagliariSassuolo","Cagliari","Sassuolo","26/08/2018",2.05,1.75,2.54,2.87,3.23,1,4,18,6,0,1,2,0,0,1,2,0,0,1,2,0,4,0,1,2,0,0,0,"D",921.521417804267,1030.17359433302,0.444603364315236,0.974994457808988,0.891206857938849
"26/08/2018FiorentinaChievo","Fiorentina","Chievo","26/08/2018",1.83,1.97,1.45,7.38,4.38,0.5,7,10,14,0,2,0,3,0,2,0,3,0,2,0,3,2,0,2,0,3,0.5,1,"H",1054.34405288406,935.181897019289,0.74817549903784,1.06728567548262,1.00709021372362
"26/08/2018FrosinoneBologna","Frosinone","Bologna","26/08/2018",2.32,1.59,3.18,2.37,3.18,1,0,20,13,0,0,4,1,0,0,4,1,0,0,4,1,0,0,0,4,1,1,0,"D",988.851694195935,853.344019371903,0.765486319119511,1.03448679500364,0.888227718536794
"26/08/2018GenoaEmpoli","Genoa","Empoli","26/08/2018",2.29,1.61,1.99,4.08,3.28,0.5,3,11,4,0,2,0,0,0,2,0,0,0,2,0,0,1,0,2,0,0,0.5,0,"H",921.262350365771,888.240174932495,0.644063150479597,0.843023135490943,0.991282443191764
"26/08/2018InterTorino","Inter","Torino","26/08/2018",1.72,2.09,1.49,6.57,4.42,1,4,15,17,0,0,1,1,0,0,1,1,0,0,1,1,2.5,0,0,1,1,0,0,"D",1099.51205479582,1045.14384795168,0.671708268594659,1.0116453408,1.02964414356033
"26/08/2018SpalParma","Spal","Parma","26/08/2018",2.31,1.6,2.07,3.93,3.21,1,1,7,8,1,2,0,2,1,2,0,2,1,2,0,2,0,1,2,0,2,0,1,"H",1000.96102387141,990.762225789539,0.613408233124182,0.928320864118808,1.02528837610379
"26/08/2018UdineseSampdoria","Udinese","Sampdoria","26/08/2018",1.9,1.89,2.37,3.04,3.32,0.5,1,9,12,2,0,2,0,2,0,2,0,2,0,2,0,2.25,2,0,2,0,1,0.5,"H",905.62089072999,970.580782854549,0.507252778201762,1.08945197563076,1.11549758902882
"27/08/2018RomaAtalanta","Roma","Atalanta","27/08/2018",1.83,1.96,1.71,4.84,3.87,1,6,10,7,1,4,0,0,1,4,0,0,1,4,0,0,2.25,1,4,0,0,0,1,"D",1223.34438173165,1106.33328470131,0.74583532112526,0.946038366039352,0.979548858454435
"31/08/2018MilanRoma","Milan","Roma","31/08/2018",1.75,2.07,2.44,2.9,3.42,1.5,3,17,5,2,3,3,3,2,2,3,1.5,2,2,3,1.5,2.5,2,2,3,1.5,1,0.5,"H",1113.04910749032,1213.51096901627,0.456273787918008,1.0568725525464,1.02124182249668
"01/09/2018BolognaInter","Bologna","Inter","01/09/2018",2.01,1.8,6.34,1.57,3.9,2,3,12,13,0,2,0,2,0,1,0.5,1.5,0,1,0.5,1.5,2,0,1,0.5,1.5,0,0.5,"A",863.963471096027,1092.64372878209,0.286297105884676,0.843816332609955,1.03875982025279
"01/09/2018ParmaJuventus","Parma","Juventus","01/09/2018",1.6,2.31,18.59,1.17,7.09,2,3,14,1,0,2,1,0,1,2.5,1.5,1,1,2.5,1.5,1,0,1,2.5,1.5,1,0.5,0.5,"A",975.29855500977,1323.54066311426,0.16774550758801,0.995568232314958,1.07216664555102
"02/09/2018AtalantaCagliari","Atalanta","Cagliari","02/09/2018",1.79,2.01,1.54,6.25,4.14,2,1,4,14,3,2,3,2,3.5,1,1.5,2,3.5,1,1.5,2,2.25,3.5,1,1.5,2,1,0.5,"A",1116.1666974167,923.737281897129,0.819159747940008,1.05741616549929,1.01601065097648
"02/09/2018ChievoEmpoli","Chievo","Empoli","02/09/2018",2.13,1.7,2.38,3.19,3.17,2,0,20,10,1,1,6,2,1.5,1.5,4.5,1,1.5,1.5,4.5,1,2,1.5,1.5,4.5,1,1,0.5,"D",925.108915066094,874.002699654905,0.667554106965007,1.08790958011275,1.01289074498358
"02/09/2018FiorentinaUdinese","Fiorentina","Udinese","02/09/2018",1.77,2.03,1.58,5.84,4.08,1.5,1,9,7,6,1,1,0,6,1.5,1,1,6,1.5,1,1,3,6,1.5,1,1,1,0.5,"H",1064.41703483725,925.330779148669,0.769164037126363,1.15293575019616,1.05290859534032
"02/09/2018LazioFrosinone","Lazio","Frosinone","02/09/2018",1.5,2.54,1.2,14.49,6.7,2,1,19,17,0,0,2,0,0.5,0,2,2,0.5,0,2,2,0,0.5,0,2,2,0.5,0.5,"H",1097.69115455325,978.232242471812,0.748497262588088,1.34239921330165,0.98276245525346
"02/09/2018SampdoriaNapoli","Sampdoria","Napoli","02/09/2018",1.7,2.13,5.97,1.54,4.27,1.5,3,18,2,0,3,1,2,0,2.5,1,1.5,0,2.5,1,1.5,4,0,2.5,1,1.5,0,1,"H",950.870894435871,1295.82465574859,0.170404769621636,1.07808056329408,1.12011829400167
"02/09/2018SassuoloGenoa","Sassuolo","Genoa","02/09/2018",2.13,1.7,2.11,3.71,3.24,1.5,8,6,11,2,2,2,1,1.5,2,1,1,1.5,2,1,1,1,1.5,2,1,1,0.5,1,"H",1027.95773024016,935.499825643361,0.718125588763103,0.928698263499817,0.861399631972122
"02/09/2018TorinoSpal","Torino","Spal","02/09/2018",1.99,1.81,1.65,5.47,3.81,2,1,13,3,2,1,2,0,1,1,1.5,0,1,1,1.5,0,3.5,1,1,1.5,0,0.5,0,"H",1052.0121739654,1016.42469465117,0.647441187897348,1.05724103334799,0.901411527968303
"15/09/2018FrosinoneSampdoria","Frosinone","Sampdoria","15/09/2018",2.02,1.79,3.52,2.16,3.34,2.5,5,19,13,0,3,1,0,0,1.5,1.66666666666667,0.5,0,1.5,1.66666666666667,0.5,0,0,1.5,1.66666666666667,0.5,0.333333333333333,0.5,"A",968.17212916442,984.054702391697,0.5772574029075,0.948523030137375,1.07774230610313
"15/09/2018InterParma","Inter","Parma","15/09/2018",1.6,2.31,1.27,11.89,5.84,3,1,7,17,3,1,0,2,1.66666666666667,1,1,1.66666666666667,1.66666666666667,1,1,1.66666666666667,0,1.66666666666667,1,1,1.66666666666667,0.666666666666667,0.666666666666667,"A",1104.09561030341,968.588734966774,0.765485492412098,1.05792735028929,1.00175127058106
"15/09/2018NapoliFiorentina","Napoli","Fiorentina","15/09/2018",1.61,2.29,1.58,5.63,4.24,2.5,1,5,3,0,1,3,0,1.66666666666667,3.5,2,0.5,1.66666666666667,3.5,2,0.5,3.5,1.66666666666667,3.5,2,0.5,1,0.5,"H",1262.64084779276,1073.65047107551,0.816208520390586,1.11976684710561,1.11428396385598
