GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at,HtACGP3G,AtACGP3G,OvUn25
28/08/17BariCesena,Bari,Cesena,28/08/17,2.23,1.61,3.97,1.95,0.0,13,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.5,0.5,945.8033169309292,1033.444495104034,0.47463409902849135,0.8073830670231888,0.9973608439993187,0.0,0.0,1
02/09/17BresciaPalermo,Brescia,Palermo,02/09/17,2.17,1.65,3.43,2.14,1.0,15,5,1,2,2,0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,977.9422598243764,1017.6423641708931,0.5434948427287059,1.1105515892998743,1.0081959335771424,2.0,0.0,0
03/09/17AscoliPro Vercelli,Ascoli,Pro Vercelli,03/09/17,2.37,1.55,3.28,2.28,1.0,15,18,2,0,3,2,2.0,0.0,3.0,2.0,2.0,0.0,3.0,2.0,3.0,2.0,0.0,1.0,0.0,957.2245495790868,981.7545117047689,0.5650655909031249,0.9755353031458576,0.7440126933940423,3.0,2.0,0
03/09/17CesenaVenezia,Cesena,Venezia,03/09/17,2.38,1.54,3.38,2.23,1.0,20,13,0,0,3,0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1012.4298590651738,995.5883391808959,0.6224358241614689,1.0218069687055515,0.95,3.0,0.0,0
03/09/17CremoneseAvellino,Cremonese,Avellino,03/09/17,2.15,1.67,3.76,2.03,1.0,16,6,0,2,1,1,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,983.9758718683703,1000.7022159549375,0.5760717048676454,0.97,1.0172681736288072,1.0,1.0,1
03/09/17EmpoliBari,Empoli,Bari,03/09/17,2.3,1.58,3.55,2.12,1.0,10,4,1,3,1,0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1004.8375309238644,966.8179529697895,0.650630246211481,0.9920172175212685,0.8271726820465787,1.0,0.0,1
03/09/17FoggiaVirtus Entella,Foggia,Virtus Entella,03/09/17,2.0,1.77,4.36,1.81,1.0,21,22,1,1,5,5,1.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,983.9758718683703,925.6034984790485,0.6767707538966069,1.07,1.072775683546525,5.0,5.0,0
03/09/17FrosinoneCittadella,Frosinone,Cittadella,03/09/17,1.97,1.8,3.9,1.95,1.0,5,8,2,3,0,2,2.0,3.0,0.0,2.0,2.0,3.0,0.0,2.0,3.5,2.0,3.0,0.0,1.0,1099.5122728362487,1016.7984352192449,0.7066339253095076,1.03517546887874,1.251345850081662,0.0,2.0,1
03/09/17NovaraParma,Novara,Parma,03/09/17,2.46,1.5,2.9,2.54,1.0,17,9,0,1,1,0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,980.2086887703246,1016.0241281316297,0.5490373988925165,0.9829584699943887,0.97,1.0,0.0,0
03/09/17PerugiaPescara,Perugia,Pescara,03/09/17,1.58,2.28,2.98,2.26,1.0,2,3,5,5,1,1,5.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,0.0,5.0,5.0,1.0,1.0,1094.8952514199018,1016.0241281316297,0.7020274365066084,1.0712689878420503,1.07,1.0,1.0,1
03/09/17SpeziaCarpi,Spezia,Carpi,03/09/17,2.47,1.51,3.34,2.25,1.0,19,7,0,1,2,0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1011.2099976592737,1067.6350026993996,0.519526052872902,0.6929665848495842,0.7901413960675494,2.0,0.0,0
04/09/17SalernitanaTernana,Salernitana,Ternana,04/09/17,2.13,1.67,4.55,1.79,1.0,14,15,0,1,0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.5,0.0,1.0,0.0,0.0,996.492668711568,1010.897866157358,0.5793314193363397,0.8283794510456447,0.9443911577620525,0.0,1.0,1
08/09/17PescaraFrosinone,Pescara,Frosinone,08/09/17,1.55,2.37,2.71,2.39,2.0,8,2,2,2,4,1,3.5,2.0,2.5,0.5,3.5,2.0,2.5,0.5,0.0,3.5,2.0,1.0,0.5,1004.105225591894,1111.2469158238684,0.44675150010318626,1.1285166842892804,1.0313650703753394,2.5,0.5,1
09/09/17AscoliNovara,Ascoli,Novara,09/09/17,2.19,1.64,2.56,2.83,2.0,10,20,1,0,0,1,1.5,0.0,1.5,1.0,1.5,0.0,1.5,1.0,2.0,1.5,0.0,0.5,0.0,974.6219259429618,958.2471928146239,0.6218041367465224,0.9536397997971017,0.9544291031957002,1.5,1.0,1
09/09/17AvellinoFoggia,Avellino,Foggia,09/09/17,2.02,1.75,3.02,2.36,2.0,12,18,1,1,3,1,1.5,1.0,2.0,3.0,1.5,1.0,2.0,3.0,0.0,1.5,1.0,1.0,0.5,983.7450841496434,976.905041712506,0.6088133304167725,1.0488789917514905,1.0537864529029617,2.0,3.0,1
09/09/17BariVenezia,Bari,Venezia,09/09/17,2.28,1.59,4.78,1.78,2.0,8,15,2,0,3,0,2.5,0.0,1.5,0.0,2.5,0.0,1.5,0.0,0.0,2.5,0.0,1.0,0.0,952.8431628182487,1000.4857721473546,0.5321305341233494,0.8866187499532207,0.9025,1.5,0.0,0
09/09/17CarpiSalernitana,Carpi,Salernitana,09/09/17,2.3,1.57,3.54,2.15,2.0,3,13,1,3,0,3,1.0,1.5,0.0,1.5,1.0,1.5,0.0,1.5,2.5,1.0,1.5,0.0,0.5,1088.4160448143157,993.3194119381144,0.7211901076164691,0.7794957467673571,0.91402647123769,0.0,1.5,0
09/09/17PalermoEmpoli,Palermo,Empoli,09/09/17,2.21,1.63,3.32,2.23,2.0,5,7,0,3,0,2,1.0,2.0,0.0,1.5,1.0,2.0,0.0,1.5,0.0,1.0,2.0,0.0,0.5,1019.3821578800413,1018.8123210754052,0.6001841924525476,0.9577861368982853,1.0633100976625962,0.0,1.5,1
09/09/17Pro VercelliCremonese,Pro Vercelli,Cremonese,09/09/17,2.26,1.6,2.63,2.81,2.0,21,9,0,3,1,1,0.0,1.5,1.5,1.0,0.0,1.5,1.5,1.0,0.0,0.0,1.5,0.0,0.5,964.3571353408939,1000.9330036736645,0.547953348809086,0.7273136232863863,1.0001419963524696,1.5,1.0,1
09/09/17SpeziaVirtus Entella,Spezia,Virtus Entella,09/09/17,2.33,1.56,4.78,1.81,2.0,22,19,0,1,1,1,0.0,1.0,1.5,3.0,0.0,1.0,1.5,3.0,2.0,0.0,1.0,0.0,0.5,990.4289555443576,932.6743286349129,0.6759923753896999,0.6836301809150788,1.0565200769392922,1.5,3.0,1
09/09/17TernanaCesena,Ternana,Cesena,09/09/17,2.3,1.58,2.92,2.5,2.0,14,17,3,0,3,0,2.0,0.0,2.0,1.5,2.0,0.0,2.0,1.5,1.5,2.0,0.0,0.5,0.5,1014.0711229308115,1007.5324260987151,0.6084001205966558,1.042032749976752,0.9707166202702739,2.0,1.5,0
10/09/17ParmaBrescia,Parma,Brescia,10/09/17,2.15,1.67,6.11,1.59,2.0,6,18,1,0,0,0,1.0,0.5,0.0,1.0,1.0,0.5,0.0,1.0,0.0,1.0,0.5,0.0,0.5,1037.9856240873303,976.2024661152282,0.6810507523289486,0.9418467395729487,1.0550240098348804,0.0,1.0,0
11/09/17CittadellaPerugia,Cittadella,Perugia,11/09/17,1.93,1.83,2.89,2.42,2.0,14,3,1,4,2,2,2.0,4.5,2.0,1.5,2.0,4.5,2.0,1.5,2.0,2.0,4.5,1.0,1.0,1005.0637922316251,1106.8141539596375,0.4544343285709435,1.2467397456117095,1.129855071160228,2.0,1.5,0
15/09/17CesenaAvellino,Cesena,Avellino,15/09/17,2.14,1.67,3.93,1.96,3.0,19,5,0,5,1,1,0.0,2.6666666666666665,1.3333333333333333,1.6666666666666667,0.0,2.6666666666666665,1.3333333333333333,1.6666666666666667,2.5,0.0,2.6666666666666665,0.3333333333333333,1.0,991.8684309225813,999.3925509329725,0.5889533035353666,0.9413740439797487,1.110310106385348,1.3333333333333333,1.6666666666666667,1
15/09/17VeneziaSpezia,Venezia,Spezia,15/09/17,2.6,1.45,3.67,2.14,3.0,8,17,2,2,0,1,0.6666666666666666,0.6666666666666666,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,1.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,1021.7709935122886,1003.3892605287696,0.6245171872187377,0.9024902200448167,0.7062388846723018,0.0,1.3333333333333333,0
16/09/17BresciaPro Vercelli,Brescia,Pro Vercelli,16/09/17,2.33,1.56,4.05,1.98,3.0,12,22,1,1,0,4,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.3333333333333335,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.3333333333333335,3.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1003.4444962083861,942.4390013885305,0.6800775577389926,1.0235076866959723,0.79093374450283,0.6666666666666666,2.3333333333333335,0
16/09/17CremoneseCarpi,Cremonese,Carpi,16/09/17,2.41,1.52,4.18,1.95,3.0,4,1,4,1,1,0,2.3333333333333335,1.0,1.0,0.0,2.3333333333333335,1.0,1.0,0.0,0.0,2.3333333333333335,1.0,0.6666666666666666,0.0,1022.8511376260279,1099.568440509657,0.4903342284024823,1.0876271650670197,0.7624021637806726,1.0,0.0,0
16/09/17EmpoliAscoli,Empoli,Ascoli,16/09/17,2.1,1.7,6.18,1.56,3.0,9,17,3,1,3,2,2.3333333333333335,1.3333333333333333,2.0,1.6666666666666667,2.3333333333333335,1.3333333333333333,2.0,1.6666666666666667,0.0,2.3333333333333335,1.3333333333333333,0.6666666666666666,0.6666666666666666,1022.8196887735071,949.7497604731009,0.6949950485473745,1.1354335225071512,0.9688226153743682,2.0,1.6666666666666667,1
16/09/17FoggiaPalermo,Foggia,Palermo,16/09/17,1.77,2.0,2.55,2.65,3.0,21,8,1,3,5,3,1.0,1.6666666666666667,3.6666666666666665,1.0,1.0,1.6666666666666667,3.6666666666666665,1.0,0.0,1.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,961.2575749291768,1015.3747901819394,0.5228412556198094,1.1155049894519573,1.0227519607097881,3.6666666666666665,1.0,0
16/09/17FrosinoneBari,Frosinone,Bari,16/09/17,2.11,1.69,3.73,2.03,3.0,3,16,3,0,3,2,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.6666666666666667,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.6666666666666667,2.5,2.3333333333333335,1.6666666666666667,0.6666666666666666,0.6666666666666666,1109.116975827996,931.5579414533148,0.8061311200873224,1.0861310888000784,0.8866091420954488,1.3333333333333333,1.6666666666666667,1
16/09/17NovaraCittadella,Novara,Cittadella,16/09/17,2.09,1.7,3.46,2.12,3.0,18,13,2,1,1,1,0.6666666666666666,1.6666666666666667,1.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.0,1.6666666666666667,3.0,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.6666666666666666,983.1193582844847,1006.8864190887874,0.5661445920779105,0.9696244852031198,1.2198055290235852,1.0,1.6666666666666667,0
16/09/17PerugiaParma,Perugia,Parma,16/09/17,2.24,1.6,3.64,2.08,3.0,2,7,1,0,1,1,3.3333333333333335,0.6666666666666666,1.3333333333333333,0.3333333333333333,3.3333333333333335,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.0,3.3333333333333335,0.6666666666666666,0.6666666666666666,0.0,1104.9915271024752,1010.7435939941723,0.7202066935420292,1.1054459983710316,0.9137113171418006,1.3333333333333333,0.3333333333333333,1
16/09/17SalernitanaPescara,Salernitana,Pescara,16/09/17,1.47,2.54,3.21,2.09,3.0,19,11,0,3,1,3,1.0,3.3333333333333335,1.3333333333333333,2.6666666666666665,1.0,3.3333333333333335,1.3333333333333333,2.6666666666666665,0.0,1.0,3.3333333333333335,0.3333333333333333,1.0,982.1670162427731,1006.2351655877666,0.565718825090016,0.8939827604119133,1.1884415036376028,1.3333333333333333,2.6666666666666665,1
16/09/17Virtus EntellaTernana,Virtus Entella,Ternana,16/09/17,2.24,1.6,3.75,2.05,3.0,20,10,1,1,2,0,1.0,1.6666666666666667,2.6666666666666665,1.3333333333333333,1.0,1.6666666666666667,2.6666666666666665,1.3333333333333333,2.5,1.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,919.7140236505008,1029.7351181069453,0.44265840793315386,1.0914608242905945,1.0105344477689404,2.6666666666666665,1.3333333333333333,1
18/09/17AvellinoVenezia,Avellino,Venezia,18/09/17,2.27,1.59,3.14,2.33,4.0,8,7,1,0,3,0,2.25,0.5,2.0,0.0,2.25,0.5,2.0,0.0,0.0,2.3333333333333335,0.6666666666666666,1.0,0.0,982.9506830743871,1016.7903060235391,0.5518518772104437,1.1397767614640795,0.8573657090425758,2.3333333333333335,0.0,0
19/09/17AscoliFrosinone,Ascoli,Frosinone,19/09/17,1.87,1.89,1.92,3.87,4.0,20,2,0,3,3,2,1.0,2.5,2.0,1.5,1.0,2.5,2.0,1.5,3.0,0.6666666666666666,2.6666666666666665,0.75,0.75,937.5495624149959,1116.871731024503,0.3476672388605287,0.9732247368178215,1.1446138067148077,1.6666666666666667,2.0,0
19/09/17BariCremonese,Bari,Cremonese,19/09/17,2.23,1.61,3.8,2.01,4.0,18,5,2,1,3,1,1.75,2.0,2.0,1.0,1.75,2.0,2.0,1.0,0.0,1.3333333333333333,2.6666666666666665,0.75,0.5,923.8031862568077,1023.2377684899286,0.4577412853058973,0.9343486027300505,1.0857115550765595,2.6666666666666665,1.0,0
19/09/17CarpiFoggia,Carpi,Foggia,19/09/17,2.05,1.74,3.84,1.96,4.0,3,21,1,1,1,1,1.0,1.0,0.25,3.0,1.0,1.0,0.25,3.0,0.0,1.0,1.0,0.0,0.5,1099.1818096457562,960.3439247043844,0.7689101455762504,0.7610593642914775,1.0988399069960426,0.3333333333333333,2.3333333333333335,1
19/09/17CittadellaCesena,Cittadella,Cesena,19/09/17,2.0,1.78,3.97,1.92,4.0,14,15,0,3,1,1,1.25,0.75,1.5,1.25,1.25,0.75,1.5,1.25,4.0,0.6666666666666666,1.0,0.5,0.5,989.5322027719038,1008.3102987811666,0.5731847844078938,1.1794417943988638,0.9663572843325972,1.3333333333333333,0.6666666666666666,1
19/09/17PalermoPerugia,Palermo,Perugia,19/09/17,2.15,1.67,3.33,2.17,4.0,8,1,1,3,1,0,1.5,3.25,1.0,1.0,1.5,3.25,1.0,1.0,0.0,1.3333333333333333,2.6666666666666665,0.25,0.75,1016.2884404067318,1116.183259360794,0.4570837566033781,1.0074725617663993,1.1158399530718135,1.3333333333333333,1.0,0
19/09/17ParmaEmpoli,Parma,Empoli,19/09/17,2.28,1.58,2.96,2.45,4.0,10,4,0,3,3,0,0.5,2.5,1.0,1.5,0.5,2.5,1.0,1.5,0.0,0.3333333333333333,3.0,0.25,0.75,999.5518617358534,1035.0198868316122,0.5495325104527399,0.9223024867276134,1.1405926880527584,1.3333333333333333,1.6666666666666667,1
