GameIndex,HomeTeam,AwayTeam,Date,AvgO25,AvgU25,AvgA,AvgH,Played,HtPos,AtPos,HtSGLG,AtSGLG,HtCGLG,AtCGLG,HtASGPG,AtASGPG,HtACGPG,AtACGPG,HtASGP5G,AtASGP5G,HtACGP5G,AtACGP5G,AGTM,HtASGP3G,AtASGP3G,HtpercentGO,AtpercentGO,elo_ht,elo_at,win_e_ht,tilt_ht,tilt_at
03/10/2020ChievoSalernitana,Chievo,Salernitana,03/10/2020,2.16,1.67,4.05,1.96,1.0,6,15,0,1,0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1041.983708300419,956.2969783000982,0.7101689760825018,0.8456701308504401,1.1467286256984337
03/10/2020AscoliLecce,Ascoli,Lecce,03/10/2020,1.95,1.83,2.39,3.02,1.0,4,8,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,964.5471407394784,1109.3056613942083,0.3940440381794372,1.1244993891525883,1.1680589650517446
03/10/2020EmpoliMonza,Empoli,Monza,03/10/2020,2.04,1.76,2.56,2.84,1.0,2,9,2,0,0,0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1058.5653552126043,1002.8109850213415,0.6734653208064288,1.0800709625035734,0.95
03/10/2020RegginaPescara,Reggina,Pescara,03/10/2020,2.27,1.6,3.74,2.09,1.0,14,10,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1001.6025847739393,937.4304241187199,0.6840305486770751,0.9843354270573953,0.9462916765435974
03/10/2020SpalCosenza,Spal,Cosenza,03/10/2020,2.3,1.59,5.3,1.73,1.0,16,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1116.3462347000732,1014.709842948194,0.7286963599303381,0.9801949535911353,1.048295620525311
03/10/2020VeneziaFrosinone,Venezia,Frosinone,03/10/2020,2.35,1.57,2.85,2.77,1.0,3,20,1,0,0,2,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1027.3068122163345,982.8932951702251,0.6589496813211936,0.8079240063778342,0.8571048386104853
03/10/2020VicenzaPordenone,Vicenza,Pordenone,03/10/2020,2.17,1.67,3.14,2.43,1.0,18,12,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,882.6638395242062,1035.1891431610793,0.38342076833517136,0.8558241046409667,0.9231599513463125
03/10/2020Virtus EntellaReggiana,Virtus Entella,Reggiana,03/10/2020,2.12,1.7,3.47,2.19,1.0,17,13,0,2,0,2,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,955.1452954252674,997.8017030302274,0.5392695491940152,1.004238657767127,1.0351327462227382
04/10/2020PisaCremonese,Pisa,Cremonese,04/10/2020,2.3,1.59,3.29,2.36,1.0,14,20,2,0,2,2,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,6.0,2.0,0.0,1.0,0.0,1033.8550548534154,1002.5105297910271,0.6418461479597878,0.9727234627337913,0.9083626372458318
04/10/2020CittadellaBrescia,Cittadella,Brescia,04/10/2020,2.02,1.77,2.62,2.76,1.0,6,13,2,1,0,1,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,3.1666666666666665,2.0,1.0,0.0,0.0,1044.3739934424138,1105.4353058586194,0.512860968012599,1.1129145415555497,1.094832985791451
16/10/2020BresciaLecce,Brescia,Lecce,16/10/2020,1.9,1.89,2.88,2.43,2.0,20,3,0,2,3,0,0.5,1.0,2.0,0.0,0.5,1.0,2.0,0.0,2.0,0.5,1.0,0.5,0.0,1085.9497445791233,1125.0674229213857,0.544326556393259,1.0940038318100413,1.1452274011732686
17/10/2020CosenzaCittadella,Cosenza,Cittadella,17/10/2020,2.03,1.77,2.53,2.9,2.0,10,1,1,3,1,0,0.5,2.5,0.5,0.0,0.5,2.5,0.5,0.0,2.75,0.5,2.5,0.0,0.5,1023.8576973454076,1063.85955472191,0.5430638388718807,1.036689047961507,1.1120716938015316
17/10/2020CremoneseVenezia,Cremonese,Venezia,17/10/2020,2.24,1.62,3.82,2.08,2.0,18,9,1,0,1,2,0.5,0.5,1.5,1.0,0.5,0.5,1.5,1.0,2.3333333333333335,0.5,0.5,0.0,0.0,1008.1843757094186,1000.9488249634868,0.6093554208504125,0.9040661617765935,0.814196542715297
17/10/2020FrosinoneAscoli,Frosinone,Ascoli,17/10/2020,1.91,1.87,4.53,1.81,2.0,8,17,2,0,0,2,1.0,0.5,1.0,1.5,1.0,0.5,1.0,1.5,2.1666666666666665,1.0,0.5,0.0,0.0,1009.2512824230728,948.785379212301,0.6794013709609734,0.8637592036284313,1.1025192662282226
17/10/2020PordenoneSpal,Pordenone,Spal,17/10/2020,2.1,1.72,2.89,2.5,2.0,13,14,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,1030.5259738944862,1107.1983803028597,0.49039881563935633,0.9237405298287806,0.9693423814418508
17/10/2020ReggianaChievo,Reggiana,Chievo,17/10/2020,2.2,1.65,2.62,2.84,2.0,3,15,2,1,0,2,2.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,0.0,2.0,0.5,0.5,0.5,1019.372484997988,1013.5769492571189,0.6073804232647989,1.0232072782164534,0.8557093784935093
17/10/2020SalernitanaPisa,Salernitana,Pisa,17/10/2020,2.07,1.73,3.25,2.25,2.0,5,12,2,1,1,1,1.5,1.5,1.0,1.5,1.5,1.5,1.0,1.5,1.5,1.5,1.5,0.5,0.5,984.7037373433983,1028.181208935024,0.5380950159287164,1.1603418446508469,0.9681225662144675
17/10/2020Virtus EntellaReggina,Virtus Entella,Reggina,17/10/2020,2.04,1.76,3.12,2.35,2.0,20,4,0,3,2,1,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.5,933.5745134575068,1014.2413628268563,0.4846539911549306,0.9926691117088293,1.0196591858423432
