"GameIndex","HomeTeam","AwayTeam","Date","AvgO25","AvgU25","AvgH","AvgA","AvgD","Played","TG","HtPos","AtPos","HtSGLG","AtSGLG","HtCGLG","AtCGLG","HtASGPG","AtASGPG","HtACGPG","AtACGPG","HtASGP5G","AtASGP5G","HtACGP5G","AtACGP5G","AGTM","HtASGP3G","AtASGP3G","HtACGP3G","AtACGP3G","HtpercentGO","AtpercentGO","FTR","elo_ht","elo_at","win_e_ht","tilt_ht","tilt_at"
"27/08/2021PisaAlessandria","Pisa","Alessandria","27/08/2021",2.14,1.7,2.16,3.63,3.04,1,2,7,14,1,3,0,4,1,3,0,4,1,3,0,4,0,1,3,0,4,0,1,"H",1002.18105376383,992.33884109616,0.612921469218111,1.17375277537353,1.07767683133026
"27/08/2021BresciaCosenza","Brescia","Cosenza","27/08/2021",1.74,2.07,1.38,8.12,4.61,1,6,2,15,2,0,0,1,2,0,0,1,2,0,0,1,2.75,2,0,0,1,0,0,"H",1122.99586490649,903.558968604144,0.84105953208626,1.21990661750001,0.909541210436245
"28/08/2021VicenzaFrosinone","Vicenza","Frosinone","28/08/2021",2.15,1.68,2.66,2.76,3.05,1,2,16,10,0,2,1,2,0,2,1,2,0,2,1,2,2,0,2,1,2,0,1,"A",975.939714296418,1014.00488616323,0.545828882321774,1.00275027771049,0.929571708661504
"28/08/2021PerugiaAscoli","Perugia","Ascoli","28/08/2021",2.2,1.66,2.38,3.15,3.04,1,5,7,4,1,1,0,0,1,1,0,0,1,1,0,0,2.125,1,1,0,0,0,0,"A",953.265283649461,1042.98973513672,0.471644762961572,0.922662580716538,0.965418677145707
"29/08/2021CittadellaCrotone","Cittadella","Crotone","29/08/2021",1.98,1.81,2.31,3.24,3.09,1,6,7,10,1,2,0,2,1,2,0,2,1,2,0,2,2.25,1,2,0,2,0,1,"H",1051.39610669056,1105.28596294782,0.523167696070603,0.809339635659668,1.07617706397267
"29/08/2021LecceComo","Lecce","Como","29/08/2021",1.89,1.9,1.83,4.43,3.41,1,2,18,9,0,2,3,2,0,2,3,2,0,2,3,2,0,0,2,3,2,1,1,"D",1068.61297608226,1009.74681988178,0.677392286543564,1.25504641169297,1.02629165812844
"29/08/2021MonzaCremonese","Monza","Cremonese","29/08/2021",2.03,1.78,2.14,3.46,3.23,1,1,11,5,0,3,0,0,0,3,0,0,0,3,0,0,2.5,0,3,0,0,0,1,"H",1084.67006760166,1041.24848901929,0.657665297213425,0.910834111200977,0.978380754801856
"29/08/2021ParmaBenevento","Parma","Benevento","29/08/2021",2.04,1.77,2.45,2.93,3.17,1,1,12,6,2,4,2,3,2,4,2,3,2,4,2,3,0,2,4,2,3,1,1,"H",1103.9790898132,1187.83315170483,0.480072907919327,0.945299890022312,1.18169251863695
"29/08/2021RegginaTernana","Reggina","Ternana","29/08/2021",2.22,1.64,2.24,3.4,3.06,1,5,13,16,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,"H",1042.01219200014,870.820171792503,0.800338728325464,0.945923355690965,1.25450778568038
"29/08/2021SpalPordenone","Spal","Pordenone","29/08/2021",2.05,1.76,2.01,3.87,3.22,1,5,15,14,0,0,1,1,0,0,1,1,0,0,1,1,5,0,0,1,1,0,0,"H",1019.8203703768,933.473387759941,0.710950669626119,0.897700375338875,0.874329990909466
"10/09/2021BeneventoLecce","Benevento","Lecce","10/09/2021",1.85,1.94,2.22,3.23,3.27,2,0,11,15,0,1,1,1,2,0.5,2,2,2,0.5,2,2,4,2,0.5,2,2,0.5,0.5,"D",1167.03607021181,1061.51728682446,0.733092049930162,1.14376519972597,1.23126936649246
"11/09/2021AlessandriaBrescia","Alessandria","Brescia","11/09/2021",2.03,1.77,3.79,2.06,3.15,2,4,16,1,0,5,2,1,1.5,3.5,3,0.5,1.5,3.5,3,0.5,0,1.5,3.5,3,0.5,0.5,0.5,"A",976.855695094047,1129.35348373686,0.383458198209006,1.05787171642513,1.29084593524027
"11/09/2021ComoAscoli","Como","Ascoli","11/09/2021",2.08,1.73,2.29,3.25,3.1,2,1,13,4,1,3,1,2,1.5,2,1.5,1,1.5,2,1.5,1,0,1.5,2,1.5,1,0.5,0.5,"A",1016.84250913958,1061.85552270087,0.53589731492363,1.00684840653482,1.0255297261389
"11/09/2021FrosinonePerugia","Frosinone","Perugia","11/09/2021",2.18,1.67,2.04,3.71,3.23,2,0,5,12,2,2,0,3,2,1.5,1,1.5,2,1.5,1,1.5,2.5,2,1.5,1,1.5,0.5,0.5,"D",1035.83804306197,934.399496085311,0.728471092335602,0.922983413851264,0.980111454357159
"11/09/2021SpalMonza","Spal","Monza","11/09/2021",2.29,1.6,2.77,2.73,2.93,2,2,10,6,5,1,0,0,2.5,0.5,0.5,0,2.5,0.5,0.5,0,1,2.5,0.5,0.5,0,0.5,0,"D",1031.3823444143,1098.36345682343,0.504344293100144,0.967188649310044,0.885734344938937
"11/09/2021TernanaPisa","Ternana","Pisa","11/09/2021",2.15,1.69,2.45,2.98,3.1,2,5,17,3,2,2,3,0,1,1.5,2.5,0,1,1.5,2.5,0,1,1,1.5,2.5,0,0.5,0,"A",862.833721669052,1017.66419976594,0.380288561307458,1.29749920674719,1.15218201509488
"11/09/2021CrotoneReggina","Crotone","Reggina","11/09/2021",2.12,1.71,2.25,3.36,3.08,2,2,15,8,2,3,4,2,2,1.5,3,1,2,1.5,3,1,0,2,1.5,3,1,1,0.5,"D",1086.21267330328,1049.99864212359,0.64826408704123,1.17063723741351,0.978339726275212
"12/09/2021CosenzaVicenza","Cosenza","Vicenza","12/09/2021",2.16,1.68,3.49,2.14,3.21,2,3,18,16,1,0,5,2,0.5,0,3,1.5,0.5,0,3,1.5,2,0.5,0,3,1.5,0.5,0,"H",897.201349773778,954.106557397675,0.518835870169626,0.962432335051356,0.995643333309057
